k_cleared,Q3_formal_1_T_s,Q3_formal_2_T_s,Q3_formal_3_T_s,Q4_formal_1_T_s,Q4_formal_2_T_s,Q4_formal_3_T_s
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,369.903059,314.528541,339.944007,506.152011,473.027482,806.659897
2,556.119460,350.946427,842.259622,535.584870,542.655640,1123.575237
3,687.552260,678.912761,901.816100,557.162310,640.767262,1208.593726
4,984.267993,1212.623527,1139.677508,958.200832,1748.618181,2412.964100
5,1291.007655,1601.394547,1617.592681,2560.774114,1832.736593,2791.269942
6,2072.896216,1675.534926,1718.860957,3055.156356,1922.562665,3310.798387
7,2369.138197,1934.288435,1787.065445,3481.407856,2304.929607,3422.253738
8,2455.976471,2121.749783,2143.981752,3741.263428,2490.345650,4042.415687
9,2643.064594,2290.829636,2209.184287,3767.048838,3969.690808,5586.655666
10,2955.601841,2551.112630,2384.696553,5291.925448,4840.983840,6294.085340
11,,2839.047397,2794.806929,,4869.924503,6363.743253
12,,2981.802030,2914.805856,,5398.512044,
13,,3378.881723,,,5552.889665,
14,,3408.640955,,,5624.893005,
15,,3598.885067,,,5700.659511,
16,,3888.457566,,,,
