problem,formal_index,case_code,series_id,k_cleared,virtual_time_s,event,channel,phase,response_line
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,0,0.000000,enter,,control,2
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,1,369.903059,clear_success,14,near,50
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,2,556.119460,clear_success,1,optical,82
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,3,687.552260,clear_success,3,optical,86
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,4,984.267993,clear_success,19,near,116
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,5,1291.007655,clear_success,16,optical,124
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,6,2072.896216,clear_success,5,optical,172
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,7,2369.138197,clear_success,9,optical,200
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,8,2455.976471,clear_success,18,optical,204
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,9,2643.064594,clear_success,6,optical,210
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,10,2955.601841,clear_success,17,optical,234
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,0,0.000000,enter,,control,2
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,1,314.528541,clear_success,9,optical,48
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,2,350.946427,clear_success,15,optical,50
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,3,678.912761,clear_success,8,optical,80
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,4,1212.623527,clear_success,17,optical,112
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,5,1601.394547,clear_success,18,optical,140
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,6,1675.534926,clear_success,13,optical,142
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,7,1934.288435,clear_success,16,optical,150
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,8,2121.749783,clear_success,10,optical,154
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,9,2290.829636,clear_success,19,near,160
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,10,2551.112630,clear_success,11,near,182
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,11,2839.047397,clear_success,2,optical,188
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,12,2981.802030,clear_success,7,optical,196
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,13,3378.881723,clear_success,4,optical,210
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,14,3408.640955,clear_success,6,optical,212
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,15,3598.885067,clear_success,14,optical,218
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,16,3888.457566,clear_success,5,optical,226
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,0,0.000000,enter,,control,2
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,1,339.944007,clear_success,19,optical,48
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,2,842.259622,clear_success,8,optical,88
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,3,901.816100,clear_success,10,optical,90
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,4,1139.677508,clear_success,16,optical,118
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,5,1617.592681,clear_success,5,optical,152
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,6,1718.860957,clear_success,4,optical,154
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,7,1787.065445,clear_success,6,near,160
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,8,2143.981752,clear_success,20,near,188
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,9,2209.184287,clear_success,3,optical,192
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,10,2384.696553,clear_success,15,optical,198
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,11,2794.806929,clear_success,11,near,224
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,12,2914.805856,clear_success,9,optical,230
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,0.000000,enter,,control,2
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,1,506.152011,clear_success,16,certified_clear,84
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,2,535.584870,clear_success,9,certified_clear,86
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,557.162310,clear_success,7,certified_clear,88
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,958.200832,clear_success,3,optical_fallback,154
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,5,2560.774114,clear_success,12,optical_fallback,380
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,6,3055.156356,clear_success,18,certified_clear,424
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,7,3481.407856,clear_success,1,certified_clear,450
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,8,3741.263428,clear_success,17,certified_clear,476
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,9,3767.048838,clear_success,11,optical_fallback,478
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,10,5291.925448,clear_success,13,optical_fallback,600
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,0,0.000000,enter,,control,2
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,1,473.027482,clear_success,13,optical_fallback,88
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,2,542.655640,clear_success,9,certified_clear,90
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,3,640.767262,clear_success,15,optical_fallback,96
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,4,1748.618181,clear_success,17,certified_clear,256
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,5,1832.736593,clear_success,5,optical_fallback,258
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,6,1922.562665,clear_success,10,certified_clear,260
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,7,2304.929607,clear_success,2,certified_clear,312
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,8,2490.345650,clear_success,14,optical_fallback,318
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,9,3969.690808,clear_success,12,optical_fallback,406
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,10,4840.983840,clear_success,19,certified_clear,464
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,11,4869.924503,clear_success,16,certified_clear,466
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,12,5398.512044,clear_success,8,optical_fallback,490
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,13,5552.889665,clear_success,11,certified_clear,508
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,14,5624.893005,clear_success,20,certified_clear,510
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,15,5700.659511,clear_success,18,certified_clear,522
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,0,0.000000,enter,,control,2
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,1,806.659897,clear_success,9,optical_fallback,122
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,2,1123.575237,clear_success,5,certified_clear,158
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,3,1208.593726,clear_success,13,optical_fallback,160
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,4,2412.964100,clear_success,12,optical_fallback,286
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,5,2791.269942,clear_success,7,certified_clear,342
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,6,3310.798387,clear_success,4,certified_clear,390
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,7,3422.253738,clear_success,16,optical_fallback,392
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,8,4042.415687,clear_success,15,optical_fallback,468
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,9,5586.655666,clear_success,8,certified_clear,600
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,10,6294.085340,clear_success,19,optical_fallback,660
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,11,6363.743253,clear_success,3,optical_fallback,664
