problem,formal_index,case_code,series_id,k_cleared_before,channel,phase,channel_previously_discovered,response_line,event,virtual_time_s,k_cleared_after,timing_basis
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,1,search,0,4,no_signal,5.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,2,search,0,6,no_signal,11.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,4,search,0,10,no_signal,23.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,5,search,0,12,no_signal,29.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,6,search,0,14,no_signal,35.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,8,search,0,18,no_signal,47.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,10,search,0,22,no_signal,59.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,11,search,0,24,no_signal,65.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,12,search,0,26,no_signal,71.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,13,search,0,28,no_signal,77.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,14,search,0,30,no_signal,83.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,15,search,0,32,no_signal,89.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,17,search,0,36,no_signal,101.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,18,search,0,38,no_signal,107.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,19,search,0,40,no_signal,113.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,20,search,0,42,no_signal,119.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,20,search,0,44,no_signal,314.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,1,search,0,46,no_signal,320.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,2,search,0,48,no_signal,326.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,4,search,0,52,no_signal,338.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,5,search,0,54,no_signal,344.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,6,search,0,56,no_signal,350.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,8,search,0,60,no_signal,362.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,10,search,0,64,no_signal,374.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,11,search,0,66,no_signal,380.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,13,search,0,70,no_signal,392.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,14,search,0,72,no_signal,398.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,15,search,0,74,no_signal,404.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,17,search,0,78,no_signal,416.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,0,19,search,0,82,no_signal,428.000000,0,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,19,search,0,90,no_signal,588.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,2,search,0,94,no_signal,600.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,4,search,0,98,no_signal,612.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,5,search,0,100,no_signal,618.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,6,search,0,102,no_signal,624.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,8,search,0,104,no_signal,630.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,10,search,0,106,no_signal,636.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,11,search,0,108,no_signal,642.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,12,search,1,110,no_signal,648.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,13,search,0,112,no_signal,654.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,14,search,0,114,no_signal,660.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,15,search,0,116,no_signal,666.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,17,search,0,118,no_signal,672.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,20,search,0,122,no_signal,684.901047,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,20,search,0,124,no_signal,788.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,2,search,0,128,no_signal,800.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,4,search,0,132,no_signal,812.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,5,search,0,134,no_signal,818.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,6,search,0,136,no_signal,824.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,8,search,0,138,no_signal,830.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,10,search,0,140,no_signal,836.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,11,search,0,142,no_signal,842.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,13,search,0,144,no_signal,848.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,14,search,0,146,no_signal,854.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,15,search,0,148,no_signal,860.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,19,search,0,152,no_signal,872.252284,3,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,3,optical_fallback,1,154,optical_fallback_start,872.252284,3,preceding_response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,3,3,optical_fallback,1,154,optical_fallback_success,958.200832,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,19,search,0,156,no_signal,998.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,2,search,0,160,no_signal,1010.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,4,search,0,162,no_signal,1016.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,5,search,0,164,no_signal,1022.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,6,search,0,166,no_signal,1028.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,8,search,0,168,no_signal,1034.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,10,search,0,170,no_signal,1040.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,12,search,1,174,no_signal,1052.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,13,search,0,176,no_signal,1058.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,14,search,0,178,no_signal,1064.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,15,search,0,180,no_signal,1070.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,20,search,0,184,no_signal,1082.097579,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,20,search,0,186,no_signal,1185.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,2,search,0,188,no_signal,1191.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,4,search,0,190,no_signal,1197.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,5,search,0,192,no_signal,1203.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,6,search,0,194,no_signal,1209.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,8,search,0,196,no_signal,1215.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,10,search,0,198,no_signal,1221.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,12,search,1,202,no_signal,1233.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,13,search,0,204,no_signal,1239.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,14,search,0,206,no_signal,1245.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,15,search,0,208,no_signal,1251.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,17,search,1,210,no_signal,1257.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,19,search,0,212,no_signal,1263.448816,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,19,search,0,214,no_signal,1366.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,2,search,0,216,no_signal,1372.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,4,search,0,218,no_signal,1378.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,5,search,0,220,no_signal,1384.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,6,search,0,222,no_signal,1390.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,8,search,0,224,no_signal,1396.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,10,search,0,226,no_signal,1402.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,12,search,1,228,no_signal,1408.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,13,search,0,230,no_signal,1414.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,14,search,0,232,no_signal,1420.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,15,search,0,234,no_signal,1426.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,17,search,1,236,no_signal,1432.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,20,search,0,238,no_signal,1438.800053,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,20,search,0,240,no_signal,1542.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,2,search,0,242,no_signal,1548.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,4,search,0,244,no_signal,1554.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,5,search,0,246,no_signal,1560.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,6,search,0,248,no_signal,1566.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,8,search,0,250,no_signal,1572.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,10,search,0,252,no_signal,1578.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,12,search,1,254,no_signal,1584.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,13,search,0,256,no_signal,1590.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,14,search,0,258,no_signal,1596.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,15,search,0,260,no_signal,1602.151290,4,response_end
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,4,19,search,0,262,no_signal,1608.151290,4,response_end
