run_id,formal_index,case_code,source_curve_id,channel,valid_direction_count,first_radius_m,last_radius_m,clear_method,successful_clear_virtual_time_s,clear_x_m,clear_y_m,action_response_line
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch01,1,3,752.7962581544269,14.953889622308589,certified_region_circle,556.11946,-1217.8122076654806,-310.37991463736853,82
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch03,3,2,753.6588500137873,19.49923475768022,certified_region_circle,687.55226,-1038.475826876595,-830.6287976262812,86
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch05,5,2,752.0645314346492,16.566173493875443,certified_region_circle,2072.896216,690.1409867781306,413.0117046439405,172
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch06,6,3,682.1846440659392,10.859510881776195,certified_region_circle,2643.064594,-428.90593512238706,1634.360561987432,210
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch09,9,2,750.8239172243451,13.435647067406954,certified_region_circle,2369.138197,294.939819691397,676.9270035915918,200
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch14,14,2,752.4092259564882,77.8514218149666,near_feedback,369.903059,-1106.4391032397452,-64.86305336611203,50
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch16,16,4,752.9363607586058,19.260756374229047,certified_region_circle,1291.007655,-870.6363835086502,-964.2583394392964,124
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch17,17,2,750.4932288591617,15.02729450876671,certified_region_circle,2955.601841,-992.4522773182094,674.1055419843802,234
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch18,18,3,752.2189700275939,11.11751604467792,certified_region_circle,2455.976471,130.47325615493745,1014.6655933097857,204
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch19,19,2,361.1402972350239,24.24858920269771,near_feedback,984.267993,-606.6601028925827,-1486.659120288649,116
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch02,2,3,753.5604329409888,10.498068310293078,certified_region_circle,2839.047397,986.1549796439286,327.7279407471778,188
