batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,0,,0,0,0.0,0.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,1,15,6,0,119.0,0.5454545454545454
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,2,16,6,6,1474.625256,0.5454545454545454
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,3,10,7,6,1755.625256,0.6363636363636364
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,4,5,9,7,2103.541639,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,5,11,9,9,2878.509742,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,6,6,9,9,3141.509742,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,7,12,9,9,3404.509742,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,8,17,9,9,3667.509742,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,9,22,10,9,3930.509742,0.9090909090909091
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,10,27,11,10,4364.159688,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,11,26,11,11,4728.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,12,29,11,11,4979.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,13,25,11,11,5230.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,14,19,11,11,5481.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,15,13,11,11,5732.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,16,7,11,11,5983.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,17,2,11,11,6234.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,18,8,11,11,6485.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,19,3,11,11,6736.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,20,0,11,11,6987.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,21,4,11,11,7238.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,22,1,11,11,7489.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,23,9,11,11,7938.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,24,14,11,11,8189.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,25,20,11,11,8440.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,26,21,11,11,8691.71696,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,27,30,11,11,9087.66302,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,28,28,11,11,9483.60908,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,29,23,11,11,9734.60908,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,30,24,11,11,10694.959068,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,31,18,11,11,10945.959068,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,0,,0,0,0.0,0.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,1,0,6,0,119.0,0.5454545454545454
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,2,5,7,0,428.0,0.6363636363636364
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,3,4,7,0,645.351237,0.6363636363636364
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,4,3,7,1,862.617829,0.6363636363636364
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,5,2,8,1,1067.969066,0.7272727272727273
