batch,rounding,layout_id,family,error_mode,source_count,baseline31_first_all,recommended25_first_all,paired_difference_recommended_minus_baseline,baseline31_actual_completed,recommended25_actual_completed
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,10,19,9,31,25
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,29,25,-4,31,25
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,21,12,-9,31,25
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,19,12,-7,31,25
round9_main,bounded,cluster_111004_spatial_hash,cluster,spatial_hash,11,15,21,6,31,25
round9_main,bounded,edge_111005_spatial_hash,edge,spatial_hash,13,13,9,-4,31,25
round9_main,bounded,uniform_111006_positive,uniform,positive,13,29,11,-18,31,25
round9_main,bounded,outward_111007_positive,outward,positive,16,19,19,0,19,19
round9_main,bounded,inward_111008_positive,inward,positive,16,21,12,-9,21,12
round9_main,bounded,tangent_111009_positive,tangent,positive,12,29,16,-13,31,25
round9_main,bounded,cluster_111010_positive,cluster,positive,11,14,17,3,31,25
round9_main,bounded,edge_111011_positive,edge,positive,11,21,10,-11,31,25
round9_main,bounded,uniform_111012_negative,uniform,negative,15,29,24,-5,31,25
round9_main,bounded,outward_111013_negative,outward,negative,14,22,20,-2,31,25
round9_main,bounded,inward_111014_negative,inward,negative,12,11,10,-1,31,25
round9_main,bounded,tangent_111015_negative,tangent,negative,14,23,13,-10,31,25
round9_main,bounded,cluster_111016_negative,cluster,negative,12,18,8,-10,31,25
round9_main,bounded,edge_111017_negative,edge,negative,15,14,12,-2,31,25
round9_main,bounded,uniform_111018_smooth,uniform,smooth,13,20,14,-6,31,25
round9_main,bounded,outward_111019_smooth,outward,smooth,12,21,14,-7,31,25
round9_main,bounded,inward_111020_smooth,inward,smooth,13,14,12,-2,31,25
round9_main,bounded,tangent_111021_smooth,tangent,smooth,15,25,23,-2,31,25
round9_main,bounded,cluster_111022_smooth,cluster,smooth,11,22,11,-11,31,25
round9_main,bounded,edge_111023_smooth,edge,smooth,13,22,11,-11,31,25
round9_main,bounded,uniform_111024_spatial_hash,uniform,spatial_hash,10,16,13,-3,31,25
round9_main,bounded,outward_111025_spatial_hash,outward,spatial_hash,13,23,25,2,31,25
round9_main,bounded,inward_111026_spatial_hash,inward,spatial_hash,14,26,12,-14,31,25
round9_main,bounded,tangent_111027_spatial_hash,tangent,spatial_hash,14,25,12,-13,31,25
round9_main,bounded,cluster_111028_spatial_hash,cluster,spatial_hash,15,24,15,-9,31,25
round9_main,bounded,edge_111029_spatial_hash,edge,spatial_hash,13,17,22,5,31,25
round9_main,bounded,uniform_111030_positive,uniform,positive,14,9,9,0,31,25
round9_main,bounded,outward_111031_positive,outward,positive,14,22,18,-4,31,25
