batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,actual_completed_stations,first_all_discovered_station,first_16_discovered_station,stopped_before_station_budget,stop_certificate,final_cleared,final_virtual_time_s,historical_metrics_match,replay_physics_audit_passed
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,31,10,,0,triangular_halfplane_cover,11,10945.959068,1,1
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,25,19,,0,triangular_halfplane_cover,11,7400.210495,1,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,31,29,,0,triangular_halfplane_cover,11,13258.750278,1,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,25,25,,0,triangular_halfplane_cover,11,9010.335734,1,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,11,10896.776395,1,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,11,6018.615794,1,1
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,31,19,,0,triangular_halfplane_cover,13,10944.487009,1,1
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,13,6025.26632,1,1
round9_main,bounded,cluster_111004_spatial_hash,cluster,spatial_hash,11,baseline31,BASE,31,1,31,15,,0,triangular_halfplane_cover,11,11481.798917,1,1
round9_main,bounded,cluster_111004_spatial_hash,cluster,spatial_hash,11,recommended25,FINAL,25,1,25,21,,0,triangular_halfplane_cover,11,7062.911504,1,1
round9_main,bounded,edge_111005_spatial_hash,edge,spatial_hash,13,baseline31,BASE,31,1,31,13,,0,triangular_halfplane_cover,13,10449.486785,1,1
round9_main,bounded,edge_111005_spatial_hash,edge,spatial_hash,13,recommended25,FINAL,25,1,25,9,,0,triangular_halfplane_cover,13,5564.451162,1,1
round9_main,bounded,uniform_111006_positive,uniform,positive,13,baseline31,BASE,31,1,31,29,,0,triangular_halfplane_cover,13,11054.488734,1,1
round9_main,bounded,uniform_111006_positive,uniform,positive,13,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,13,6783.633067,1,1
round9_main,bounded,outward_111007_positive,outward,positive,16,baseline31,BASE,31,1,19,19,19,1,count16,16,8499.888153,1,1
