batch,arm,source_stratum,station_index,n_independent_layouts,n_observed_scan_endpoints,n_carried_forward,count_q1,count_median,count_q3,fraction_q1,fraction_median,fraction_q3
round9_main,baseline31,all_10_to_16,0,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,all_10_to_16,1,96,96,0,0.0,0.0,4.0,0.0,0.0,0.3333333333333333
round9_main,baseline31,all_10_to_16,2,96,96,0,2.0,3.0,6.0,0.13125,0.2403846153846154,0.45454545454545453
round9_main,baseline31,all_10_to_16,3,96,96,0,3.0,4.0,7.0,0.21071428571428572,0.3333333333333333,0.5346153846153846
round9_main,baseline31,all_10_to_16,4,96,96,0,3.0,4.5,7.0,0.22664835164835165,0.36363636363636365,0.5714285714285714
round9_main,baseline31,all_10_to_16,5,96,96,0,3.0,5.0,8.0,0.23076923076923078,0.4,0.5875
round9_main,baseline31,all_10_to_16,6,96,96,0,3.75,5.0,8.0,0.25,0.42857142857142855,0.6
round9_main,baseline31,all_10_to_16,7,96,96,0,4.0,6.0,9.0,0.3076923076923077,0.4641025641025641,0.6363636363636364
round9_main,baseline31,all_10_to_16,8,96,96,0,5.0,6.0,9.0,0.35714285714285715,0.5,0.6875
round9_main,baseline31,all_10_to_16,9,96,96,0,5.0,7.0,9.25,0.41758241758241754,0.5454545454545454,0.75
round9_main,baseline31,all_10_to_16,10,96,96,0,6.0,7.0,10.0,0.43526785714285715,0.6,0.7692307692307693
round9_main,baseline31,all_10_to_16,11,96,96,0,6.0,8.0,11.0,0.4597902097902098,0.625,0.8
round9_main,baseline31,all_10_to_16,12,96,96,0,6.0,8.0,11.0,0.5,0.6547619047619048,0.8181818181818182
round9_main,baseline31,all_10_to_16,13,96,95,1,7.0,9.0,11.25,0.5424242424242424,0.7142857142857143,0.88125
round9_main,baseline31,all_10_to_16,14,96,95,1,7.0,9.0,12.0,0.5625,0.7928571428571429,0.9090909090909091
round9_main,baseline31,all_10_to_16,15,96,95,1,8.0,10.0,12.0,0.6115384615384616,0.8,0.9230769230769231
round9_main,baseline31,all_10_to_16,16,96,94,2,8.0,11.0,13.0,0.698076923076923,0.8397435897435898,0.9333333333333333
round9_main,baseline31,all_10_to_16,17,96,94,2,9.0,11.0,13.0,0.7142857142857143,0.875,1.0
round9_main,baseline31,all_10_to_16,18,96,94,2,9.0,11.5,13.0,0.7815934065934066,0.9230769230769231,1.0
round9_main,baseline31,all_10_to_16,19,96,94,2,10.0,12.0,14.0,0.8181818181818182,0.9333333333333333,1.0
round9_main,baseline31,all_10_to_16,20,96,91,5,10.75,12.0,14.0,0.8729166666666667,1.0,1.0
