rounding,case_id,baseline,candidate,change_s,change_pct,baseline_success,candidate_success,movement_s_difference,switch_s_difference,detection_s_difference,optical_s_difference,laser_s_difference
bounded,final_uniform_910000_spatial_hash,3426.434355,3307.069673,-119.3646819999999,-3.4836412910061454,True,True,-150.3646829553295,3.0,55.0,-27.0,0.0
bounded,final_uniform_910000_smooth,3450.895631,3145.408852,-305.48677899999984,-8.852391137412518,True,True,-310.48677732376973,4.0,40.0,-39.0,0.0
bounded,final_uniform_910000_positive,3640.369783,3294.038384,-346.33139900000015,-9.513632395734017,True,True,-388.331401490424,4.0,50.0,-12.0,0.0
bounded,final_uniform_910000_negative,3546.382521,3336.741863,-209.6406579999998,-5.911394407078396,True,True,-179.64065614926812,3.0,45.0,-78.0,0.0
bounded,final_outer_910001_spatial_hash,2801.233452,2692.520286,-108.713166,-3.8809034613799143,True,True,-163.71316543797684,9.0,55.0,-9.0,0.0
bounded,final_outer_910001_smooth,2806.640831,2696.372243,-110.26858800000036,-3.9288457141383515,True,True,-169.26858827658543,10.0,55.0,-6.0,0.0
bounded,final_outer_910001_positive,2797.104426,2690.560928,-106.543498,-3.809064009539409,True,True,-161.54349921775952,9.0,55.0,-9.0,0.0
bounded,final_outer_910001_negative,2888.682807,2682.713421,-205.9693860000002,-7.130218156901302,True,True,-236.9693854120244,9.0,55.0,-33.0,0.0
bounded,final_cluster_910002_spatial_hash,2137.923221,1976.429583,-161.49363799999992,-7.553762287331455,True,True,-161.49363818059646,0.0,0.0,0.0,0.0
bounded,final_cluster_910002_smooth,2123.116072,1982.007704,-141.1083679999997,-6.6462860820922565,True,True,-141.10836854687227,0.0,0.0,0.0,0.0
bounded,final_cluster_910002_positive,2131.995598,1976.840958,-155.15463999999997,-7.277437164764722,True,True,-149.15464061767102,0.0,0.0,-6.0,0.0
bounded,final_cluster_910002_negative,2112.270271,2007.783984,-104.48628699999995,-4.946634359936031,True,True,-122.48628475431428,3.0,15.0,0.0,0.0
bounded,final_min_radius_910003_spatial_hash,3785.065564,3622.11273,-162.95283400000017,-4.305152215852082,True,True,-190.95283070468167,0.0,40.0,-12.0,0.0
bounded,final_min_radius_910003_smooth,3993.235203,3629.146224,-364.0889790000001,-9.117644228080302,True,True,-379.0889798568569,-2.0,35.0,-18.0,0.0
bounded,final_min_radius_910003_positive,3827.248901,3592.012484,-235.23641700000007,-6.146357947572644,True,True,-261.23641662339423,0.0,35.0,-9.0,0.0
bounded,final_min_radius_910003_negative,4026.755001,3726.871735,-299.8832659999998,-7.4472687294242395,True,True,-295.8832648237453,-1.0,45.0,-48.0,0.0
bounded,final_radial_910004_spatial_hash,2343.255175,2322.071142,-21.184033,-0.9040429410339446,True,True,-57.18403156495765,7.0,35.0,-6.0,0.0
bounded,final_radial_910004_smooth,2325.688528,2292.913458,-32.77507000000014,-1.409263089420898,True,True,-53.77506936804866,6.0,30.0,-15.0,0.0
bounded,final_radial_910004_positive,2406.685026,2317.147009,-89.53801700000031,-3.720387837739436,True,True,-131.53801562412582,7.0,35.0,0.0,0.0
bounded,final_radial_910004_negative,2373.537472,2305.152279,-68.38519300000007,-2.8811507636480216,True,True,-83.38518905922115,6.0,30.0,-21.0,0.0
bounded,final_reception_edge_910005_spatial_hash,4210.756642,3655.869075,-554.8875670000002,-13.177858854755453,True,True,-614.8875643371944,2.0,85.0,-27.0,0.0
bounded,final_reception_edge_910005_smooth,4165.414643,3677.812466,-487.6021770000002,-11.705969724272657,True,True,-476.6021739780608,-7.0,20.0,-24.0,0.0
bounded,final_reception_edge_910005_positive,4174.845877,3631.917687,-542.9281899999996,-13.004748103183683,True,True,-603.9281895237377,5.0,65.0,-9.0,0.0
bounded,final_reception_edge_910005_negative,4163.607796,3661.20982,-502.3979760000002,-12.066409724822226,True,True,-469.39797597665074,-8.0,20.0,-45.0,0.0
bounded,final_uniform_910006_spatial_hash,3603.298551,3263.659506,-339.6390449999999,-9.425781410917011,True,True,-402.6390435593289,7.0,80.0,-24.0,0.0
bounded,final_uniform_910006_smooth,3726.174273,3318.396037,-407.7782360000001,-10.943616860724326,True,True,-457.77823815408055,6.0,80.0,-36.0,0.0
bounded,final_uniform_910006_positive,3953.238402,3220.71664,-732.5217619999999,-18.52966321559071,True,True,-809.521764915853,9.0,80.0,-12.0,0.0
bounded,final_uniform_910006_negative,3645.2495,3567.222842,-78.02665799999977,-2.140502536246136,True,True,-94.02665834309573,4.0,75.0,-63.0,0.0
bounded,final_outer_910007_spatial_hash,3659.12982,3372.342948,-286.78687200000013,-7.837570299705854,True,True,-342.78687126262,10.0,85.0,-39.0,0.0
bounded,final_outer_910007_smooth,3950.947025,3353.1761,-597.7709249999998,-15.129813718522334,True,True,-626.7709236288651,6.0,65.0,-42.0,0.0
bounded,final_outer_910007_positive,3598.33205,3393.469497,-204.86255299999993,-5.693264272261922,True,True,-265.86255349929525,6.0,70.0,-15.0,0.0
bounded,final_outer_910007_negative,4181.958263,3353.389317,-828.5689460000003,-19.812941542979722,True,True,-831.5689474796636,9.0,75.0,-81.0,0.0
bounded,final_cluster_910008_spatial_hash,2433.623846,2288.888932,-144.73491400000012,-5.9473001235541005,True,True,-147.7349111529336,0.0,15.0,-12.0,0.0
bounded,final_cluster_910008_smooth,2391.936417,2294.429451,-97.50696599999992,-4.076486536473012,True,True,-107.50696466450313,0.0,10.0,0.0,0.0
bounded,final_cluster_910008_positive,2469.505437,2275.780626,-193.7248109999996,-7.844680481260246,True,True,-192.72480923483158,0.0,5.0,-6.0,0.0
bounded,final_cluster_910008_negative,2463.857708,2285.921636,-177.93607199999997,-7.221848543536103,True,True,-169.9360711373904,0.0,10.0,-18.0,0.0
bounded,final_min_radius_910009_spatial_hash,4024.391695,3427.154875,-597.2368199999996,-14.840424721629875,True,True,-646.2368203955316,7.0,45.0,-3.0,0.0
bounded,final_min_radius_910009_smooth,4241.98213,3005.931707,-1236.0504230000001,-29.138510845164735,True,True,-1238.050423119863,-1.0,15.0,-12.0,0.0
bounded,final_min_radius_910009_positive,3907.407487,3463.573983,-443.8335039999997,-11.358771908909937,True,True,-454.83350768886794,-1.0,15.0,-3.0,0.0
bounded,final_min_radius_910009_negative,4088.380376,3431.694771,-656.6856050000001,-16.062243348366955,True,True,-650.6856019633942,-1.0,10.0,-15.0,0.0
bounded,final_radial_910010_spatial_hash,2579.029242,2440.798027,-138.23121500000025,-5.359815730232043,True,True,-195.231214303029,11.0,55.0,-9.0,0.0
bounded,final_radial_910010_smooth,2594.481054,2441.850689,-152.63036499999998,-5.88288608871067,True,True,-206.63036258529587,11.0,55.0,-12.0,0.0
bounded,final_radial_910010_positive,2611.714118,2430.592924,-181.12119399999983,-6.934954815755212,True,True,-220.12118819861666,10.0,50.0,-21.0,0.0
bounded,final_radial_910010_negative,2595.201084,2445.435732,-149.7653519999999,-5.7708573306067485,True,True,-197.76535395512929,11.0,55.0,-18.0,0.0
bounded,final_reception_edge_910011_spatial_hash,4504.736523,3479.914817,-1024.8217059999997,-22.749870070480917,True,True,-1071.821705858527,3.0,65.0,-21.0,0.0
bounded,final_reception_edge_910011_smooth,3825.605539,3489.364463,-336.24107600000025,-8.789224936345441,True,True,-391.24107511139755,8.0,95.0,-48.0,0.0
