case_id,seed,family,source_count,error_mode,rounding,variant,current_s,candidate_s,change_s,change_pct,current_success,candidate_success
dispatch_development_cluster_2026091314_negative,2026091314,cluster,10,negative,bounded,COVERAGE_ORDER,2117.559119,2117.559119,0.0,0.0,True,True
dispatch_development_cluster_2026091314_positive,2026091314,cluster,10,positive,bounded,COVERAGE_ORDER,2103.266382,2072.146036,-31.1203459999997,-1.4796198078536937,True,True
dispatch_development_cluster_2026091314_smooth,2026091314,cluster,10,smooth,bounded,COVERAGE_ORDER,2074.797142,2097.452515,22.655373000000054,1.0919319552446183,True,True
dispatch_development_cluster_2026091314_spatial_hash,2026091314,cluster,10,spatial_hash,bounded,COVERAGE_ORDER,2091.245364,2091.245364,0.0,0.0,True,True
dispatch_development_cluster_2026091315_negative,2026091315,cluster,11,negative,bounded,COVERAGE_ORDER,2389.059309,2389.059309,0.0,0.0,True,True
dispatch_development_cluster_2026091315_positive,2026091315,cluster,11,positive,bounded,COVERAGE_ORDER,2173.706601,2173.706601,0.0,0.0,True,True
dispatch_development_cluster_2026091315_smooth,2026091315,cluster,11,smooth,bounded,COVERAGE_ORDER,2344.290144,2344.290144,0.0,0.0,True,True
dispatch_development_cluster_2026091315_spatial_hash,2026091315,cluster,11,spatial_hash,bounded,COVERAGE_ORDER,2143.954058,2143.954058,0.0,0.0,True,True
dispatch_development_cluster_2026091316_negative,2026091316,cluster,12,negative,bounded,COVERAGE_ORDER,2420.546752,2267.230468,-153.316284,-6.333952602787818,True,True
dispatch_development_cluster_2026091316_positive,2026091316,cluster,12,positive,bounded,COVERAGE_ORDER,2350.254346,2212.065253,-138.18909299999996,-5.879750557006302,True,True
dispatch_development_cluster_2026091316_smooth,2026091316,cluster,12,smooth,bounded,COVERAGE_ORDER,2234.460985,2234.460985,0.0,0.0,True,True
dispatch_development_cluster_2026091316_spatial_hash,2026091316,cluster,12,spatial_hash,bounded,COVERAGE_ORDER,2262.106806,2226.106806,-36.0,-1.5914367926622153,True,True
dispatch_development_cluster_2026091317_negative,2026091317,cluster,13,negative,bounded,COVERAGE_ORDER,2492.968582,2346.903089,-146.06549300000006,-5.859098829188536,True,True
dispatch_development_cluster_2026091317_positive,2026091317,cluster,13,positive,bounded,COVERAGE_ORDER,2521.063987,2267.239621,-253.82436599999983,-10.068144533770607,True,True
dispatch_development_cluster_2026091317_smooth,2026091317,cluster,13,smooth,bounded,COVERAGE_ORDER,2486.693204,2276.692678,-210.00052600000026,-8.444971243827004,True,True
dispatch_development_cluster_2026091317_spatial_hash,2026091317,cluster,13,spatial_hash,bounded,COVERAGE_ORDER,2526.475948,2270.3561,-256.1198479999998,-10.137434643015242,True,True
dispatch_development_cluster_2026091318_negative,2026091318,cluster,14,negative,bounded,COVERAGE_ORDER,1947.969347,1947.969347,0.0,0.0,True,True
dispatch_development_cluster_2026091318_positive,2026091318,cluster,14,positive,bounded,COVERAGE_ORDER,1922.047939,1922.047939,0.0,0.0,True,True
dispatch_development_cluster_2026091318_smooth,2026091318,cluster,14,smooth,bounded,COVERAGE_ORDER,1945.030469,1945.030469,0.0,0.0,True,True
dispatch_development_cluster_2026091318_spatial_hash,2026091318,cluster,14,spatial_hash,bounded,COVERAGE_ORDER,1949.611193,1949.611193,0.0,0.0,True,True
dispatch_development_cluster_2026091319_negative,2026091319,cluster,15,negative,bounded,COVERAGE_ORDER,2271.63164,2271.63164,0.0,0.0,True,True
dispatch_development_cluster_2026091319_positive,2026091319,cluster,15,positive,bounded,COVERAGE_ORDER,2219.447558,2219.447558,0.0,0.0,True,True
dispatch_development_cluster_2026091319_smooth,2026091319,cluster,15,smooth,bounded,COVERAGE_ORDER,2294.436687,2294.436687,0.0,0.0,True,True
dispatch_development_cluster_2026091319_spatial_hash,2026091319,cluster,15,spatial_hash,bounded,COVERAGE_ORDER,2249.711219,2249.711219,0.0,0.0,True,True
dispatch_development_cluster_2026091320_negative,2026091320,cluster,16,negative,bounded,COVERAGE_ORDER,1057.408694,1057.408694,0.0,0.0,True,True
dispatch_development_cluster_2026091320_positive,2026091320,cluster,16,positive,bounded,COVERAGE_ORDER,1042.350538,1042.350538,0.0,0.0,True,True
dispatch_development_cluster_2026091320_smooth,2026091320,cluster,16,smooth,bounded,COVERAGE_ORDER,960.362381,960.362381,0.0,0.0,True,True
dispatch_development_cluster_2026091320_spatial_hash,2026091320,cluster,16,spatial_hash,bounded,COVERAGE_ORDER,1026.581858,1026.581858,0.0,0.0,True,True
dispatch_development_min_radius_2026091321_negative,2026091321,min_radius,10,negative,bounded,COVERAGE_ORDER,3289.570746,3730.110717,440.53997100000015,13.392019962959644,True,True
dispatch_development_min_radius_2026091321_positive,2026091321,min_radius,10,positive,bounded,COVERAGE_ORDER,3216.437047,3672.74685,456.3098030000001,14.186809700678094,True,True
dispatch_development_min_radius_2026091321_smooth,2026091321,min_radius,10,smooth,bounded,COVERAGE_ORDER,3274.410576,3720.228654,445.8180779999998,13.615216163411258,True,True
dispatch_development_min_radius_2026091321_spatial_hash,2026091321,min_radius,10,spatial_hash,bounded,COVERAGE_ORDER,3255.97061,3704.317399,448.3467890000002,13.769988820630052,True,True
dispatch_development_min_radius_2026091322_negative,2026091322,min_radius,11,negative,bounded,COVERAGE_ORDER,3381.5369,3697.234824,315.69792400000006,9.335930180149754,True,True
dispatch_development_min_radius_2026091322_positive,2026091322,min_radius,11,positive,bounded,COVERAGE_ORDER,3287.74129,3606.607328,318.8660380000001,9.698635320542515,True,True
dispatch_development_min_radius_2026091322_smooth,2026091322,min_radius,11,smooth,bounded,COVERAGE_ORDER,3332.533794,3647.028858,314.4950640000002,9.437115523516294,True,True
dispatch_development_min_radius_2026091322_spatial_hash,2026091322,min_radius,11,spatial_hash,bounded,COVERAGE_ORDER,3306.61828,3624.018988,317.40070799999967,9.598952195957722,True,True
dispatch_development_min_radius_2026091323_negative,2026091323,min_radius,12,negative,bounded,COVERAGE_ORDER,3591.413651,3459.713307,-131.70034399999986,-3.667089252259459,True,True
dispatch_development_min_radius_2026091323_positive,2026091323,min_radius,12,positive,bounded,COVERAGE_ORDER,3486.139701,3435.878195,-50.26150600000028,-1.4417524916050528,True,True
dispatch_development_min_radius_2026091323_smooth,2026091323,min_radius,12,smooth,bounded,COVERAGE_ORDER,3501.546796,3452.455214,-49.09158200000002,-1.4019970276016314,True,True
dispatch_development_min_radius_2026091323_spatial_hash,2026091323,min_radius,12,spatial_hash,bounded,COVERAGE_ORDER,3465.40647,3465.40647,0.0,0.0,True,True
dispatch_development_min_radius_2026091324_negative,2026091324,min_radius,13,negative,bounded,COVERAGE_ORDER,4124.705997,4724.118764,599.4127669999998,14.532254357909814,True,True
dispatch_development_min_radius_2026091324_positive,2026091324,min_radius,13,positive,bounded,COVERAGE_ORDER,4176.069137,4722.153793,546.084656,13.076523354503067,True,True
dispatch_development_min_radius_2026091324_smooth,2026091324,min_radius,13,smooth,bounded,COVERAGE_ORDER,4120.76063,4701.585066,580.8244359999999,14.095078267140204,True,True
dispatch_development_min_radius_2026091324_spatial_hash,2026091324,min_radius,13,spatial_hash,bounded,COVERAGE_ORDER,4171.698707,4735.803407,564.1047000000008,13.522182200105881,True,True
dispatch_development_min_radius_2026091325_negative,2026091325,min_radius,14,negative,bounded,COVERAGE_ORDER,3319.663532,3319.663532,0.0,0.0,True,True
dispatch_development_min_radius_2026091325_positive,2026091325,min_radius,14,positive,bounded,COVERAGE_ORDER,3429.445466,3429.445466,0.0,0.0,True,True
dispatch_development_min_radius_2026091325_smooth,2026091325,min_radius,14,smooth,bounded,COVERAGE_ORDER,3431.624371,3431.624371,0.0,0.0,True,True
dispatch_development_min_radius_2026091325_spatial_hash,2026091325,min_radius,14,spatial_hash,bounded,COVERAGE_ORDER,3385.645175,3385.645175,0.0,0.0,True,True
dispatch_development_min_radius_2026091326_negative,2026091326,min_radius,15,negative,bounded,COVERAGE_ORDER,3916.261661,4427.095858,510.8341969999997,13.043924058678979,True,True
dispatch_development_min_radius_2026091326_positive,2026091326,min_radius,15,positive,bounded,COVERAGE_ORDER,3843.229319,4373.544081,530.314762,13.798676008695377,True,True
dispatch_development_min_radius_2026091326_smooth,2026091326,min_radius,15,smooth,bounded,COVERAGE_ORDER,3847.122461,4371.650223,524.5277619999997,13.634288154779895,True,True
dispatch_development_min_radius_2026091326_spatial_hash,2026091326,min_radius,15,spatial_hash,bounded,COVERAGE_ORDER,3879.825385,4411.739985,531.9146000000001,13.70975616728689,True,True
dispatch_development_min_radius_2026091327_negative,2026091327,min_radius,16,negative,bounded,COVERAGE_ORDER,3848.031747,3848.031747,0.0,0.0,True,True
dispatch_development_min_radius_2026091327_positive,2026091327,min_radius,16,positive,bounded,COVERAGE_ORDER,3792.731434,3792.731434,0.0,0.0,True,True
dispatch_development_min_radius_2026091327_smooth,2026091327,min_radius,16,smooth,bounded,COVERAGE_ORDER,3809.876043,3809.876043,0.0,0.0,True,True
dispatch_development_min_radius_2026091327_spatial_hash,2026091327,min_radius,16,spatial_hash,bounded,COVERAGE_ORDER,3787.359262,3787.359262,0.0,0.0,True,True
dispatch_development_outer_2026091307_negative,2026091307,outer,10,negative,bounded,COVERAGE_ORDER,3550.300633,3315.328951,-234.97168199999987,-6.618360141559309,True,True
dispatch_development_outer_2026091307_positive,2026091307,outer,10,positive,bounded,COVERAGE_ORDER,3570.237987,3313.173038,-257.06494900000007,-7.200218863169027,True,True
dispatch_development_outer_2026091307_smooth,2026091307,outer,10,smooth,bounded,COVERAGE_ORDER,3563.44455,3329.881294,-233.56325600000037,-6.554423752714222,True,True
dispatch_development_outer_2026091307_spatial_hash,2026091307,outer,10,spatial_hash,bounded,COVERAGE_ORDER,3575.179805,3344.644398,-230.5354070000003,-6.44821853931904,True,True
dispatch_development_outer_2026091308_negative,2026091308,outer,11,negative,bounded,COVERAGE_ORDER,2463.823071,2838.971472,375.1484010000004,15.226271943615565,True,True
dispatch_development_outer_2026091308_positive,2026091308,outer,11,positive,bounded,COVERAGE_ORDER,2469.935892,2852.604725,382.6688330000002,15.493067420877015,True,True
dispatch_development_outer_2026091308_smooth,2026091308,outer,11,smooth,bounded,COVERAGE_ORDER,2500.267471,2904.712928,404.4454569999998,16.17608762626659,True,True
dispatch_development_outer_2026091308_spatial_hash,2026091308,outer,11,spatial_hash,bounded,COVERAGE_ORDER,2486.35374,2863.024291,376.67055100000016,15.149515732222408,True,True
dispatch_development_outer_2026091309_negative,2026091309,outer,12,negative,bounded,COVERAGE_ORDER,3490.137784,3693.084612,202.9468280000001,5.814865789264223,True,True
dispatch_development_outer_2026091309_positive,2026091309,outer,12,positive,bounded,COVERAGE_ORDER,3557.365423,3581.051164,23.68574099999978,0.6658225451583011,True,True
dispatch_development_outer_2026091309_smooth,2026091309,outer,12,smooth,bounded,COVERAGE_ORDER,3499.246729,3620.049849,120.80312000000004,3.4522607108222525,True,True
dispatch_development_outer_2026091309_spatial_hash,2026091309,outer,12,spatial_hash,bounded,COVERAGE_ORDER,3514.631513,3734.55007,219.91855699999996,6.25722941897493,True,True
dispatch_development_outer_2026091310_negative,2026091310,outer,13,negative,bounded,COVERAGE_ORDER,2296.26251,2374.26251,78.0,3.3968241723373316,True,True
dispatch_development_outer_2026091310_positive,2026091310,outer,13,positive,bounded,COVERAGE_ORDER,2276.989919,2354.989919,78.0,3.4255751134047996,True,True
dispatch_development_outer_2026091310_smooth,2026091310,outer,13,smooth,bounded,COVERAGE_ORDER,2282.330133,2360.330133,78.0,3.4175599258058798,True,True
dispatch_development_outer_2026091310_spatial_hash,2026091310,outer,13,spatial_hash,bounded,COVERAGE_ORDER,2274.996842,2352.996842,78.0,3.4285761878873,True,True
dispatch_development_outer_2026091311_negative,2026091311,outer,14,negative,bounded,COVERAGE_ORDER,3722.404984,3542.780931,-179.624053,-4.825483894742177,True,True
dispatch_development_outer_2026091311_positive,2026091311,outer,14,positive,bounded,COVERAGE_ORDER,3648.855935,3560.325995,-88.5299399999999,-2.426238294332661,True,True
dispatch_development_outer_2026091311_smooth,2026091311,outer,14,smooth,bounded,COVERAGE_ORDER,3729.360382,3598.72673,-130.63365199999998,-3.5028433462883313,True,True
dispatch_development_outer_2026091311_spatial_hash,2026091311,outer,14,spatial_hash,bounded,COVERAGE_ORDER,3727.54899,3564.44701,-163.1019799999999,-4.375582465517103,True,True
dispatch_development_outer_2026091312_negative,2026091312,outer,15,negative,bounded,COVERAGE_ORDER,2613.224342,2242.688396,-370.53594599999997,-14.179262761513034,True,True
dispatch_development_outer_2026091312_positive,2026091312,outer,15,positive,bounded,COVERAGE_ORDER,2621.262597,2243.841889,-377.4207080000001,-14.39843182563827,True,True
dispatch_development_outer_2026091312_smooth,2026091312,outer,15,smooth,bounded,COVERAGE_ORDER,2649.832806,2247.210355,-402.6224509999997,-15.194258675050898,True,True
dispatch_development_outer_2026091312_spatial_hash,2026091312,outer,15,spatial_hash,bounded,COVERAGE_ORDER,2673.028515,2249.52616,-423.5023550000001,-15.843540486884788,True,True
dispatch_development_outer_2026091313_negative,2026091313,outer,16,negative,bounded,COVERAGE_ORDER,3913.776992,3654.951289,-258.825703,-6.613194965606262,True,True
dispatch_development_outer_2026091313_positive,2026091313,outer,16,positive,bounded,COVERAGE_ORDER,3948.108987,3678.851059,-269.257928,-6.819921356948089,True,True
dispatch_development_outer_2026091313_smooth,2026091313,outer,16,smooth,bounded,COVERAGE_ORDER,3981.396854,3688.186694,-293.2101600000001,-7.364504739220356,True,True
dispatch_development_outer_2026091313_spatial_hash,2026091313,outer,16,spatial_hash,bounded,COVERAGE_ORDER,3900.064825,3636.172226,-263.8925989999998,-6.766364428314342,True,True
dispatch_development_radial_2026091328_negative,2026091328,radial,10,negative,bounded,COVERAGE_ORDER,2834.369393,3038.756941,204.38754800000015,7.211041316801303,True,True
dispatch_development_radial_2026091328_positive,2026091328,radial,10,positive,bounded,COVERAGE_ORDER,2981.274825,3023.648015,42.37319000000025,1.4213110996903922,True,True
dispatch_development_radial_2026091328_smooth,2026091328,radial,10,smooth,bounded,COVERAGE_ORDER,2871.895562,2805.085462,-66.81010000000015,-2.3263415593522963,True,True
dispatch_development_radial_2026091328_spatial_hash,2026091328,radial,10,spatial_hash,bounded,COVERAGE_ORDER,2796.855461,2834.966123,38.11066200000005,1.362625367360737,True,True
dispatch_development_radial_2026091329_negative,2026091329,radial,11,negative,bounded,COVERAGE_ORDER,2496.202771,2496.202771,0.0,0.0,True,True
dispatch_development_radial_2026091329_positive,2026091329,radial,11,positive,bounded,COVERAGE_ORDER,2488.521843,2488.521843,0.0,0.0,True,True
dispatch_development_radial_2026091329_smooth,2026091329,radial,11,smooth,bounded,COVERAGE_ORDER,2536.076704,2708.382557,172.30585299999984,6.794189336948375,True,True
dispatch_development_radial_2026091329_spatial_hash,2026091329,radial,11,spatial_hash,bounded,COVERAGE_ORDER,2496.899004,2496.899004,0.0,0.0,True,True
dispatch_development_radial_2026091330_negative,2026091330,radial,12,negative,bounded,COVERAGE_ORDER,2450.979019,2450.979019,0.0,0.0,True,True
dispatch_development_radial_2026091330_positive,2026091330,radial,12,positive,bounded,COVERAGE_ORDER,2506.072129,2506.072129,0.0,0.0,True,True
dispatch_development_radial_2026091330_smooth,2026091330,radial,12,smooth,bounded,COVERAGE_ORDER,2464.931869,2464.931869,0.0,0.0,True,True
dispatch_development_radial_2026091330_spatial_hash,2026091330,radial,12,spatial_hash,bounded,COVERAGE_ORDER,2444.825497,2444.825497,0.0,0.0,True,True
dispatch_development_radial_2026091331_negative,2026091331,radial,13,negative,bounded,COVERAGE_ORDER,2611.181217,2846.436906,235.25568900000007,9.009550446685832,True,True
