case_id,CS0,CS1,REF
holdout_110019_negative,4122.933907,4122.933907,4122.933907
holdout_110035_positive,4155.730824,4081.208551,4081.208551
holdout_130011_positive,4887.715041,4696.300176,4696.300176
holdout_130023_negative,5628.92966,5628.92966,5628.92966
holdout_130023_smooth,5514.163573,5514.163573,5514.163573
holdout_40002_negative,5474.528423,5474.528423,5474.528423
holdout_40032_spatial_hash,4804.990427,4804.990427,4804.990427
outer_holdout_120008_positive,5116.079836,5116.079836,5116.079836
outer_holdout_120008_spatial_hash,5150.415311,5150.415311,5150.415311
outer_holdout_140018_negative,5952.945348,5952.945348,5952.945348
outer_holdout_50000_positive,5304.104536,5296.5858,5296.5858
structured_dev_5_positive,1396.139297,1396.139297,1396.139297
