1/12 holdout_40002_negative: CS0=5475, CS1=5475, REF=5475
2/12 holdout_40032_spatial_hash: CS1=4805, REF=4805, CS0=4805
3/12 outer_holdout_50000_positive: REF=5297, CS0=5304, CS1=5297
4/12 structured_dev_5_positive: CS0=1396, CS1=1396, REF=1396
5/12 holdout_110019_negative: CS1=4123, REF=4123, CS0=4123
6/12 holdout_110035_positive: REF=4081, CS0=4156, CS1=4081
7/12 outer_holdout_120008_spatial_hash: CS0=5150, CS1=5150, REF=5150
8/12 outer_holdout_120008_positive: CS1=5116, REF=5116, CS0=5116
9/12 holdout_130023_smooth: REF=5514, CS0=5514, CS1=5514
10/12 holdout_130023_negative: CS0=5629, CS1=5629, REF=5629
11/12 holdout_130011_positive: CS1=4696, REF=4696, CS0=4888
12/12 outer_holdout_140018_negative: REF=5953, CS0=5953, CS1=5953
