1/12 holdout_40002_negative: CS0=5580, CS1=5580, REF=5580
2/12 holdout_40032_spatial_hash: CS1=4805, REF=4805, CS0=4805
3/12 outer_holdout_50000_positive: REF=5297, CS0=5304, CS1=5297
4/12 structured_dev_5_positive: CS0=1396, CS1=1396, REF=1396
5/12 holdout_110019_negative: CS1=4269, REF=4269, CS0=4269
6/12 holdout_110035_positive: REF=4002, CS0=4076, CS1=4002
7/12 outer_holdout_120008_spatial_hash: CS0=5150, CS1=5150, REF=5150
8/12 outer_holdout_120008_positive: CS1=4693, REF=4693, CS0=4693
9/12 holdout_130023_smooth: REF=5514, CS0=5514, CS1=5514
10/12 holdout_130023_negative: CS0=5348, CS1=5348, REF=5348
11/12 holdout_130011_positive: CS1=5898, REF=5803, CS0=6004
12/12 outer_holdout_140018_negative: REF=5953, CS0=5953, CS1=5953
