case_id,P,REF
holdout_110019_negative,4263.500502,4269.421279
holdout_110035_positive,4001.767246,4001.767246
holdout_130011_positive,5790.759407,5802.715461
holdout_130023_negative,5337.902622,5348.083665
holdout_130023_smooth,5514.180929,5514.180929
holdout_40002_negative,5579.8389,5579.8389
holdout_40032_spatial_hash,4804.990427,4804.990427
outer_holdout_120008_positive,4692.53371,4692.53371
outer_holdout_120008_spatial_hash,5150.415311,5150.415311
outer_holdout_140018_negative,5946.907011,5952.89873
outer_holdout_50000_positive,5296.854551,5296.854551
structured_dev_5_positive,1396.164592,1396.164592
