case_id,P,REF
outer_holdout_160000_negative,4634.845676,4634.845676
outer_holdout_160000_positive,5097.418706,5097.418706
outer_holdout_160000_smooth,5106.040593,5106.040593
outer_holdout_160000_spatial_hash,4725.366206,4725.366206
outer_holdout_160001_negative,3634.733659,3658.277314
outer_holdout_160001_positive,3436.23275,3452.881429
outer_holdout_160001_smooth,3499.787365,3522.243053
outer_holdout_160001_spatial_hash,3510.717063,3528.509536
outer_holdout_160002_negative,4711.163184,4711.163184
outer_holdout_160002_positive,4735.729274,4735.729274
outer_holdout_160002_smooth,4650.726883,4650.726883
outer_holdout_160002_spatial_hash,4782.163436,4782.163436
outer_holdout_160003_negative,3529.957516,3529.957516
outer_holdout_160003_positive,3340.228654,3340.228654
outer_holdout_160003_smooth,3400.950477,3400.950477
outer_holdout_160003_spatial_hash,3435.442513,3435.442513
outer_holdout_160004_negative,5026.183683,5026.183683
outer_holdout_160004_positive,5003.059545,5006.997686
outer_holdout_160004_smooth,4621.022276,4621.022276
outer_holdout_160004_spatial_hash,4656.094387,4656.094387
outer_holdout_160005_negative,2966.971215,2978.939769
outer_holdout_160005_positive,2901.895537,2901.895537
outer_holdout_160005_smooth,3022.669849,3022.669849
outer_holdout_160005_spatial_hash,2938.791541,2944.673712
outer_holdout_160006_negative,4379.444325,4379.444325
outer_holdout_160006_positive,4402.684338,4402.684338
outer_holdout_160006_smooth,4834.857344,4838.651507
outer_holdout_160006_spatial_hash,4399.090776,4399.090776
outer_holdout_160007_negative,3037.768757,3037.768757
outer_holdout_160007_positive,3462.335239,3462.335239
outer_holdout_160007_smooth,3476.630048,3476.630048
outer_holdout_160007_spatial_hash,3466.200924,3466.200924
outer_holdout_160008_negative,5396.458293,5406.681131
outer_holdout_160008_positive,4527.169929,4527.169929
outer_holdout_160008_smooth,4538.851998,4544.846906
outer_holdout_160008_spatial_hash,4995.047268,4995.047268
outer_holdout_160009_negative,3113.271926,3113.271926
outer_holdout_160009_positive,3104.119297,3104.119297
outer_holdout_160009_smooth,3098.041638,3098.041638
outer_holdout_160009_spatial_hash,3100.381603,3100.381603
outer_holdout_160010_negative,4722.210289,4727.930507
outer_holdout_160010_positive,5398.604324,5398.604324
outer_holdout_160010_smooth,4826.852028,4826.852028
outer_holdout_160010_spatial_hash,5434.059607,5434.059607
outer_holdout_160011_negative,3168.454271,3168.454271
outer_holdout_160011_positive,2995.5486,2995.5486
outer_holdout_160011_smooth,2997.488069,2997.488069
outer_holdout_160011_spatial_hash,3055.977431,3055.977431
outer_holdout_160012_negative,4762.104618,4762.104618
outer_holdout_160012_positive,4539.407025,4539.407025
outer_holdout_160012_smooth,4568.275229,4568.275229
outer_holdout_160012_spatial_hash,4653.083283,4653.083283
outer_holdout_160013_negative,3796.751426,3855.21974
outer_holdout_160013_positive,3565.1829,3565.1829
outer_holdout_160013_smooth,3534.318881,3540.28443
outer_holdout_160013_spatial_hash,3662.297851,3679.747921
outer_holdout_160014_negative,4580.569201,4580.569201
outer_holdout_160014_positive,5129.091896,5129.091896
outer_holdout_160014_smooth,4844.08509,4844.08509
outer_holdout_160014_spatial_hash,4679.192004,4679.192004
outer_holdout_160015_negative,3030.10634,3030.10634
outer_holdout_160015_positive,2785.27024,2785.27024
outer_holdout_160015_smooth,2857.924981,2857.924981
outer_holdout_160015_spatial_hash,2785.157502,2785.157502
outer_holdout_160016_negative,4926.197143,4926.197143
outer_holdout_160016_positive,4866.999976,4866.999976
outer_holdout_160016_smooth,4999.490298,4999.490298
outer_holdout_160016_spatial_hash,4805.620456,4805.620456
outer_holdout_160017_negative,3430.992682,3430.992682
outer_holdout_160017_positive,3397.462131,3397.462131
outer_holdout_160017_smooth,3386.956996,3386.956996
outer_holdout_160017_spatial_hash,3390.197915,3390.197915
outer_holdout_160018_negative,4775.897604,4775.897604
outer_holdout_160018_positive,4822.860366,4822.860366
outer_holdout_160018_smooth,4992.217822,4992.217822
outer_holdout_160018_spatial_hash,4910.893037,4910.893037
outer_holdout_160019_negative,3175.583491,3175.583491
outer_holdout_160019_positive,3158.064075,3158.064075
outer_holdout_160019_smooth,3100.207255,3100.207255
outer_holdout_160019_spatial_hash,3088.90667,3088.90667
