1/12 holdout_40002_negative: Q=5475, REF=5475
2/12 holdout_40032_spatial_hash: REF=4805, Q=4805
3/12 outer_holdout_50000_positive: Q=5297, REF=5297
4/12 structured_dev_5_positive: REF=1396, Q=1396
5/12 holdout_110019_negative: Q=4123, REF=4123
6/12 holdout_110035_positive: REF=4081, Q=4081
7/12 outer_holdout_120008_spatial_hash: Q=5150, REF=5150
8/12 outer_holdout_120008_positive: REF=5116, Q=5116
9/12 holdout_130023_smooth: Q=5514, REF=5514
10/12 holdout_130023_negative: REF=5619, Q=5619
11/12 holdout_130011_positive: Q=4693, REF=4693
12/12 outer_holdout_140018_negative: REF=5947, Q=5947
