1/12 holdout_40002_negative: Q=5580, REF=5580
2/12 holdout_40032_spatial_hash: REF=4805, Q=4805
3/12 outer_holdout_50000_positive: Q=5297, REF=5297
4/12 structured_dev_5_positive: REF=1396, Q=1396
5/12 holdout_110019_negative: Q=4264, REF=4264
6/12 holdout_110035_positive: REF=4002, Q=4002
7/12 outer_holdout_120008_spatial_hash: Q=5150, REF=5150
8/12 outer_holdout_120008_positive: REF=4693, Q=4693
9/12 holdout_130023_smooth: Q=5514, REF=5514
10/12 holdout_130023_negative: REF=5338, Q=5338
11/12 holdout_130011_positive: Q=5791, REF=5791
12/12 outer_holdout_140018_negative: REF=5947, Q=5947
