case_id,BOTH,DOMAIN,RANGE,REF
holdout_110019_negative,4122.933907,4122.933907,4122.933907,4122.933907
holdout_110035_positive,4081.208551,4081.208551,4081.208551,4081.208551
holdout_130011_positive,4693.288438,4693.288438,4693.288438,4693.288438
holdout_130023_negative,5618.749538,5618.749538,5618.749538,5618.749538
holdout_130023_smooth,5514.163573,5514.163573,5514.163573,5514.163573
holdout_40002_negative,5474.528423,5474.528423,5474.528423,5474.528423
holdout_40032_spatial_hash,4804.990427,4804.990427,4804.990427,4804.990427
outer_holdout_120008_positive,5116.079836,5116.079836,5116.079836,5116.079836
outer_holdout_120008_spatial_hash,5150.415311,5150.415311,5150.415311,5150.415311
outer_holdout_140018_negative,5946.953629,5946.953629,5946.953629,5946.953629
outer_holdout_50000_positive,5296.5858,5296.5858,5296.5858,5296.5858
structured_dev_5_positive,1396.139297,1396.139297,1396.139297,1396.139297
