1/12 holdout_40002_negative: BOTH=5475, DOMAIN=5475, RANGE=5475, REF=5475
2/12 holdout_40032_spatial_hash: DOMAIN=4805, RANGE=4805, REF=4805, BOTH=4805
3/12 outer_holdout_50000_positive: RANGE=5297, REF=5297, BOTH=5297, DOMAIN=5297
4/12 structured_dev_5_positive: REF=1396, BOTH=1396, DOMAIN=1396, RANGE=1396
5/12 holdout_110019_negative: BOTH=4123, DOMAIN=4123, RANGE=4123, REF=4123
6/12 holdout_110035_positive: DOMAIN=4081, RANGE=4081, REF=4081, BOTH=4081
7/12 outer_holdout_120008_spatial_hash: RANGE=5150, REF=5150, BOTH=5150, DOMAIN=5150
8/12 outer_holdout_120008_positive: REF=5116, BOTH=5116, DOMAIN=5116, RANGE=5116
9/12 holdout_130023_smooth: BOTH=5514, DOMAIN=5514, RANGE=5514, REF=5514
10/12 holdout_130023_negative: DOMAIN=5619, RANGE=5619, REF=5619, BOTH=5619
11/12 holdout_130011_positive: RANGE=4693, REF=4693, BOTH=4693, DOMAIN=4693
12/12 outer_holdout_140018_negative: REF=5947, BOTH=5947, DOMAIN=5947, RANGE=5947
