case_id,BOTH,DOMAIN,RANGE,REF
outer_holdout_180000_negative,4742.401183,4742.401183,4742.401183,4742.401183
outer_holdout_180000_positive,4781.521974,4781.521974,4781.521974,4781.521974
outer_holdout_180000_smooth,4400.117269,4400.117269,4400.117269,4400.117269
outer_holdout_180000_spatial_hash,4615.201595,4615.201595,4615.201595,4615.201595
outer_holdout_180001_negative,2934.30004,2934.30004,2934.30004,2934.30004
outer_holdout_180001_positive,2863.572084,2863.572084,2863.572084,2863.572084
outer_holdout_180001_smooth,2873.818854,2873.818854,2873.818854,2873.818854
outer_holdout_180001_spatial_hash,2870.267096,2870.267096,2870.267096,2870.267096
outer_holdout_180002_negative,5342.733276,5342.733276,5342.733276,5342.733276
outer_holdout_180002_positive,5060.939845,5060.939845,5060.939845,5060.939845
outer_holdout_180002_smooth,5022.240137,5022.240137,5022.240137,5022.240137
outer_holdout_180002_spatial_hash,5209.939177,5209.939177,5209.939177,5209.939177
outer_holdout_180003_negative,3116.503266,3116.503266,3116.503266,3116.503266
outer_holdout_180003_positive,2858.75875,2858.75875,2858.75875,2858.75875
outer_holdout_180003_smooth,2927.74578,2927.74578,2927.74578,2927.74578
outer_holdout_180003_spatial_hash,2969.664422,2969.664422,2969.664422,2969.664422
outer_holdout_180004_negative,4613.561567,4613.561567,4613.561567,4613.561567
outer_holdout_180004_positive,4263.271374,4263.271374,4263.271374,4263.271374
outer_holdout_180004_smooth,4213.351029,4213.351029,4213.351029,4213.351029
outer_holdout_180004_spatial_hash,5025.870815,5025.870815,5025.870815,5025.870815
outer_holdout_180005_negative,1773.275626,1773.275626,1773.275626,1773.275626
outer_holdout_180005_positive,1723.747249,1723.747249,1723.747249,1723.747249
outer_holdout_180005_smooth,1805.046835,1815.185541,1805.046835,1815.185541
outer_holdout_180005_spatial_hash,1617.416966,1617.416966,1617.416966,1617.416966
outer_holdout_180006_negative,4507.008378,4507.008378,4507.008378,4507.008378
outer_holdout_180006_positive,4448.190471,4448.190471,4448.190471,4448.190471
outer_holdout_180006_smooth,4437.861737,4437.861737,4437.861737,4437.861737
outer_holdout_180006_spatial_hash,4522.039646,4522.039646,4522.039646,4522.039646
outer_holdout_180007_negative,3084.183008,3084.183008,3084.183008,3084.183008
outer_holdout_180007_positive,2981.89322,2981.89322,2981.89322,2981.89322
outer_holdout_180007_smooth,3081.724769,3081.724769,3081.724769,3081.724769
outer_holdout_180007_spatial_hash,3024.194611,3024.194611,3024.194611,3024.194611
outer_holdout_180008_negative,4857.749191,4857.749191,4857.749191,4857.749191
outer_holdout_180008_positive,4797.340141,4797.340141,4797.340141,4797.340141
outer_holdout_180008_smooth,4757.306378,4757.306378,4757.306378,4757.306378
outer_holdout_180008_spatial_hash,4829.364452,4829.364452,4829.364452,4829.364452
outer_holdout_180009_negative,3476.066768,3476.066768,3476.066768,3476.066768
outer_holdout_180009_positive,3275.478592,3275.478592,3275.478592,3275.478592
outer_holdout_180009_smooth,3276.469324,3276.469324,3276.469324,3276.469324
outer_holdout_180009_spatial_hash,3341.927263,3341.927263,3341.927263,3341.927263
outer_holdout_180010_negative,5436.516225,5446.292144,5442.185696,5451.961615
outer_holdout_180010_positive,5358.883375,5358.883375,5358.883375,5358.883375
outer_holdout_180010_smooth,5461.134223,5461.134223,5461.134223,5461.134223
outer_holdout_180010_spatial_hash,5472.819877,5472.819877,5472.819877,5472.819877
outer_holdout_180011_negative,3096.570059,3096.570059,3096.570059,3096.570059
outer_holdout_180011_positive,3103.650932,3103.650932,3103.650932,3103.650932
outer_holdout_180011_smooth,3087.201518,3087.201518,3087.201518,3087.201518
outer_holdout_180011_spatial_hash,3105.737415,3105.737415,3105.737415,3105.737415
outer_holdout_180012_negative,5329.21443,5329.21443,5329.21443,5329.21443
outer_holdout_180012_positive,5437.660342,5437.660342,5437.660342,5437.660342
outer_holdout_180012_smooth,5726.051766,5726.051766,5726.051766,5726.051766
outer_holdout_180012_spatial_hash,5754.980486,5754.980486,5754.980486,5754.980486
outer_holdout_180013_negative,3449.828434,3449.828434,3449.828434,3449.828434
outer_holdout_180013_positive,3361.773832,3361.773832,3361.773832,3361.773832
outer_holdout_180013_smooth,3419.653575,3419.653575,3419.653575,3419.653575
outer_holdout_180013_spatial_hash,3449.685842,3449.685842,3449.685842,3449.685842
outer_holdout_180014_negative,4913.901099,4913.901099,4913.901099,4913.901099
outer_holdout_180014_positive,4438.426178,4438.426178,4438.426178,4438.426178
outer_holdout_180014_smooth,4589.206997,4589.206997,4589.206997,4589.206997
outer_holdout_180014_spatial_hash,4816.956309,4816.956309,4816.956309,4816.956309
outer_holdout_180015_negative,3177.907741,3177.907741,3177.907741,3177.907741
outer_holdout_180015_positive,3149.864391,3149.864391,3149.864391,3149.864391
outer_holdout_180015_smooth,3231.210599,3231.210599,3231.210599,3231.210599
outer_holdout_180015_spatial_hash,3183.584027,3183.584027,3183.584027,3183.584027
outer_holdout_180016_negative,5658.818845,5658.818845,5658.818845,5658.818845
outer_holdout_180016_positive,5516.975813,5516.975813,5516.975813,5516.975813
outer_holdout_180016_smooth,5621.694035,5621.694035,5621.694035,5621.694035
outer_holdout_180016_spatial_hash,5479.491887,5479.491887,5479.491887,5479.491887
outer_holdout_180017_negative,3249.422195,3249.422195,3249.422195,3249.422195
outer_holdout_180017_positive,3075.164395,3075.164395,3075.164395,3075.164395
outer_holdout_180017_smooth,3119.486343,3119.486343,3119.486343,3119.486343
outer_holdout_180017_spatial_hash,3224.830111,3224.830111,3224.830111,3224.830111
outer_holdout_180018_negative,4877.707204,4877.707204,4877.707204,4877.707204
outer_holdout_180018_positive,4907.397941,4907.397941,4907.397941,4907.397941
outer_holdout_180018_smooth,4916.148297,4916.148297,4916.148297,4916.148297
outer_holdout_180018_spatial_hash,4858.814546,4858.814546,4858.814546,4858.814546
outer_holdout_180019_negative,1908.993867,1908.993867,1908.993867,1908.993867
outer_holdout_180019_positive,1540.370553,1540.370553,1540.370553,1540.370553
outer_holdout_180019_smooth,1669.886988,1669.886988,1669.886988,1669.886988
outer_holdout_180019_spatial_hash,1629.433175,1629.433175,1629.433175,1629.433175
