case_id,BOTH,DOMAIN,RANGE,REF
outer_holdout_180000_negative,4742.288642,4742.288642,4742.288642,4742.288642
outer_holdout_180000_positive,4704.993501,4704.993501,4704.993501,4704.993501
outer_holdout_180000_smooth,4400.117269,4400.117269,4400.117269,4400.117269
outer_holdout_180000_spatial_hash,4615.201595,4615.201595,4615.201595,4615.201595
outer_holdout_180001_negative,2934.386395,2934.386395,2934.386395,2934.386395
outer_holdout_180001_positive,2863.637085,2863.637085,2863.637085,2863.637085
outer_holdout_180001_smooth,2873.818854,2873.818854,2873.818854,2873.818854
outer_holdout_180001_spatial_hash,2870.267096,2870.267096,2870.267096,2870.267096
outer_holdout_180002_negative,5446.003242,5446.003242,5446.003242,5446.003242
outer_holdout_180002_positive,5183.688648,5183.688648,5183.688648,5183.688648
outer_holdout_180002_smooth,5022.17419,5022.17419,5022.17419,5022.17419
outer_holdout_180002_spatial_hash,5209.939177,5209.939177,5209.939177,5209.939177
outer_holdout_180003_negative,3116.549995,3116.549995,3116.549995,3116.549995
outer_holdout_180003_positive,2858.516761,2858.516761,2858.516761,2858.516761
outer_holdout_180003_smooth,2927.74578,2927.74578,2927.74578,2927.74578
outer_holdout_180003_spatial_hash,2969.664422,2969.664422,2969.664422,2969.664422
outer_holdout_180004_negative,4479.679758,4479.679758,4479.679758,4479.679758
outer_holdout_180004_positive,4436.138045,4436.138045,4436.138045,4436.138045
outer_holdout_180004_smooth,4213.351029,4213.351029,4213.351029,4213.351029
outer_holdout_180004_spatial_hash,5025.870815,5025.870815,5025.870815,5025.870815
outer_holdout_180005_negative,1773.373707,1773.373707,1773.373707,1773.373707
outer_holdout_180005_positive,1782.890096,1782.890096,1782.890096,1782.890096
outer_holdout_180005_smooth,1805.055958,1815.194664,1805.055958,1815.194664
outer_holdout_180005_spatial_hash,1617.416966,1617.416966,1617.416966,1617.416966
outer_holdout_180006_negative,4463.77616,4463.77616,4463.77616,4463.77616
outer_holdout_180006_positive,4547.327832,4547.327832,4547.327832,4547.327832
outer_holdout_180006_smooth,4437.861737,4437.861737,4437.861737,4437.861737
outer_holdout_180006_spatial_hash,4522.039646,4522.039646,4522.039646,4522.039646
outer_holdout_180007_negative,3086.285493,3086.285493,3086.285493,3086.285493
outer_holdout_180007_positive,2981.884475,2981.884475,2981.884475,2981.884475
outer_holdout_180007_smooth,3081.724769,3081.724769,3081.724769,3081.724769
outer_holdout_180007_spatial_hash,3024.194611,3024.194611,3024.194611,3024.194611
outer_holdout_180008_negative,4908.903982,4908.903982,4908.903982,4908.903982
outer_holdout_180008_positive,4795.560754,4795.560754,4795.560754,4795.560754
outer_holdout_180008_smooth,4757.306378,4757.306378,4757.306378,4757.306378
outer_holdout_180008_spatial_hash,4829.364452,4829.364452,4829.364452,4829.364452
outer_holdout_180009_negative,3486.087454,3486.087454,3486.087454,3486.087454
outer_holdout_180009_positive,3275.467096,3275.467096,3275.467096,3275.467096
outer_holdout_180009_smooth,3276.469324,3276.469324,3276.469324,3276.469324
outer_holdout_180009_spatial_hash,3341.927263,3341.927263,3341.927263,3341.927263
outer_holdout_180010_negative,4886.358434,4886.358434,4892.028486,4892.028486
outer_holdout_180010_positive,5295.191793,5295.191793,5295.191793,5295.191793
outer_holdout_180010_smooth,5461.134223,5461.134223,5461.134223,5461.134223
outer_holdout_180010_spatial_hash,5472.819877,5472.819877,5472.819877,5472.819877
outer_holdout_180011_negative,3112.120229,3112.120229,3112.120229,3112.120229
outer_holdout_180011_positive,3088.888902,3088.888902,3088.888902,3088.888902
outer_holdout_180011_smooth,3087.201518,3087.201518,3087.201518,3087.201518
outer_holdout_180011_spatial_hash,3105.737415,3105.737415,3105.737415,3105.737415
outer_holdout_180012_negative,5387.56305,5387.56305,5387.56305,5387.56305
outer_holdout_180012_positive,5166.499565,5166.499565,5166.499565,5166.499565
outer_holdout_180012_smooth,5726.130004,5726.130004,5726.130004,5726.130004
outer_holdout_180012_spatial_hash,5754.980486,5754.980486,5754.980486,5754.980486
outer_holdout_180013_negative,3447.648185,3447.648185,3447.648185,3447.648185
outer_holdout_180013_positive,3369.77851,3369.77851,3369.77851,3369.77851
outer_holdout_180013_smooth,3419.653404,3419.653404,3419.653404,3419.653404
outer_holdout_180013_spatial_hash,3449.685842,3449.685842,3449.685842,3449.685842
outer_holdout_180014_negative,4931.09195,4931.09195,4931.09195,4931.09195
outer_holdout_180014_positive,4683.40532,4683.40532,4683.40532,4683.40532
outer_holdout_180014_smooth,4589.206997,4589.206997,4589.206997,4589.206997
outer_holdout_180014_spatial_hash,4816.956309,4816.956309,4816.956309,4816.956309
outer_holdout_180015_negative,3176.59779,3176.59779,3176.59779,3176.59779
outer_holdout_180015_positive,3149.911658,3149.911658,3149.911658,3149.911658
outer_holdout_180015_smooth,3231.1928,3231.1928,3231.1928,3231.1928
outer_holdout_180015_spatial_hash,3183.584027,3183.584027,3183.584027,3183.584027
outer_holdout_180016_negative,5692.237438,5692.237438,5692.237438,5692.237438
outer_holdout_180016_positive,5608.601111,5608.601111,5608.601111,5608.601111
outer_holdout_180016_smooth,5621.694035,5621.694035,5621.694035,5621.694035
outer_holdout_180016_spatial_hash,5479.491887,5479.491887,5479.491887,5479.491887
outer_holdout_180017_negative,3107.760763,3107.760763,3107.760763,3107.760763
outer_holdout_180017_positive,3075.096354,3075.096354,3075.096354,3075.096354
outer_holdout_180017_smooth,3119.432507,3119.432507,3119.432507,3119.432507
outer_holdout_180017_spatial_hash,3224.830111,3224.830111,3224.830111,3224.830111
outer_holdout_180018_negative,4877.640024,4877.640024,4877.640024,4877.640024
