1/12 holdout_40002_negative: PHASE=5069, REF=5475
2/12 holdout_40032_spatial_hash: REF=4805, PHASE=3862
3/12 outer_holdout_50000_positive: PHASE=5297, REF=5297
4/12 structured_dev_5_positive: REF=1396, PHASE=1396
5/12 holdout_110019_negative: PHASE=4282, REF=4123
6/12 holdout_110035_positive: REF=4081, PHASE=4496
7/12 outer_holdout_120008_spatial_hash: PHASE=5150, REF=5150
8/12 outer_holdout_120008_positive: REF=5116, PHASE=5116
9/12 holdout_130023_smooth: PHASE=5056, REF=5514
10/12 holdout_130023_negative: REF=5619, PHASE=5270
11/12 holdout_130011_positive: PHASE=4996, REF=4693
12/12 outer_holdout_140018_negative: REF=5947, PHASE=5947
