1/12 holdout_40002_negative: PHASE=5043, REF=5580
2/12 holdout_40032_spatial_hash: REF=4805, PHASE=3862
3/12 outer_holdout_50000_positive: PHASE=5297, REF=5297
4/12 structured_dev_5_positive: REF=1396, PHASE=1396
5/12 holdout_110019_negative: PHASE=4754, REF=4264
6/12 holdout_110035_positive: REF=4002, PHASE=4309
7/12 outer_holdout_120008_spatial_hash: PHASE=5150, REF=5150
8/12 outer_holdout_120008_positive: REF=4693, PHASE=4693
9/12 holdout_130023_smooth: PHASE=5056, REF=5514
10/12 holdout_130023_negative: REF=5338, PHASE=4875
11/12 holdout_130011_positive: PHASE=4645, REF=5791
12/12 outer_holdout_140018_negative: REF=5947, PHASE=5947
