1/15 holdout_40002_negative: CACHE=5150, KNOWN=5383, REF=5475
2/15 holdout_40032_spatial_hash: KNOWN=4392, REF=4805, CACHE=4118
3/15 outer_holdout_50000_positive: REF=5297, CACHE=4805, KNOWN=4961
4/15 structured_dev_5_positive: CACHE=1396, KNOWN=1396, REF=1396
5/15 holdout_110019_negative: KNOWN=4362, REF=4123, CACHE=4053
6/15 holdout_110035_positive: REF=4081, CACHE=4373, KNOWN=4495
7/15 outer_holdout_120008_spatial_hash: CACHE=4724, KNOWN=4530, REF=5150
8/15 outer_holdout_120008_positive: KNOWN=4504, REF=5116, CACHE=4754
9/15 holdout_130023_smooth: REF=5514, CACHE=5672, KNOWN=5199
10/15 holdout_130023_negative: CACHE=5813, KNOWN=5335, REF=5619
11/15 holdout_130011_positive: KNOWN=5422, REF=4693, CACHE=4782
12/15 outer_holdout_140018_negative: REF=5947, CACHE=5860, KNOWN=5017
13/15 holdout_190046_smooth: CACHE=4006, KNOWN=4361, REF=4006
14/15 holdout_190049_negative: KNOWN=4780, REF=3799, CACHE=4569
15/15 holdout_190030_smooth: REF=4699, CACHE=4699, KNOWN=4529
