1/15 holdout_40002_negative: CACHE=5150, KNOWN=5383, REF=5580
2/15 holdout_40032_spatial_hash: KNOWN=4392, REF=4805, CACHE=4118
3/15 outer_holdout_50000_positive: REF=5297, CACHE=4760, KNOWN=4961
4/15 structured_dev_5_positive: CACHE=1396, KNOWN=1396, REF=1396
5/15 holdout_110019_negative: KNOWN=4206, REF=4264, CACHE=4715
6/15 holdout_110035_positive: REF=4002, CACHE=3873, KNOWN=4399
7/15 outer_holdout_120008_spatial_hash: CACHE=4724, KNOWN=4530, REF=5150
8/15 outer_holdout_120008_positive: KNOWN=4363, REF=4693, CACHE=4208
9/15 holdout_130023_smooth: REF=5514, CACHE=5672, KNOWN=5199
10/15 holdout_130023_negative: CACHE=5189, KNOWN=5003, REF=5338
11/15 holdout_130011_positive: KNOWN=5083, REF=5791, CACHE=4971
12/15 outer_holdout_140018_negative: REF=5947, CACHE=5860, KNOWN=5186
13/15 holdout_190046_smooth: CACHE=4006, KNOWN=4361, REF=4006
14/15 holdout_190049_negative: KNOWN=4451, REF=3736, CACHE=4562
15/15 holdout_190030_smooth: REF=4699, CACHE=4699, KNOWN=4529
