1/15 holdout_40002_negative: FREE=4679, REF=5475
2/15 holdout_40032_spatial_hash: REF=4805, FREE=3987
3/15 outer_holdout_50000_positive: FREE=4217, REF=5297
4/15 structured_dev_5_positive: REF=1396, FREE=1396
5/15 holdout_110019_negative: FREE=3749, REF=4123
6/15 holdout_110035_positive: REF=4081, FREE=3873
7/15 outer_holdout_120008_spatial_hash: FREE=4260, REF=5150
8/15 outer_holdout_120008_positive: REF=5116, FREE=4268
9/15 holdout_130023_smooth: FREE=5781, REF=5514
10/15 holdout_130023_negative: REF=5619, FREE=5894
11/15 holdout_130011_positive: FREE=4532, REF=4693
12/15 outer_holdout_140018_negative: REF=5947, FREE=4859
13/15 holdout_190046_smooth: FREE=4050, REF=4006
14/15 holdout_190049_negative: REF=3799, FREE=3886
15/15 holdout_190030_smooth: FREE=4443, REF=4699
