1/15 holdout_40002_negative: FREE=4933, REF=5580
2/15 holdout_40032_spatial_hash: REF=4805, FREE=3987
3/15 outer_holdout_50000_positive: FREE=4172, REF=5297
4/15 structured_dev_5_positive: REF=1396, FREE=1396
5/15 holdout_110019_negative: FREE=4205, REF=4264
6/15 holdout_110035_positive: REF=4002, FREE=3840
7/15 outer_holdout_120008_spatial_hash: FREE=4260, REF=5150
8/15 outer_holdout_120008_positive: REF=4693, FREE=4160
9/15 holdout_130023_smooth: FREE=5781, REF=5514
10/15 holdout_130023_negative: REF=5338, FREE=5467
11/15 holdout_130011_positive: FREE=4480, REF=5791
12/15 outer_holdout_140018_negative: REF=5947, FREE=4859
13/15 holdout_190046_smooth: FREE=4050, REF=4006
14/15 holdout_190049_negative: REF=3736, FREE=3811
15/15 holdout_190030_smooth: FREE=4443, REF=4699
