case_id,REF,ROUTE
holdout_110019_negative,3748.900199,3748.900199
holdout_110035_positive,3873.321571,3873.321571
holdout_130011_positive,4531.892515,4531.892515
holdout_130023_negative,5894.038735,5410.036791
holdout_130023_smooth,5781.254819,5282.32368
holdout_190030_smooth,4442.801809,4442.801809
holdout_190046_smooth,4050.387892,4184.659334
holdout_190049_negative,3886.002509,3886.002509
holdout_210032_positive,4209.261387,4209.261387
holdout_210044_smooth,5679.99073,5322.850176
holdout_40002_negative,4679.156433,5007.711392
holdout_40032_spatial_hash,3987.144407,3987.144407
outer_holdout_120008_positive,4267.86441,4267.86441
outer_holdout_120008_spatial_hash,4259.810654,4259.810654
outer_holdout_140018_negative,4858.612465,4858.612465
outer_holdout_50000_positive,4217.287192,4217.287192
structured_dev_5_positive,1396.139297,1396.139297
