1/17 holdout_40002_negative: REF=4679, ROUTE=5008
2/17 holdout_40032_spatial_hash: ROUTE=3987, REF=3987
3/17 outer_holdout_50000_positive: REF=4217, ROUTE=4217
4/17 structured_dev_5_positive: ROUTE=1396, REF=1396
5/17 holdout_110019_negative: REF=3749, ROUTE=3749
6/17 holdout_110035_positive: ROUTE=3873, REF=3873
7/17 outer_holdout_120008_spatial_hash: REF=4260, ROUTE=4260
8/17 outer_holdout_120008_positive: ROUTE=4268, REF=4268
9/17 holdout_130023_smooth: REF=5781, ROUTE=5282
10/17 holdout_130023_negative: ROUTE=5410, REF=5894
11/17 holdout_130011_positive: REF=4532, ROUTE=4532
12/17 outer_holdout_140018_negative: ROUTE=4859, REF=4859
13/17 holdout_190046_smooth: REF=4050, ROUTE=4185
14/17 holdout_190049_negative: ROUTE=3886, REF=3886
15/17 holdout_190030_smooth: REF=4443, ROUTE=4443
16/17 holdout_210032_positive: ROUTE=4209, REF=4209
17/17 holdout_210044_smooth: REF=5680, ROUTE=5323
