case_id,REF,ROUTE
holdout_110019_negative,4204.939601,4204.939601
holdout_110035_positive,3840.096955,3840.096955
holdout_130011_positive,4480.163147,4480.163147
holdout_130023_negative,5467.329359,5308.010539
holdout_130023_smooth,5781.272175,5282.32368
holdout_190030_smooth,4442.810091,4442.810091
holdout_190046_smooth,4050.397598,4184.659334
holdout_190049_negative,3810.586409,3810.586409
holdout_210032_positive,4540.99347,4426.434488
holdout_210044_smooth,5679.99073,5322.850176
holdout_40002_negative,4932.56713,4436.698576
holdout_40032_spatial_hash,3987.144407,3987.144407
outer_holdout_120008_positive,4159.772159,4159.772159
outer_holdout_120008_spatial_hash,4259.810654,4259.810654
outer_holdout_140018_negative,4858.507134,4858.507134
outer_holdout_50000_positive,4172.102159,4172.102159
structured_dev_5_positive,1396.164592,1396.164592
