case_id,DOMAIN,REF
dev_5_spatial_hash,4074.53733,4168.860931
holdout_110019_negative,3530.586726,3748.900199
holdout_110035_positive,3597.657915,3873.321571
holdout_130011_positive,4127.771739,4531.892515
holdout_130023_negative,5295.930398,5894.038735
holdout_130023_smooth,5115.775935,5781.254819
holdout_190030_smooth,3968.368668,4442.801809
holdout_190046_smooth,3802.62607,4050.387892
holdout_190049_negative,3644.985736,3886.002509
holdout_210032_positive,3928.335542,4209.261387
holdout_210044_smooth,4995.710063,5679.99073
holdout_40002_negative,4381.435862,4679.156433
holdout_40032_spatial_hash,3776.845958,3987.144407
outer_holdout_120008_positive,4061.35944,4267.86441
outer_holdout_120008_spatial_hash,4002.94548,4259.810654
outer_holdout_140018_negative,4240.145466,4858.612465
outer_holdout_50000_positive,3837.524191,4217.287192
structured_dev_5_positive,2176.333152,1396.139297
