case_id,DOMAIN,REF
dev_5_spatial_hash,4074.53733,4168.860931
holdout_110019_negative,4015.577423,4204.939601
holdout_110035_positive,3549.861381,3840.096955
holdout_130011_positive,4045.801034,4480.163147
holdout_130023_negative,5006.232358,5467.329359
holdout_130023_smooth,5115.775935,5781.272175
holdout_190030_smooth,3968.341073,4442.810091
holdout_190046_smooth,3802.644947,4050.397598
holdout_190049_negative,3810.586409,3810.586409
holdout_210032_positive,4018.397883,4540.99347
holdout_210044_smooth,4995.710063,5679.99073
holdout_40002_negative,4199.16472,4932.56713
holdout_40032_spatial_hash,3776.845958,3987.144407
outer_holdout_120008_positive,3791.914024,4159.772159
outer_holdout_120008_spatial_hash,4002.94548,4259.810654
outer_holdout_140018_negative,4239.985288,4858.507134
outer_holdout_50000_positive,3774.408323,4172.102159
structured_dev_5_positive,2176.354334,1396.164592
