case_id,DOMAIN,REF
outer_holdout_240000_negative,3788.684109,4199.08701
outer_holdout_240000_positive,3803.80515,4147.482014
outer_holdout_240000_smooth,3725.516843,4223.107815
outer_holdout_240000_spatial_hash,3766.178661,4168.943237
outer_holdout_240001_negative,3300.553607,2076.749135
outer_holdout_240001_positive,3284.917948,2079.366266
outer_holdout_240001_smooth,3331.996372,2207.073329
outer_holdout_240001_spatial_hash,3309.073568,2175.896893
outer_holdout_240002_negative,4515.245671,4700.982347
outer_holdout_240002_positive,4425.791074,4734.281952
outer_holdout_240002_smooth,4767.749942,5007.665667
outer_holdout_240002_spatial_hash,4054.005605,4375.141022
outer_holdout_240003_negative,3368.944715,2907.087777
outer_holdout_240003_positive,2963.119003,2753.623954
outer_holdout_240003_smooth,2981.796764,2764.181832
outer_holdout_240003_spatial_hash,2973.048154,2781.401364
outer_holdout_240004_negative,4389.765347,4868.961909
outer_holdout_240004_positive,4290.674202,4648.621107
outer_holdout_240004_smooth,4273.236307,4500.41352
outer_holdout_240004_spatial_hash,3978.955259,4284.41458
outer_holdout_240005_negative,3704.29231,2752.387307
outer_holdout_240005_positive,3640.812594,2713.235378
outer_holdout_240005_smooth,3688.31295,2732.986438
outer_holdout_240005_spatial_hash,3657.756318,2735.323233
outer_holdout_240006_negative,3804.899731,4129.54716
outer_holdout_240006_positive,3894.830531,4152.276941
outer_holdout_240006_smooth,3888.455376,4086.97737
outer_holdout_240006_spatial_hash,3679.456771,4030.595789
outer_holdout_240007_negative,2302.517309,1264.305251
outer_holdout_240007_positive,3190.984271,1070.969687
outer_holdout_240007_smooth,1171.87,1116.242544
outer_holdout_240007_spatial_hash,2567.221687,1104.757363
outer_holdout_240008_negative,3628.464592,4017.557237
outer_holdout_240008_positive,3670.28117,3957.239159
outer_holdout_240008_smooth,3535.994731,4122.404007
outer_holdout_240008_spatial_hash,3797.951644,4106.678062
outer_holdout_240009_negative,3121.801953,3048.510926
outer_holdout_240009_positive,2984.492498,2907.331365
outer_holdout_240009_smooth,3310.128501,2982.802408
outer_holdout_240009_spatial_hash,2999.545758,2935.1283
outer_holdout_240010_negative,3751.755104,4262.483662
outer_holdout_240010_positive,3411.996672,3949.724016
outer_holdout_240010_smooth,3850.294418,4024.16693
outer_holdout_240010_spatial_hash,3899.435068,4221.514336
outer_holdout_240011_negative,3538.02682,2981.675087
outer_holdout_240011_positive,3145.269475,2760.202693
outer_holdout_240011_smooth,3399.185882,2789.892871
outer_holdout_240011_spatial_hash,3209.622162,2945.189306
outer_holdout_240012_negative,4326.21615,4375.020115
outer_holdout_240012_positive,4210.468102,4106.783863
outer_holdout_240012_smooth,4118.444751,4171.19548
outer_holdout_240012_spatial_hash,3847.454301,3914.980718
outer_holdout_240013_negative,3658.860929,2675.784132
outer_holdout_240013_positive,3653.353592,2798.513571
outer_holdout_240013_smooth,3672.426508,2688.680064
outer_holdout_240013_spatial_hash,3671.302685,2666.212845
outer_holdout_240014_negative,3901.237981,4316.701463
outer_holdout_240014_positive,3827.001896,4350.462763
outer_holdout_240014_smooth,3903.508274,4549.240474
outer_holdout_240014_spatial_hash,3851.91901,4391.583296
outer_holdout_240015_negative,4089.537479,2509.792885
outer_holdout_240015_positive,4057.276158,2504.972462
outer_holdout_240015_smooth,4057.039318,2539.962371
outer_holdout_240015_spatial_hash,4082.611393,2667.03274
outer_holdout_240016_negative,4032.244182,4706.042301
outer_holdout_240016_positive,3851.330398,4001.530148
outer_holdout_240016_smooth,4234.332385,4700.268938
outer_holdout_240016_spatial_hash,3857.32519,4053.342087
outer_holdout_240017_negative,3310.400946,3013.166207
outer_holdout_240017_positive,3204.444397,2793.164413
outer_holdout_240017_smooth,3243.92475,2891.770457
outer_holdout_240017_spatial_hash,3230.169188,2801.084277
outer_holdout_240018_negative,3795.714771,4043.410684
outer_holdout_240018_positive,3749.14784,4320.63537
outer_holdout_240018_smooth,3591.29653,3998.032815
outer_holdout_240018_spatial_hash,4901.047878,5177.799291
outer_holdout_240019_negative,3622.594495,2818.603708
outer_holdout_240019_positive,3531.201653,2905.085135
outer_holdout_240019_smooth,3560.668641,2724.907497
outer_holdout_240019_spatial_hash,3588.119125,2792.786446
