case_id,BOTH,PRIMARY,REF,SHARED
dev_5_spatial_hash,3839.956457,4074.53733,4168.860931,4168.860931
holdout_110019_negative,3530.586726,3530.586726,3748.900199,3748.900199
holdout_110035_positive,3490.625564,3597.657915,3873.321571,3873.321571
holdout_130011_positive,4011.83594,4127.771739,4531.892515,4531.892515
holdout_130023_negative,5295.930398,5295.930398,5894.038735,5894.038735
holdout_130023_smooth,5115.775935,5115.775935,5781.254819,5781.254819
holdout_190030_smooth,3823.514923,3968.368668,4442.801809,4442.801809
holdout_190046_smooth,3867.273703,3802.62607,4050.387892,4115.515066
holdout_190049_negative,3644.985736,3644.985736,3886.002509,3886.002509
holdout_210032_positive,3928.335542,3928.335542,4209.261387,4209.261387
holdout_210044_smooth,4987.337254,4995.710063,5679.99073,5679.99073
holdout_230007_smooth,3959.634609,4058.326235,3742.581244,3742.581244
holdout_40002_negative,4031.771172,4381.435862,4679.156433,4467.354519
holdout_40032_spatial_hash,3783.830312,3776.845958,3987.144407,3963.790415
outer_holdout_120008_positive,3938.761435,4061.35944,4267.86441,4179.930018
outer_holdout_120008_spatial_hash,4004.684702,4002.94548,4259.810654,4363.008671
outer_holdout_140018_negative,4488.188715,4240.145466,4858.612465,4858.612465
outer_holdout_240007_positive,1060.047935,2396.309765,1066.764049,1066.764049
outer_holdout_240007_spatial_hash,1242.880858,2567.221687,1104.757363,1104.757363
outer_holdout_50000_positive,3662.811305,3837.524191,4217.287192,4217.287192
structured_dev_5_positive,1074.895299,2176.333152,1396.139297,1396.139297
