1/21 holdout_40002_negative: BOTH=4032, PRIMARY=4381, REF=4679, SHARED=4467
2/21 holdout_40032_spatial_hash: PRIMARY=3777, REF=3987, SHARED=3964, BOTH=3784
3/21 outer_holdout_50000_positive: REF=4217, SHARED=4217, BOTH=3663, PRIMARY=3838
4/21 structured_dev_5_positive: SHARED=1396, BOTH=1075, PRIMARY=2176, REF=1396
5/21 holdout_110019_negative: BOTH=3531, PRIMARY=3531, REF=3749, SHARED=3749
6/21 holdout_110035_positive: PRIMARY=3598, REF=3873, SHARED=3873, BOTH=3491
7/21 outer_holdout_120008_spatial_hash: REF=4260, SHARED=4363, BOTH=4005, PRIMARY=4003
8/21 outer_holdout_120008_positive: SHARED=4180, BOTH=3939, PRIMARY=4061, REF=4268
9/21 holdout_130023_smooth: BOTH=5116, PRIMARY=5116, REF=5781, SHARED=5781
10/21 holdout_130023_negative: PRIMARY=5296, REF=5894, SHARED=5894, BOTH=5296
11/21 holdout_130011_positive: REF=4532, SHARED=4532, BOTH=4012, PRIMARY=4128
12/21 outer_holdout_140018_negative: SHARED=4859, BOTH=4488, PRIMARY=4240, REF=4859
13/21 holdout_190046_smooth: BOTH=3867, PRIMARY=3803, REF=4050, SHARED=4116
14/21 holdout_190049_negative: PRIMARY=3645, REF=3886, SHARED=3886, BOTH=3645
15/21 holdout_190030_smooth: REF=4443, SHARED=4443, BOTH=3824, PRIMARY=3968
16/21 holdout_210032_positive: SHARED=4209, BOTH=3928, PRIMARY=3928, REF=4209
17/21 holdout_210044_smooth: BOTH=4987, PRIMARY=4996, REF=5680, SHARED=5680
18/21 dev_5_spatial_hash: PRIMARY=4075, REF=4169, SHARED=4169, BOTH=3840
19/21 outer_holdout_240007_spatial_hash: REF=1105, SHARED=1105, BOTH=1243, PRIMARY=2567
20/21 outer_holdout_240007_positive: SHARED=1067, BOTH=1060, PRIMARY=2396, REF=1067
21/21 holdout_230007_smooth: BOTH=3960, PRIMARY=4058, REF=3743, SHARED=3743
