case_id,BOTH,PRIMARY,REF,SHARED
dev_5_spatial_hash,3839.956457,4074.53733,4168.860931,4168.860931
holdout_110019_negative,3847.184208,4015.577423,4204.939601,4204.939601
holdout_110035_positive,3442.762721,3549.861381,3840.096955,3840.096955
holdout_130011_positive,4054.77851,4045.801034,4480.163147,4426.968291
holdout_130023_negative,5006.232358,5006.232358,5467.329359,5467.329359
holdout_130023_smooth,5115.775935,5115.775935,5781.272175,5781.272175
holdout_190030_smooth,3823.514923,3968.341073,4442.810091,4442.810091
holdout_190046_smooth,3867.29258,3802.644947,4050.397598,4115.524772
holdout_190049_negative,3810.586409,3810.586409,3810.586409,3810.586409
holdout_210032_positive,4018.397883,4018.397883,4540.99347,4540.99347
holdout_210044_smooth,4987.337254,4995.710063,5679.99073,5679.99073
holdout_230007_smooth,3959.634609,4058.326235,3742.581244,3742.581244
holdout_40002_negative,4198.473994,4199.16472,4932.56713,4827.190867
holdout_40032_spatial_hash,3783.830312,3776.845958,3987.144407,3963.790415
outer_holdout_120008_positive,3710.689378,3791.914024,4159.772159,4161.800335
outer_holdout_120008_spatial_hash,4004.684702,4002.94548,4259.810654,4363.008671
outer_holdout_140018_negative,4488.212166,4239.985288,4858.507134,4858.507134
outer_holdout_240007_positive,1200.614409,3190.984271,1070.969687,1070.969687
outer_holdout_240007_spatial_hash,1242.880858,2567.221687,1104.757363,1104.757363
outer_holdout_50000_positive,3686.096589,3774.408323,4172.102159,4172.102159
structured_dev_5_positive,1074.700798,2176.354334,1396.164592,1396.164592
