1/21 holdout_40002_negative: BOTH=4198, PRIMARY=4199, REF=4933, SHARED=4827
2/21 holdout_40032_spatial_hash: PRIMARY=3777, REF=3987, SHARED=3964, BOTH=3784
3/21 outer_holdout_50000_positive: REF=4172, SHARED=4172, BOTH=3686, PRIMARY=3774
4/21 structured_dev_5_positive: SHARED=1396, BOTH=1075, PRIMARY=2176, REF=1396
5/21 holdout_110019_negative: BOTH=3847, PRIMARY=4016, REF=4205, SHARED=4205
6/21 holdout_110035_positive: PRIMARY=3550, REF=3840, SHARED=3840, BOTH=3443
7/21 outer_holdout_120008_spatial_hash: REF=4260, SHARED=4363, BOTH=4005, PRIMARY=4003
8/21 outer_holdout_120008_positive: SHARED=4162, BOTH=3711, PRIMARY=3792, REF=4160
9/21 holdout_130023_smooth: BOTH=5116, PRIMARY=5116, REF=5781, SHARED=5781
10/21 holdout_130023_negative: PRIMARY=5006, REF=5467, SHARED=5467, BOTH=5006
11/21 holdout_130011_positive: REF=4480, SHARED=4427, BOTH=4055, PRIMARY=4046
12/21 outer_holdout_140018_negative: SHARED=4859, BOTH=4488, PRIMARY=4240, REF=4859
13/21 holdout_190046_smooth: BOTH=3867, PRIMARY=3803, REF=4050, SHARED=4116
14/21 holdout_190049_negative: PRIMARY=3811, REF=3811, SHARED=3811, BOTH=3811
15/21 holdout_190030_smooth: REF=4443, SHARED=4443, BOTH=3824, PRIMARY=3968
16/21 holdout_210032_positive: SHARED=4541, BOTH=4018, PRIMARY=4018, REF=4541
17/21 holdout_210044_smooth: BOTH=4987, PRIMARY=4996, REF=5680, SHARED=5680
18/21 dev_5_spatial_hash: PRIMARY=4075, REF=4169, SHARED=4169, BOTH=3840
19/21 outer_holdout_240007_spatial_hash: REF=1105, SHARED=1105, BOTH=1243, PRIMARY=2567
20/21 outer_holdout_240007_positive: SHARED=1071, BOTH=1201, PRIMARY=3191, REF=1071
21/21 holdout_230007_smooth: BOTH=3960, PRIMARY=4058, REF=3743, SHARED=3743
