case_id,BOTH,PRIMARY,REF,SHARED
outer_holdout_260000_negative,3813.661945,3871.388695,4189.812955,4189.812955
outer_holdout_260000_positive,3669.147991,3710.184255,4182.456806,4105.697114
outer_holdout_260000_smooth,3559.432993,3563.093214,4170.530535,4108.020052
outer_holdout_260000_spatial_hash,3862.207522,4034.637431,4653.137795,4653.137795
outer_holdout_260001_negative,2692.075906,3665.254439,2751.84227,2751.84227
outer_holdout_260001_positive,2591.866164,3607.761873,2704.811067,2704.811067
outer_holdout_260001_smooth,2620.964664,3648.03521,2695.970755,2695.970755
outer_holdout_260001_spatial_hash,2614.594414,3625.058449,2738.326339,2738.326339
outer_holdout_260002_negative,3998.285877,3952.459607,4334.378109,4334.378109
outer_holdout_260002_positive,4319.341562,4440.255122,4833.849758,4833.849758
outer_holdout_260002_smooth,4248.634201,3860.53867,4368.692506,4193.948485
outer_holdout_260002_spatial_hash,3660.65734,3662.637965,4868.652624,4151.566499
outer_holdout_260003_negative,2807.785141,3651.336798,3079.714559,3079.714559
outer_holdout_260003_positive,2716.466709,3585.288137,2841.769489,2841.769489
outer_holdout_260003_smooth,2764.486581,3627.406641,2877.708359,2877.708359
outer_holdout_260003_spatial_hash,2767.168305,3604.442764,2869.719301,2869.719301
outer_holdout_260004_negative,3980.18931,4485.671897,4326.749109,4326.749109
outer_holdout_260004_positive,4131.473671,4269.934862,4379.729523,4379.729523
outer_holdout_260004_smooth,4118.128901,4398.926463,4451.430378,4451.430378
outer_holdout_260004_spatial_hash,3987.706581,4338.739663,4400.464065,4400.464065
outer_holdout_260005_negative,2439.007973,3407.674451,2417.492403,2417.492403
outer_holdout_260005_positive,2456.423836,3394.822523,2549.435611,2549.435611
outer_holdout_260005_smooth,2459.962931,3413.262084,2592.413435,2592.413435
outer_holdout_260005_spatial_hash,2431.914843,3414.290815,2603.05343,2603.05343
outer_holdout_260006_negative,4929.427794,4919.48955,5260.355342,5181.444216
outer_holdout_260006_positive,4153.906744,4247.568377,4744.477653,4744.477653
outer_holdout_260006_smooth,4461.611416,4456.161863,4767.203234,4688.270022
outer_holdout_260006_spatial_hash,4350.338228,4054.954674,4615.485696,4557.001662
outer_holdout_260007_negative,2330.164574,4239.903281,2103.977254,2103.977254
outer_holdout_260007_positive,1966.429191,4037.869311,2027.562078,2027.562078
outer_holdout_260007_smooth,2060.566918,4120.086927,2056.351271,2056.351271
outer_holdout_260007_spatial_hash,2041.374763,4090.253823,2063.656975,2063.656975
outer_holdout_260008_negative,3958.965872,3958.965872,4475.807407,4475.807407
outer_holdout_260008_positive,3801.357254,3801.812685,4109.234984,4082.80698
outer_holdout_260008_smooth,3817.142357,3816.635632,4116.315231,4116.315231
outer_holdout_260008_spatial_hash,3797.521606,3797.521606,4512.17411,4730.898752
outer_holdout_260009_negative,3079.103709,3927.820823,3141.306968,3141.306968
outer_holdout_260009_positive,2848.915458,3745.036509,2954.137747,2954.137747
outer_holdout_260009_smooth,2917.965595,3802.632236,2981.814367,2981.814367
outer_holdout_260009_spatial_hash,2971.4027,3832.420408,3015.250215,3015.250215
outer_holdout_260010_negative,3280.736608,3396.66031,3586.402159,3553.861812
outer_holdout_260010_positive,3401.380404,3603.155967,3637.663097,3637.663097
outer_holdout_260010_smooth,3421.829163,3412.63143,3584.860578,3584.860578
outer_holdout_260010_spatial_hash,3041.536084,3363.694723,3601.127667,3601.127667
outer_holdout_260011_negative,2658.3818,3451.100994,2664.582305,2664.582305
outer_holdout_260011_positive,2533.369364,3785.397938,2616.606523,2616.606523
outer_holdout_260011_smooth,2681.510264,3781.688804,2662.752684,2662.752684
outer_holdout_260011_spatial_hash,2699.532064,3791.419836,2653.308778,2653.308778
outer_holdout_260012_negative,4299.926256,4796.936431,5385.450734,5229.009021
outer_holdout_260012_positive,4335.028269,4521.351942,5080.16753,4938.802247
outer_holdout_260012_smooth,4421.411543,4551.91919,4767.287831,4767.287831
outer_holdout_260012_spatial_hash,4508.314113,4650.547977,5293.294882,5135.812766
outer_holdout_260013_negative,2401.880409,3602.206566,2585.497322,2585.497322
outer_holdout_260013_positive,2590.651067,3600.077504,2507.146917,2507.146917
outer_holdout_260013_smooth,2524.095649,3606.774824,2598.522116,2598.522116
outer_holdout_260013_spatial_hash,2657.61214,3612.195868,2674.094417,2674.094417
outer_holdout_260014_negative,4234.385292,4372.203853,4822.107845,4822.107845
outer_holdout_260014_positive,4167.73208,4358.375017,4640.27779,4640.27779
outer_holdout_260014_smooth,4320.420012,4500.531129,5350.212251,4671.133601
outer_holdout_260014_spatial_hash,4043.639001,4229.470198,4553.483413,4567.978071
outer_holdout_260015_negative,2575.416262,3465.010897,2814.925706,2814.925706
outer_holdout_260015_positive,2653.876973,3452.193166,2875.151549,2875.151549
outer_holdout_260015_smooth,2614.115092,3487.347029,2708.167255,2708.167255
outer_holdout_260015_spatial_hash,2655.312367,3456.41399,2662.293727,2662.293727
outer_holdout_260016_negative,4104.33689,4437.557689,4572.514005,4572.514005
outer_holdout_260016_positive,4304.704047,4295.185064,4640.749464,4640.749464
outer_holdout_260016_smooth,4332.883893,4256.02795,4503.490429,4504.092505
outer_holdout_260016_spatial_hash,4338.353813,4189.664207,4527.46146,4523.20013
outer_holdout_260017_negative,2932.887942,4813.378207,2820.74395,2820.74395
outer_holdout_260017_positive,2793.670188,4498.610306,2677.305898,2677.305898
outer_holdout_260017_smooth,2757.761184,4636.925806,2714.314756,2714.314756
outer_holdout_260017_spatial_hash,2588.953799,2715.848881,2720.410941,2720.410941
outer_holdout_260018_negative,4539.112049,4396.127489,4828.204614,4828.204614
outer_holdout_260018_positive,4339.175959,4258.709269,4777.228263,4777.228263
outer_holdout_260018_smooth,4422.88743,4422.88743,4807.641718,4806.77929
outer_holdout_260018_spatial_hash,4455.420004,4231.469552,4703.54056,4705.598977
outer_holdout_260019_negative,2465.740124,3691.664024,2425.999805,2425.999805
outer_holdout_260019_positive,2450.011674,3685.722914,2439.561529,2439.561529
outer_holdout_260019_smooth,2325.164635,3678.422765,2424.143792,2424.143792
outer_holdout_260019_spatial_hash,2297.760039,3705.562682,2603.02703,2603.02703
