case_id,BOTH,PRIMARY,REF,SHARED
outer_holdout_260000_negative,3901.17022,4060.476688,4224.983461,4224.983461
outer_holdout_260000_positive,3671.686188,3712.751799,4182.42771,4105.597487
outer_holdout_260000_smooth,3559.432993,3563.093214,4170.530535,4108.020052
outer_holdout_260000_spatial_hash,3862.207522,4034.637431,4653.137795,4653.137795
outer_holdout_260001_negative,2700.081696,3665.352644,2779.080721,2779.080721
outer_holdout_260001_positive,2591.796602,3607.765615,2704.833884,2704.833884
outer_holdout_260001_smooth,2620.927034,3648.055818,2695.997196,2695.997196
outer_holdout_260001_spatial_hash,2614.594414,3625.058449,2738.326339,2738.326339
outer_holdout_260002_negative,4605.114784,4608.153706,5177.07372,4327.990328
outer_holdout_260002_positive,3823.516007,3786.73465,4244.236642,4244.236642
outer_holdout_260002_smooth,4248.634201,3860.53867,4368.692506,4193.948485
outer_holdout_260002_spatial_hash,3660.65734,3662.637965,4868.652624,4151.566499
outer_holdout_260003_negative,2807.794958,3651.425534,3079.62347,3079.62347
outer_holdout_260003_positive,2716.41557,3585.302266,2841.755897,2841.755897
outer_holdout_260003_smooth,2764.435509,3627.363557,2877.6858,2877.6858
outer_holdout_260003_spatial_hash,2767.168305,3604.442764,2869.719301,2869.719301
outer_holdout_260004_negative,4023.568055,4202.313411,4272.858157,4272.858157
outer_holdout_260004_positive,4126.420975,4264.814254,4379.797952,4379.797952
outer_holdout_260004_smooth,4112.67946,4393.477022,4416.203422,4416.203422
outer_holdout_260004_spatial_hash,3987.706581,4338.739663,4400.464065,4400.464065
outer_holdout_260005_negative,2439.133122,3407.694756,2417.460926,2417.460926
outer_holdout_260005_positive,2452.445479,3374.042388,2405.130564,2405.130564
outer_holdout_260005_smooth,2459.968971,3413.262084,2592.413435,2592.413435
outer_holdout_260005_spatial_hash,2431.914843,3414.290815,2603.05343,2603.05343
outer_holdout_260006_negative,4755.898699,4443.338092,5142.676768,5063.791941
outer_holdout_260006_positive,4051.709145,4342.382162,4553.351211,4553.351211
outer_holdout_260006_smooth,4461.611416,4456.161863,4767.203234,4688.270022
outer_holdout_260006_spatial_hash,4350.338228,4054.954674,4615.485696,4557.001662
outer_holdout_260007_negative,2218.225309,4208.379016,2137.756708,2137.756708
outer_holdout_260007_positive,2147.206697,4036.233561,2052.882961,2052.882961
outer_holdout_260007_smooth,2060.566918,4120.086927,2056.351271,2056.351271
outer_holdout_260007_spatial_hash,2041.374763,4090.305287,2063.656975,2063.656975
