case_id,baseline,A,B,C,AB,AC,BC,ABC
boundary_minR_16,9031.17205,6501.071584,8391.803955,9034.172921,6835.226433,6453.073702,8397.805697,6828.835345
clustered_16,2239.0,2239.0,2431.0,2239.0,2431.0,2239.0,2431.0,2431.0
dev_0_negative,10749.511512,9692.469328,7364.816651,10505.718048,6281.862713,9555.376101,7137.442893,6118.227516
dev_0_positive,10492.331576,9616.005584,7248.801917,10555.90042,6189.64366,9590.190727,7299.564315,6189.881861
dev_0_smooth,10587.573659,9628.042413,6983.227472,10533.653819,6521.157249,9565.139465,6920.019494,6419.357379
dev_0_spatial_hash,10526.473544,9597.41869,6967.488014,10487.949161,6429.685179,9540.876194,6916.536637,6410.05819
dev_10_negative,7638.098379,7126.599895,5930.157708,7425.063432,5203.752338,6944.821694,5722.528329,5060.489326
dev_10_positive,7428.115598,6939.370091,6054.11456,7490.799354,5033.856293,6975.418913,6092.745138,5045.550396
dev_10_smooth,7535.555702,6997.444628,5653.296082,7446.739412,5109.63289,6948.404585,5553.760883,5043.340651
dev_10_spatial_hash,7536.317657,7005.782401,5532.633486,7484.580461,5090.355569,6932.034221,5468.831156,5049.073405
dev_11_negative,9754.231535,8757.38158,6334.436059,9571.617754,5386.17254,8627.426512,6170.705339,5280.462748
dev_11_positive,9562.029726,8592.006285,6384.984247,9632.375733,5281.160454,8591.284493,6441.704413,5302.166414
dev_11_smooth,9657.285699,8675.439254,6263.049622,9600.935757,5655.268237,8636.91646,6184.056391,5621.239529
dev_11_spatial_hash,9665.171354,8662.114291,6286.639434,9570.545687,5030.695046,8596.702449,6175.690204,4942.707025
dev_1_negative,6472.372206,5935.404665,5667.243121,6329.35892,4540.689425,5824.470148,5530.361229,4500.057986
dev_1_positive,6325.138237,5815.761483,5452.865602,6376.698629,4452.869434,5825.063755,5490.934147,4467.079945
dev_1_smooth,6405.485443,5893.05425,5113.797231,6364.232211,4901.183098,5843.194807,5038.126949,4824.146388
dev_1_spatial_hash,6381.238556,5874.082636,4996.897499,6328.479662,5092.039056,5798.147243,4933.404916,5074.359042
dev_2_negative,10639.060436,9449.421199,6853.838777,10426.25717,5963.6961,9329.977421,6772.144502,5825.563242
dev_2_positive,10420.9459,9351.717006,6893.739129,10485.802604,6618.809105,9353.209041,6894.936423,6615.734881
dev_2_smooth,10524.743018,9376.469847,6866.661002,10481.381205,6733.37621,9357.653704,6814.805876,6692.547586
dev_2_spatial_hash,10564.288539,9443.474277,7899.858101,10436.678297,5831.095014,9336.742254,7784.586573,5780.207688
dev_3_negative,8272.530925,7322.954262,5910.57766,8124.766511,5108.317486,7243.986536,5780.679598,5039.00598
dev_3_positive,8119.251186,7222.992121,5784.079066,8156.912119,5050.411317,7202.988196,5812.042158,5082.775721
dev_3_smooth,8139.568736,7230.157621,5807.969669,8119.546075,5045.917615,7226.696083,5743.746596,5021.619806
dev_3_spatial_hash,8221.091001,7298.625971,5930.546319,8140.722547,5056.854555,7242.439142,5892.208997,5045.016718
dev_4_negative,8015.105246,7271.611813,6091.242064,7813.33102,4958.58441,7130.800033,5957.328038,4865.975883
dev_4_positive,7834.864736,7080.467074,5306.554643,7895.325428,4847.749216,7091.003114,5352.811301,4853.251486
dev_4_smooth,7928.022429,7161.193477,6017.439325,7893.490485,4903.188813,7131.61682,6008.710499,4877.252465
dev_4_spatial_hash,7942.706266,7143.91499,5422.488839,7900.081245,4437.629254,7103.250227,5349.779717,4400.973332
dev_5_negative,8643.762368,7325.78126,7207.3951,8492.805241,5962.485767,7275.432762,7031.245569,5946.083499
dev_5_positive,8488.424524,7275.736014,7478.201318,8534.004016,5837.362318,7247.670707,7512.451914,5786.788903
dev_5_smooth,8555.526234,7285.294995,6964.841123,8498.461792,6296.977116,7232.381921,6896.822408,6262.460492
dev_5_spatial_hash,8525.752787,7280.649453,7409.44182,8497.502087,5822.676412,7231.36583,7325.621823,5725.453124
dev_6_negative,9667.479628,9112.501221,6984.734889,9405.767019,6346.442879,8870.718596,6720.25536,6193.858616
dev_6_positive,9361.753024,8775.04587,6674.196619,9413.964684,5306.867869,8789.389821,6703.291318,5332.060471
dev_6_smooth,9443.619347,8868.710932,6551.443775,9400.773462,5695.973465,8845.533376,6461.621473,5682.187147
dev_6_spatial_hash,9399.911202,8861.501378,7646.000725,9369.342826,5794.712945,8832.63095,7611.776815,5737.863429
dev_7_negative,8399.906696,7639.425679,5834.409344,8255.793254,5311.123911,7533.399114,5692.917835,5236.521054
dev_7_positive,8222.066575,7513.899752,5824.658321,8267.221174,5023.563903,7527.362693,5869.764833,4994.433677
dev_7_smooth,8314.471099,7575.24126,5885.429569,8246.721444,5216.523859,7507.683413,5814.770991,5176.770354
dev_7_spatial_hash,8316.115623,7580.595599,5923.161197,8275.955636,5204.409839,7533.147787,5873.81654,5168.406871
dev_8_negative,7091.964924,6512.284292,5014.243739,6954.014965,5215.117243,6406.029845,4886.652382,5117.758352
dev_8_positive,6965.486464,6396.593149,5395.573637,7017.852268,4945.035566,6402.318441,5432.721242,5219.015339
dev_8_smooth,7036.003695,6450.192313,5374.521769,6988.980346,5238.774172,6437.135555,5330.281017,5244.909125
dev_8_spatial_hash,6997.229383,6411.320352,5402.023238,6987.988727,4915.818251,6397.256826,5410.79314,5129.676554
dev_9_negative,9541.132941,8468.153941,6502.53241,9378.097517,5387.85878,8431.972184,6375.411305,5361.575531
dev_9_positive,9358.027081,8456.754181,6367.100074,9423.827554,5369.782147,8404.30322,6419.186624,5344.723087
dev_9_smooth,9438.146825,8492.833189,6605.393048,9407.737796,5367.555568,8439.825695,6574.493417,5331.992221
dev_9_spatial_hash,9395.248753,8362.276115,6392.237094,9391.50373,5347.470109,8393.565742,6362.350045,5341.581152
late_channel20_after_ten,7051.46551,5928.132204,6555.475306,6935.003711,6313.959612,5969.180235,6439.013507,6251.90496
near_at_origin,7099.065054,6429.682473,5600.102447,7024.716684,4424.41919,6360.175853,4933.487366,4350.48125
