case_id,baseline,A,B,C,AB,AC,BC,ABC
boundary_minR_16,9031.089366,6501.178892,8311.724455,9034.090249,6826.665305,6453.174392,8314.725338,6827.959032
clustered_16,2239.0,2239.0,2431.0,2239.0,2431.0,2239.0,2431.0,2431.0
dev_0_negative,10749.684768,9692.597118,7147.745427,10505.876087,6281.912205,9555.493636,6916.899428,6118.268483
dev_0_positive,10492.361904,9601.741481,7038.135881,10555.934038,6289.901617,9590.417593,7083.001207,6291.900467
dev_0_smooth,10587.59392,9628.065838,6983.2356,10533.675711,6521.157249,9565.162985,6920.032366,6419.357379
dev_0_spatial_hash,10526.473544,9597.41869,6967.488014,10487.949161,6429.685179,9540.876194,6916.536637,6410.05819
dev_10_negative,7638.25193,7126.593412,6276.476701,7425.213049,5199.389014,6944.80823,6057.534857,5059.55743
dev_10_positive,7428.023939,6939.310147,6054.112806,7490.715061,4756.2585,6975.367583,6092.750503,4750.685645
dev_10_smooth,7535.516867,6997.371339,5653.322677,7446.700577,4789.56853,6948.331677,5553.787478,4751.384493
dev_10_spatial_hash,7536.317657,7005.782401,5532.633486,7484.580461,5090.355569,6932.034221,5468.831156,5049.073405
dev_11_negative,9754.211184,8757.441825,6334.611125,9571.601357,5386.236664,8627.488255,6170.882928,5280.523256
dev_11_positive,9561.99389,8591.931606,6384.770111,9632.346852,5330.021881,8591.207553,6441.492433,5338.116501
dev_11_smooth,9657.285699,8675.439254,6263.049622,9600.935757,5655.268237,8636.91646,6184.056391,5621.239529
dev_11_spatial_hash,9665.171354,8662.114291,6286.639434,9570.545687,5030.695046,8596.702449,6175.690204,4942.707025
dev_1_negative,6472.254388,5935.300543,5519.604434,6340.170368,4542.961322,5835.3076,5582.625315,4502.332447
dev_1_positive,6324.974945,5815.588568,5452.867018,6376.531778,4453.984664,5824.888615,5493.638111,4468.193825
dev_1_smooth,6405.485443,5893.05425,5113.797231,6364.232211,4901.183098,5843.194807,5038.126949,4824.146388
dev_1_spatial_hash,6381.238556,5874.082636,4996.897499,6328.479662,5092.039056,5798.147243,4933.404916,5074.359042
dev_2_negative,10639.168872,9449.366332,7052.953026,10426.357896,5967.038398,9329.916646,6909.626165,5831.997675
dev_2_positive,10420.807586,9351.757068,6893.643612,10485.671217,5805.67023,9353.249224,6894.793329,5784.931187
dev_2_smooth,10524.753879,9376.40994,6866.612451,10481.392339,6733.37621,9357.594336,6814.757598,6692.547586
dev_2_spatial_hash,10564.288539,9443.474277,7899.858101,10436.678297,5831.095014,9336.742254,7784.586573,5780.207688
