1/52 dev_0_spatial_hash: baseline=10526, A=9597, B=6967, C=10488, AB=6430, AC=9541, BC=6917, ABC=6410
2/52 dev_1_spatial_hash: A=5874, B=4997, C=6328, AB=5092, AC=5798, BC=4933, ABC=5074, baseline=6381
3/52 dev_2_spatial_hash: B=7900, C=10437, AB=5831, AC=9337, BC=7785, ABC=5780, baseline=10564, A=9443
4/52 dev_3_spatial_hash: C=8141, AB=5057, AC=7242, BC=5892, ABC=5045, baseline=8221, A=7299, B=5931
5/52 dev_4_spatial_hash: AB=4438, AC=7103, BC=5350, ABC=4401, baseline=7943, A=7144, B=5422, C=7900
6/52 dev_5_spatial_hash: AC=7231, BC=7326, ABC=5725, baseline=8526, A=7281, B=7409, C=8498, AB=5823
7/52 dev_6_spatial_hash: BC=7612, ABC=5738, baseline=9400, A=8862, B=7646, C=9369, AB=5795, AC=8833
8/52 dev_7_spatial_hash: ABC=5168, baseline=8316, A=7581, B=5923, C=8276, AB=5204, AC=7533, BC=5874
9/52 dev_8_spatial_hash: baseline=6997, A=6411, B=5402, C=6988, AB=4916, AC=6397, BC=5411, ABC=5130
10/52 dev_9_spatial_hash: A=8362, B=6392, C=9392, AB=5347, AC=8394, BC=6362, ABC=5342, baseline=9395
11/52 dev_10_spatial_hash: B=5533, C=7485, AB=5090, AC=6932, BC=5469, ABC=5049, baseline=7536, A=7006
12/52 dev_11_spatial_hash: C=9571, AB=5031, AC=8597, BC=6176, ABC=4943, baseline=9665, A=8662, B=6287
13/52 dev_0_smooth: AB=6521, AC=9565, BC=6920, ABC=6419, baseline=10588, A=9628, B=6983, C=10534
14/52 dev_1_smooth: AC=5843, BC=5038, ABC=4824, baseline=6405, A=5893, B=5114, C=6364, AB=4901
15/52 dev_2_smooth: BC=6815, ABC=6693, baseline=10525, A=9376, B=6867, C=10481, AB=6733, AC=9358
16/52 dev_3_smooth: ABC=5022, baseline=8140, A=7230, B=5808, C=8120, AB=5046, AC=7227, BC=5744
17/52 dev_4_smooth: baseline=7928, A=7161, B=5583, C=7893, AB=4903, AC=7132, BC=5597, ABC=4877
18/52 dev_5_smooth: A=7285, B=6965, C=8498, AB=6297, AC=7232, BC=6897, ABC=6262, baseline=8556
19/52 dev_6_smooth: B=6551, C=9401, AB=5696, AC=8846, BC=6462, ABC=5671, baseline=9444, A=8869
20/52 dev_7_smooth: C=8247, AB=5217, AC=7508, BC=5815, ABC=5177, baseline=8314, A=7575, B=5885
21/52 dev_8_smooth: AB=5239, AC=6437, BC=5330, ABC=5245, baseline=7036, A=6450, B=5375, C=6989
22/52 dev_9_smooth: AC=8440, BC=6574, ABC=5332, baseline=9438, A=8493, B=6605, C=9408, AB=5368
23/52 dev_10_smooth: BC=5554, ABC=4751, baseline=7536, A=6997, B=5653, C=7447, AB=4790, AC=6948
24/52 dev_11_smooth: ABC=5621, baseline=9657, A=8675, B=6263, C=9601, AB=5655, AC=8637, BC=6184
25/52 dev_0_positive: baseline=10492, A=9602, B=7038, C=10556, AB=6290, AC=9590, BC=7083, ABC=6292
26/52 dev_1_positive: A=5816, B=5453, C=6377, AB=4454, AC=5825, BC=5494, ABC=4468, baseline=6325
27/52 dev_2_positive: B=6894, C=10486, AB=5806, AC=9353, BC=6895, ABC=5785, baseline=10421, A=9352
28/52 dev_3_positive: C=8157, AB=4899, AC=7203, BC=5862, ABC=4892, baseline=8119, A=7223, B=5830
29/52 dev_4_positive: AB=4863, AC=7091, BC=5353, ABC=4833, baseline=7835, A=7080, B=5306, C=7895
30/52 dev_5_positive: AC=7248, BC=7512, ABC=5730, baseline=8497, A=7276, B=7482, C=8534, AB=5788
31/52 dev_6_positive: BC=6734, ABC=6037, baseline=9361, A=8775, B=6705, C=9414, AB=6017, AC=8789
32/52 dev_7_positive: ABC=5046, baseline=8222, A=7514, B=5890, C=8267, AB=5094, AC=7527, BC=5935
33/52 dev_8_positive: baseline=6965, A=6396, B=5245, C=7018, AB=5177, AC=6402, BC=5282, ABC=5193
34/52 dev_9_positive: A=8457, B=6608, C=9424, AB=5370, AC=8404, BC=6660, ABC=5345, baseline=9358
35/52 dev_10_positive: B=6054, C=7491, AB=4756, AC=6975, BC=6093, ABC=4751, baseline=7428, A=6939
36/52 dev_11_positive: C=9632, AB=5330, AC=8591, BC=6441, ABC=5338, baseline=9562, A=8592, B=6385
37/52 dev_0_negative: AB=6282, AC=9555, BC=6917, ABC=6118, baseline=10750, A=9693, B=7148, C=10506
38/52 dev_1_negative: AC=5835, BC=5583, ABC=4502, baseline=6472, A=5935, B=5520, C=6340, AB=4543
39/52 dev_2_negative: BC=6910, ABC=5832, baseline=10639, A=9449, B=7053, C=10426, AB=5967, AC=9330
40/52 dev_3_negative: ABC=5040, baseline=8272, A=7323, B=5911, C=8125, AB=5122, AC=7244, BC=5781
41/52 dev_4_negative: baseline=8015, A=7272, B=6034, C=7813, AB=5022, AC=7131, BC=5878, ABC=4901
42/52 dev_5_negative: A=7326, B=7057, C=8493, AB=5830, AC=7275, BC=6901, ABC=5810, baseline=8644
43/52 dev_6_negative: B=6985, C=9406, AB=5859, AC=8871, BC=6720, ABC=5644, baseline=9667, A=9113
44/52 dev_7_negative: C=8256, AB=5075, AC=7534, BC=5693, ABC=4978, baseline=8400, A=7640, B=5835
45/52 dev_8_negative: AB=5041, AC=6406, BC=4887, ABC=4944, baseline=7092, A=6512, B=5014, C=6954
46/52 dev_9_negative: AC=8432, BC=6375, ABC=5357, baseline=9541, A=8468, B=6503, C=9378, AB=5396
47/52 dev_10_negative: BC=6058, ABC=5060, baseline=7638, A=7127, B=6276, C=7425, AB=5199, AC=6945
48/52 dev_11_negative: ABC=5281, baseline=9754, A=8757, B=6335, C=9572, AB=5386, AC=8627, BC=6171
49/52 boundary_minR_16: baseline=9031, A=6501, B=8312, C=9034, AB=6827, AC=6453, BC=8315, ABC=6828
50/52 late_channel20_after_ten: A=5928, B=6556, C=6935, AB=6314, AC=5969, BC=6439, ABC=6252, baseline=7052
51/52 near_at_origin: B=5600, C=7025, AB=4424, AC=6360, BC=4933, ABC=4350, baseline=7099, A=6430
52/52 clustered_16: C=2239, AB=2431, AC=2239, BC=2431, ABC=2431, baseline=2239, A=2239, B=2431
