case_id,AB,ABD,ABO,ABOD,ABS,ABSD,ABSO,ABSOD
boundary_minR_16,6835.226433,6813.018688,6414.389269,6403.776525,6555.6907,6533.545251,6261.461143,6251.531125
clustered_16,2431.0,2431.0,2431.0,2431.0,2431.0,2431.0,2431.0,2431.0
dev_0_negative,6281.862713,6248.068079,6073.401118,6039.242678,5342.284455,5309.67936,5872.774801,5851.554111
dev_0_positive,6189.64366,6171.335693,6196.009057,6185.944899,6088.555691,6078.380822,6041.315179,6029.990316
dev_0_smooth,6521.157249,6505.278686,6325.373527,6313.946967,5811.352298,5794.520819,5217.583615,5193.544034
dev_0_spatial_hash,6429.685179,6414.120268,6201.533625,6190.3612,5820.325788,5820.438125,6024.115626,6016.053873
dev_10_negative,5203.752338,5187.508315,5397.672178,5369.031644,4667.297043,4645.818707,4848.296507,4830.105739
dev_10_positive,5033.856293,5029.758665,5049.309085,5044.259009,4677.155518,4674.828783,4960.132675,4963.510853
dev_10_smooth,5109.63289,5103.623983,5394.008207,5392.827334,4688.093611,4676.514157,4436.675562,4425.560713
dev_10_spatial_hash,5090.355569,5087.351228,5314.864415,5312.974485,4673.218453,4671.827166,4955.141791,4957.624942
dev_11_negative,5386.17254,5375.683748,6129.948136,6122.504938,5384.219187,5369.295478,5663.079235,5634.784909
dev_11_positive,5281.160454,5273.605262,5664.516778,5667.218087,4957.830655,4953.037443,5493.830307,5487.201275
dev_11_smooth,5655.268237,5652.476325,6093.142031,6093.142031,5626.690794,5624.401694,5584.358421,5569.947857
dev_11_spatial_hash,5030.695046,5031.379484,6107.885921,6108.734521,4651.125817,4656.10862,5586.904581,5581.927999
dev_1_negative,4540.689425,4526.83461,4540.689425,4526.83461,4395.816635,4391.21896,4424.229551,4421.096669
dev_1_positive,4452.869434,4450.785249,4775.589824,4772.777581,4576.453776,4570.646799,4691.026167,4688.298607
dev_1_smooth,4901.183098,4885.670184,5057.719349,5042.186576,4380.290515,4372.261066,4980.612944,4966.565409
dev_1_spatial_hash,5092.039056,5090.534051,4843.001295,4838.61583,4486.421439,4698.818453,4754.006806,4752.339386
dev_2_negative,5963.6961,5953.295874,6047.584524,6035.771821,5826.34746,5819.043763,5472.326158,5469.058302
dev_2_positive,6618.809105,6618.809105,6327.502127,6326.685849,5788.828502,5788.591709,5608.499487,5606.248964
dev_2_smooth,6733.37621,6733.37621,6122.822805,6120.471737,5932.516654,5933.523763,5470.261834,5469.59782
dev_2_spatial_hash,5831.095014,5831.660214,5831.095014,5831.660214,5032.906801,5030.630128,5032.906801,5030.630128
dev_3_negative,5108.317486,5090.513773,4821.292306,4813.436236,4796.190531,4778.386818,4488.623841,4480.767771
dev_3_positive,5050.411317,5040.435586,4689.71574,4685.861266,4515.265295,4505.44687,5038.726035,5024.385942
dev_3_smooth,5045.917615,5042.605712,5209.221827,5206.685859,4735.585313,4732.27341,4423.089984,4420.863904
dev_3_spatial_hash,5056.854555,5053.658479,4797.722993,4789.591747,4739.636054,4736.439978,4507.451108,4499.319862
dev_4_negative,4958.58441,4954.643687,4979.32675,4963.493106,4603.748106,4599.807383,4873.779315,4856.725824
dev_4_positive,4847.749216,4843.566989,4888.864672,4880.489078,4881.917469,4876.298382,4692.169731,4689.543683
dev_4_smooth,4903.188813,4899.145013,4532.563266,4528.519466,4591.694006,4587.650206,4215.252329,4211.208529
dev_4_spatial_hash,4437.629254,4432.463067,4437.629254,4432.463067,4248.954573,4243.788386,4497.791219,4492.756445
dev_5_negative,5962.485767,5947.932383,6100.710787,6085.641792,5870.483428,5855.292192,6258.352848,6255.315824
dev_5_positive,5837.362318,5827.397048,5933.636223,5924.755727,5717.54556,5713.393293,6300.326769,6290.30672
dev_5_smooth,6296.977116,6281.128998,6055.574575,6045.224693,5927.830817,5916.870354,6098.006964,6087.599749
dev_5_spatial_hash,5822.676412,5786.508546,6031.270678,6034.387918,6156.12225,6146.522863,5450.3475,5441.093928
dev_6_negative,6346.442879,6341.635699,5868.166051,5866.04667,5666.798704,5658.117635,5884.015702,5881.896321
dev_6_positive,5306.867869,5307.556799,5428.624811,5429.313741,5238.576408,5233.17651,5229.125294,5229.814224
dev_6_smooth,5695.973465,5693.670213,5879.673528,5871.448322,6325.754758,6319.597249,5590.600194,5583.493502
dev_6_spatial_hash,5794.712945,5793.677645,5849.906557,5848.837094,5515.55741,5513.368308,5402.588941,5400.483219
dev_7_negative,5311.123911,5300.318026,5328.577353,5308.885419,5097.172213,5091.356376,5243.299276,5223.472355
dev_7_positive,5023.563903,5014.956885,5568.614717,5566.091607,4840.29394,4833.022261,5483.816291,5484.468612
dev_7_smooth,5216.523859,5202.786592,5042.792739,5030.892592,4939.742869,4929.296748,4971.33888,4967.904114
dev_7_spatial_hash,5204.409839,5195.908894,5038.114035,5029.810712,4845.511093,4836.408427,4939.458898,4931.155575
dev_8_negative,5215.117243,5206.011603,4777.306045,4768.200405,4371.90155,4372.573299,4470.518394,4462.771263
