1/52 dev_0_spatial_hash: AB=6430, ABD=6414, ABO=6202, ABOD=6190, ABS=5820, ABSD=5820, ABSO=6024, ABSOD=6016
2/52 dev_1_spatial_hash: ABD=5091, ABO=4843, ABOD=4839, ABS=4486, ABSD=4699, ABSO=4754, ABSOD=4752, AB=5092
3/52 dev_2_spatial_hash: ABO=5831, ABOD=5832, ABS=5033, ABSD=5031, ABSO=5033, ABSOD=5031, AB=5831, ABD=5832
4/52 dev_3_spatial_hash: ABOD=4790, ABS=4740, ABSD=4736, ABSO=4507, ABSOD=4499, AB=5057, ABD=5054, ABO=4798
5/52 dev_4_spatial_hash: ABS=4249, ABSD=4244, ABSO=4498, ABSOD=4493, AB=4438, ABD=4432, ABO=4438, ABOD=4432
6/52 dev_5_spatial_hash: ABSD=6147, ABSO=5450, ABSOD=5441, AB=5823, ABD=5787, ABO=6031, ABOD=6034, ABS=6156
7/52 dev_6_spatial_hash: ABSO=5403, ABSOD=5400, AB=5795, ABD=5794, ABO=5850, ABOD=5849, ABS=5516, ABSD=5513
8/52 dev_7_spatial_hash: ABSOD=4931, AB=5204, ABD=5196, ABO=5038, ABOD=5030, ABS=4846, ABSD=4836, ABSO=4939
9/52 dev_8_spatial_hash: AB=4916, ABD=4907, ABO=4841, ABOD=4832, ABS=4437, ABSD=4433, ABSO=4210, ABSOD=4202
10/52 dev_9_spatial_hash: ABD=5340, ABO=5655, ABOD=5651, ABS=5458, ABSD=5454, ABSO=5326, ABSOD=5321, AB=5347
11/52 dev_10_spatial_hash: ABO=5315, ABOD=5313, ABS=4673, ABSD=4672, ABSO=4955, ABSOD=4958, AB=5090, ABD=5087
12/52 dev_11_spatial_hash: ABOD=6109, ABS=4651, ABSD=4656, ABSO=5587, ABSOD=5582, AB=5031, ABD=5031, ABO=6108
13/52 dev_0_smooth: ABS=5811, ABSD=5795, ABSO=5218, ABSOD=5194, AB=6521, ABD=6505, ABO=6325, ABOD=6314
14/52 dev_1_smooth: ABSD=4372, ABSO=4981, ABSOD=4967, AB=4901, ABD=4886, ABO=5058, ABOD=5042, ABS=4380
15/52 dev_2_smooth: ABSO=5470, ABSOD=5470, AB=6733, ABD=6733, ABO=6123, ABOD=6120, ABS=5933, ABSD=5934
16/52 dev_3_smooth: ABSOD=4421, AB=5046, ABD=5043, ABO=5209, ABOD=5207, ABS=4736, ABSD=4732, ABSO=4423
17/52 dev_4_smooth: AB=4903, ABD=4899, ABO=4533, ABOD=4529, ABS=4592, ABSD=4588, ABSO=4215, ABSOD=4211
18/52 dev_5_smooth: ABD=6281, ABO=6056, ABOD=6045, ABS=5928, ABSD=5917, ABSO=6098, ABSOD=6088, AB=6297
19/52 dev_6_smooth: ABO=5880, ABOD=5871, ABS=6326, ABSD=6320, ABSO=5591, ABSOD=5583, AB=5696, ABD=5694
20/52 dev_7_smooth: ABOD=5031, ABS=4940, ABSD=4929, ABSO=4971, ABSOD=4968, AB=5217, ABD=5203, ABO=5043
21/52 dev_8_smooth: ABS=4514, ABSD=4509, ABSO=4497, ABSOD=4492, AB=5239, ABD=5233, ABO=4775, ABOD=4770
22/52 dev_9_smooth: ABSD=5382, ABSO=5385, ABSOD=5382, AB=5368, ABD=5357, ABO=5673, ABOD=5670, ABS=5385
23/52 dev_10_smooth: ABSO=4437, ABSOD=4426, AB=5110, ABD=5104, ABO=5394, ABOD=5393, ABS=4688, ABSD=4677
24/52 dev_11_smooth: ABSOD=5570, AB=5655, ABD=5652, ABO=6093, ABOD=6093, ABS=5627, ABSD=5624, ABSO=5584
25/52 dev_0_positive: AB=6190, ABD=6171, ABO=6196, ABOD=6186, ABS=6089, ABSD=6078, ABSO=6041, ABSOD=6030
26/52 dev_1_positive: ABD=4451, ABO=4776, ABOD=4773, ABS=4576, ABSD=4571, ABSO=4691, ABSOD=4688, AB=4453
27/52 dev_2_positive: ABO=6328, ABOD=6327, ABS=5789, ABSD=5789, ABSO=5608, ABSOD=5606, AB=6619, ABD=6619
28/52 dev_3_positive: ABOD=4686, ABS=4515, ABSD=4505, ABSO=5039, ABSOD=5024, AB=5050, ABD=5040, ABO=4690
29/52 dev_4_positive: ABS=4882, ABSD=4876, ABSO=4692, ABSOD=4690, AB=4848, ABD=4844, ABO=4889, ABOD=4880
30/52 dev_5_positive: ABSD=5713, ABSO=6300, ABSOD=6290, AB=5837, ABD=5827, ABO=5934, ABOD=5925, ABS=5718
31/52 dev_6_positive: ABSO=5229, ABSOD=5230, AB=5307, ABD=5308, ABO=5429, ABOD=5429, ABS=5239, ABSD=5233
32/52 dev_7_positive: ABSOD=5484, AB=5024, ABD=5015, ABO=5569, ABOD=5566, ABS=4840, ABSD=4833, ABSO=5484
33/52 dev_8_positive: AB=4945, ABD=4936, ABO=4547, ABOD=4538, ABS=4467, ABSD=4461, ABSO=4419, ABSOD=4413
34/52 dev_9_positive: ABD=5355, ABO=5737, ABOD=5719, ABS=5576, ABSD=5559, ABSO=5576, ABSOD=5559, AB=5370
35/52 dev_10_positive: ABO=5049, ABOD=5044, ABS=4677, ABSD=4675, ABSO=4960, ABSOD=4964, AB=5034, ABD=5030
36/52 dev_11_positive: ABOD=5667, ABS=4958, ABSD=4953, ABSO=5494, ABSOD=5487, AB=5281, ABD=5274, ABO=5665
37/52 dev_0_negative: ABS=5342, ABSD=5310, ABSO=5873, ABSOD=5852, AB=6282, ABD=6248, ABO=6073, ABOD=6039
38/52 dev_1_negative: ABSD=4391, ABSO=4424, ABSOD=4421, AB=4541, ABD=4527, ABO=4541, ABOD=4527, ABS=4396
39/52 dev_2_negative: ABSO=5472, ABSOD=5469, AB=5964, ABD=5953, ABO=6048, ABOD=6036, ABS=5826, ABSD=5819
40/52 dev_3_negative: ABSOD=4481, AB=5108, ABD=5091, ABO=4821, ABOD=4813, ABS=4796, ABSD=4778, ABSO=4489
41/52 dev_4_negative: AB=4959, ABD=4955, ABO=4979, ABOD=4963, ABS=4604, ABSD=4600, ABSO=4874, ABSOD=4857
42/52 dev_5_negative: ABD=5948, ABO=6101, ABOD=6086, ABS=5870, ABSD=5855, ABSO=6258, ABSOD=6255, AB=5962
43/52 dev_6_negative: ABO=5868, ABOD=5866, ABS=5667, ABSD=5658, ABSO=5884, ABSOD=5882, AB=6346, ABD=6342
44/52 dev_7_negative: ABOD=5309, ABS=5097, ABSD=5091, ABSO=5243, ABSOD=5223, AB=5311, ABD=5300, ABO=5329
45/52 dev_8_negative: ABS=4372, ABSD=4373, ABSO=4471, ABSOD=4463, AB=5215, ABD=5206, ABO=4777, ABOD=4768
46/52 dev_9_negative: ABSD=5296, ABSO=5312, ABSOD=5296, AB=5388, ABD=5370, ABO=5725, ABOD=5710, ABS=5312
47/52 dev_10_negative: ABSO=4848, ABSOD=4830, AB=5204, ABD=5188, ABO=5398, ABOD=5369, ABS=4667, ABSD=4646
48/52 dev_11_negative: ABSOD=5635, AB=5386, ABD=5376, ABO=6130, ABOD=6123, ABS=5384, ABSD=5369, ABSO=5663
49/52 boundary_minR_16: AB=6835, ABD=6813, ABO=6414, ABOD=6404, ABS=6556, ABSD=6534, ABSO=6261, ABSOD=6252
50/52 late_channel20_after_ten: ABD=6306, ABO=6272, ABOD=6264, ABS=4838, ABSD=4829, ABSO=4828, ABSOD=4820, AB=6314
51/52 near_at_origin: ABO=4780, ABOD=4768, ABS=4432, ABSD=4421, ABSO=4576, ABSOD=4565, AB=4424, ABD=4415
52/52 clustered_16: ABOD=2431, ABS=2431, ABSD=2431, ABSO=2431, ABSOD=2431, AB=2431, ABD=2431, ABO=2431
