case_id,AB,ABD,ABO,ABOD,ABS,ABSD,ABSO,ABSOD
boundary_minR_16,6826.665305,6811.441745,6571.500699,6553.110882,6547.221025,6532.060346,6503.513028,6485.805627
clustered_16,2431.0,2431.0,2431.0,2431.0,2431.0,2431.0,2431.0,2431.0
dev_0_negative,6281.912205,6248.116395,6073.279647,6039.119183,5342.27755,5309.668492,5872.725843,5851.505925
dev_0_positive,6289.901617,6273.648406,6196.144089,6186.073859,5824.520522,5816.285666,6041.521165,6030.195324
dev_0_smooth,6521.157249,6505.278686,6325.373527,6313.946967,5811.352298,5794.520819,5217.583615,5193.544034
dev_0_spatial_hash,6429.685179,6414.120268,6201.533625,6190.3612,5820.325788,5820.438125,6024.115626,6016.053873
dev_10_negative,5199.389014,5182.980965,5574.963041,5552.388465,5012.554832,4999.964624,4867.108625,4845.984763
dev_10_positive,4756.2585,4746.420749,5115.603739,5105.332153,4452.448625,4323.943227,4786.538177,4790.785348
dev_10_smooth,4789.56853,4785.593471,5111.305499,5100.824154,4345.983789,4342.012604,5059.313654,5053.617481
dev_10_spatial_hash,5090.355569,5087.351228,5314.864415,5312.974485,4673.218453,4671.827166,4955.141791,4957.624942
dev_11_negative,5386.236664,5375.748005,6129.853256,6122.410058,5384.212028,5369.286791,5663.244025,5634.948229
dev_11_positive,5330.021881,5317.945058,5664.6244,5667.325521,5006.765915,4997.451948,5493.890786,5487.260493
dev_11_smooth,5655.268237,5652.476325,6093.142031,6093.142031,5626.656441,5624.368002,5584.358421,5569.947857
dev_11_spatial_hash,5030.695046,5031.379484,6107.885921,6108.734521,4651.125817,4656.10862,5586.904581,5581.927999
dev_1_negative,4542.961322,4529.105912,4542.961322,4529.105912,4406.152928,4401.55401,4332.178429,4329.045161
dev_1_positive,4453.984664,4451.926258,4772.951947,4770.140947,4576.482546,4570.701438,4688.537898,4685.835254
dev_1_smooth,4901.183098,4885.670184,5057.719349,5042.186576,4380.290515,4372.261066,4980.612944,4966.565409
dev_1_spatial_hash,5092.039056,5090.534051,4843.001295,4838.61583,4486.421439,4698.818453,4754.006806,4752.339386
dev_2_negative,5967.038398,5953.875413,6050.731643,6036.155692,5406.704146,5404.227773,5759.940431,5746.065961
