1/52 dev_0_spatial_hash: AB=6430, ABD=6414, ABO=6202, ABOD=6190, ABS=5820, ABSD=5820, ABSO=6024, ABSOD=6016
2/52 dev_1_spatial_hash: ABD=5091, ABO=4843, ABOD=4839, ABS=4486, ABSD=4699, ABSO=4754, ABSOD=4752, AB=5092
3/52 dev_2_spatial_hash: ABO=5831, ABOD=5832, ABS=5033, ABSD=5031, ABSO=5033, ABSOD=5031, AB=5831, ABD=5832
4/52 dev_3_spatial_hash: ABOD=4790, ABS=4740, ABSD=4736, ABSO=4507, ABSOD=4499, AB=5057, ABD=5054, ABO=4798
5/52 dev_4_spatial_hash: ABS=4249, ABSD=4244, ABSO=4498, ABSOD=4493, AB=4438, ABD=4432, ABO=4438, ABOD=4432
6/52 dev_5_spatial_hash: ABSD=6147, ABSO=5450, ABSOD=5441, AB=5823, ABD=5787, ABO=6031, ABOD=6034, ABS=6156
7/52 dev_6_spatial_hash: ABSO=5403, ABSOD=5400, AB=5795, ABD=5794, ABO=5850, ABOD=5849, ABS=5516, ABSD=5513
8/52 dev_7_spatial_hash: ABSOD=4931, AB=5204, ABD=5196, ABO=5038, ABOD=5030, ABS=4846, ABSD=4836, ABSO=4939
9/52 dev_8_spatial_hash: AB=4916, ABD=4907, ABO=4841, ABOD=4832, ABS=4437, ABSD=4433, ABSO=4210, ABSOD=4202
10/52 dev_9_spatial_hash: ABD=5340, ABO=5655, ABOD=5651, ABS=5458, ABSD=5454, ABSO=5326, ABSOD=5321, AB=5347
11/52 dev_10_spatial_hash: ABO=5315, ABOD=5313, ABS=4673, ABSD=4672, ABSO=4955, ABSOD=4958, AB=5090, ABD=5087
12/52 dev_11_spatial_hash: ABOD=6109, ABS=4651, ABSD=4656, ABSO=5587, ABSOD=5582, AB=5031, ABD=5031, ABO=6108
13/52 dev_0_smooth: ABS=5811, ABSD=5795, ABSO=5218, ABSOD=5194, AB=6521, ABD=6505, ABO=6325, ABOD=6314
14/52 dev_1_smooth: ABSD=4372, ABSO=4981, ABSOD=4967, AB=4901, ABD=4886, ABO=5058, ABOD=5042, ABS=4380
15/52 dev_2_smooth: ABSO=5470, ABSOD=5470, AB=6733, ABD=6733, ABO=6123, ABOD=6120, ABS=5933, ABSD=5934
16/52 dev_3_smooth: ABSOD=4421, AB=5046, ABD=5043, ABO=5209, ABOD=5207, ABS=4736, ABSD=4732, ABSO=4423
17/52 dev_4_smooth: AB=4903, ABD=4899, ABO=4533, ABOD=4529, ABS=4592, ABSD=4588, ABSO=4215, ABSOD=4211
18/52 dev_5_smooth: ABD=6281, ABO=6056, ABOD=6045, ABS=5928, ABSD=5917, ABSO=6098, ABSOD=6088, AB=6297
19/52 dev_6_smooth: ABO=5880, ABOD=5871, ABS=6326, ABSD=6320, ABSO=5591, ABSOD=5583, AB=5696, ABD=5694
20/52 dev_7_smooth: ABOD=5031, ABS=4940, ABSD=4929, ABSO=4971, ABSOD=4968, AB=5217, ABD=5203, ABO=5043
21/52 dev_8_smooth: ABS=4514, ABSD=4509, ABSO=4497, ABSOD=4492, AB=5239, ABD=5233, ABO=4775, ABOD=4770
22/52 dev_9_smooth: ABSD=5382, ABSO=5385, ABSOD=5382, AB=5368, ABD=5357, ABO=5673, ABOD=5670, ABS=5385
23/52 dev_10_smooth: ABSO=5059, ABSOD=5054, AB=4790, ABD=4786, ABO=5111, ABOD=5101, ABS=4346, ABSD=4342
24/52 dev_11_smooth: ABSOD=5570, AB=5655, ABD=5652, ABO=6093, ABOD=6093, ABS=5627, ABSD=5624, ABSO=5584
25/52 dev_0_positive: AB=6290, ABD=6274, ABO=6196, ABOD=6186, ABS=5825, ABSD=5816, ABSO=6042, ABSOD=6030
26/52 dev_1_positive: ABD=4452, ABO=4773, ABOD=4770, ABS=4576, ABSD=4571, ABSO=4689, ABSOD=4686, AB=4454
27/52 dev_2_positive: ABO=5806, ABOD=5806, ABS=5069, ABSD=5068, ABSO=5069, ABSOD=5068, AB=5806, ABD=5806
28/52 dev_3_positive: ABOD=5354, ABS=4662, ABSD=4660, ABSO=5243, ABSOD=5237, AB=4899, ABD=4890, ABO=5359
29/52 dev_4_positive: ABS=4439, ABSD=4427, ABSO=5110, ABSOD=5089, AB=4863, ABD=4851, ABO=5211, ABOD=5190
30/52 dev_5_positive: ABSD=6004, ABSO=5523, ABSOD=5514, AB=5788, ABD=5779, ABO=6039, ABOD=6034, ABS=6020
31/52 dev_6_positive: ABSO=5135, ABSOD=5129, AB=6017, ABD=6011, ABO=5980, ABOD=5977, ABS=5384, ABSD=5376
32/52 dev_7_positive: ABSOD=5492, AB=5094, ABD=5074, ABO=5582, ABOD=5574, ABS=4923, ABSD=4904, ABSO=5497
33/52 dev_8_positive: AB=5177, ABD=5172, ABO=4874, ABOD=4870, ABS=3981, ABSD=3979, ABSO=4198, ABSOD=4190
34/52 dev_9_positive: ABD=5355, ABO=5771, ABOD=5744, ABS=5629, ABSD=5601, ABSO=5629, ABSOD=5601, AB=5370
35/52 dev_10_positive: ABO=5116, ABOD=5105, ABS=4452, ABSD=4324, ABSO=4787, ABSOD=4791, AB=4756, ABD=4746
36/52 dev_11_positive: ABOD=5667, ABS=5007, ABSD=4997, ABSO=5494, ABSOD=5487, AB=5330, ABD=5318, ABO=5665
37/52 dev_0_negative: ABS=5342, ABSD=5310, ABSO=5873, ABSOD=5852, AB=6282, ABD=6248, ABO=6073, ABOD=6039
38/52 dev_1_negative: ABSD=4402, ABSO=4332, ABSOD=4329, AB=4543, ABD=4529, ABO=4543, ABOD=4529, ABS=4406
39/52 dev_2_negative: ABSO=5760, ABSOD=5746, AB=5967, ABD=5954, ABO=6051, ABOD=6036, ABS=5407, ABSD=5404
40/52 dev_3_negative: ABSOD=4481, AB=5122, ABD=5100, ABO=4821, ABOD=4813, ABS=4810, ABSD=4788, ABSO=4489
41/52 dev_4_negative: AB=5022, ABD=5018, ABO=4979, ABOD=4964, ABS=4656, ABSD=4652, ABSO=4874, ABSOD=4857
42/52 dev_5_negative: ABD=5810, ABO=6012, ABOD=6002, ABS=5767, ABSD=5746, ABSO=5914, ABSOD=5901, AB=5830
43/52 dev_6_negative: ABO=6041, ABOD=6039, ABS=6070, ABSD=6061, ABSO=5929, ABSOD=5911, AB=5859, ABD=5854
44/52 dev_7_negative: ABOD=5416, ABS=5033, ABSD=5020, ABSO=4807, ABSOD=4775, AB=5075, ABD=5068, ABO=5433
45/52 dev_8_negative: ABS=4579, ABSD=4569, ABSO=4546, ABSOD=4536, AB=5041, ABD=5030, ABO=4677, ABOD=4666
46/52 dev_9_negative: ABSD=5006, ABSO=5512, ABSOD=5489, AB=5396, ABD=5373, ABO=5734, ABOD=5714, ABS=5019
47/52 dev_10_negative: ABSO=4867, ABSOD=4846, AB=5199, ABD=5183, ABO=5575, ABOD=5552, ABS=5013, ABSD=5000
48/52 dev_11_negative: ABSOD=5635, AB=5386, ABD=5376, ABO=6130, ABOD=6122, ABS=5384, ABSD=5369, ABSO=5663
49/52 boundary_minR_16: AB=6827, ABD=6811, ABO=6572, ABOD=6553, ABS=6547, ABSD=6532, ABSO=6504, ABSOD=6486
50/52 late_channel20_after_ten: ABD=6306, ABO=6272, ABOD=6264, ABS=4838, ABSD=4829, ABSO=4828, ABSOD=4820, AB=6314
51/52 near_at_origin: ABO=4780, ABOD=4768, ABS=4432, ABSD=4421, ABSO=4576, ABSOD=4565, AB=4424, ABD=4415
52/52 clustered_16: ABOD=2431, ABS=2431, ABSD=2431, ABSO=2431, ABSOD=2431, AB=2431, ABD=2431, ABO=2431
