case_id,AB,ABD
boundary_minR_16,6835.226433,6813.018688
clustered_16,2431.0,2431.0
dev_0_negative,6281.862713,6248.068079
dev_0_positive,6189.64366,6171.335693
dev_0_smooth,6521.157249,6505.278686
dev_0_spatial_hash,6429.685179,6414.120268
dev_10_negative,5203.752338,5187.508315
dev_10_positive,5033.856293,5029.758665
dev_10_smooth,5109.63289,5103.623983
dev_10_spatial_hash,5090.355569,5087.351228
dev_11_negative,5386.17254,5375.683748
dev_11_positive,5281.160454,5273.605262
dev_11_smooth,5655.268237,5652.476325
dev_11_spatial_hash,5030.695046,5031.379484
dev_1_negative,4540.689425,4526.83461
dev_1_positive,4452.869434,4450.785249
dev_1_smooth,4901.183098,4885.670184
dev_1_spatial_hash,5092.039056,5090.534051
dev_2_negative,5963.6961,5953.295874
dev_2_positive,6618.809105,6618.809105
dev_2_smooth,6733.37621,6733.37621
dev_2_spatial_hash,5831.095014,5831.660214
dev_3_negative,5108.317486,5090.513773
dev_3_positive,5050.411317,5040.435586
dev_3_smooth,5045.917615,5042.605712
dev_3_spatial_hash,5056.854555,5053.658479
dev_4_negative,4958.58441,4954.643687
dev_4_positive,4847.749216,4843.566989
dev_4_smooth,4903.188813,4899.145013
dev_4_spatial_hash,4437.629254,4432.463067
dev_5_negative,5962.485767,5947.932383
dev_5_positive,5837.362318,5827.397048
dev_5_smooth,6296.977116,6281.128998
dev_5_spatial_hash,5822.676412,5786.508546
dev_6_negative,6346.442879,6341.635699
dev_6_positive,5306.867869,5307.556799
dev_6_smooth,5695.973465,5693.670213
dev_6_spatial_hash,5794.712945,5793.677645
dev_7_negative,5311.123911,5300.318026
dev_7_positive,5023.563903,5014.956885
dev_7_smooth,5216.523859,5202.786592
dev_7_spatial_hash,5204.409839,5195.908894
dev_8_negative,5215.117243,5206.011603
dev_8_positive,4945.035566,4935.94689
dev_8_smooth,5238.774172,5233.133517
dev_8_spatial_hash,4915.818251,4907.234878
dev_9_negative,5387.85878,5370.303911
dev_9_positive,5369.782147,5354.998612
dev_9_smooth,5367.555568,5356.985177
dev_9_spatial_hash,5347.470109,5340.293337
late_channel20_after_ten,6313.959612,6305.732205
near_at_origin,4424.41919,4415.444561
