1/52 dev_0_spatial_hash: AB=6430, ABD=6414
2/52 dev_1_spatial_hash: ABD=5091, AB=5092
3/52 dev_2_spatial_hash: AB=5831, ABD=5832
4/52 dev_3_spatial_hash: ABD=5054, AB=5057
5/52 dev_4_spatial_hash: AB=4438, ABD=4432
6/52 dev_5_spatial_hash: ABD=5787, AB=5823
7/52 dev_6_spatial_hash: AB=5795, ABD=5794
8/52 dev_7_spatial_hash: ABD=5196, AB=5204
9/52 dev_8_spatial_hash: AB=4916, ABD=4907
10/52 dev_9_spatial_hash: ABD=5340, AB=5347
11/52 dev_10_spatial_hash: AB=5090, ABD=5087
12/52 dev_11_spatial_hash: ABD=5031, AB=5031
13/52 dev_0_smooth: AB=6521, ABD=6505
14/52 dev_1_smooth: ABD=4886, AB=4901
15/52 dev_2_smooth: AB=6733, ABD=6733
16/52 dev_3_smooth: ABD=5043, AB=5046
17/52 dev_4_smooth: AB=4903, ABD=4899
18/52 dev_5_smooth: ABD=6281, AB=6297
19/52 dev_6_smooth: AB=5696, ABD=5694
20/52 dev_7_smooth: ABD=5203, AB=5217
21/52 dev_8_smooth: AB=5239, ABD=5233
22/52 dev_9_smooth: ABD=5357, AB=5368
23/52 dev_10_smooth: AB=5110, ABD=5104
24/52 dev_11_smooth: ABD=5652, AB=5655
25/52 dev_0_positive: AB=6190, ABD=6171
26/52 dev_1_positive: ABD=4451, AB=4453
27/52 dev_2_positive: AB=6619, ABD=6619
28/52 dev_3_positive: ABD=5040, AB=5050
29/52 dev_4_positive: AB=4848, ABD=4844
30/52 dev_5_positive: ABD=5827, AB=5837
31/52 dev_6_positive: AB=5307, ABD=5308
32/52 dev_7_positive: ABD=5015, AB=5024
33/52 dev_8_positive: AB=4945, ABD=4936
34/52 dev_9_positive: ABD=5355, AB=5370
35/52 dev_10_positive: AB=5034, ABD=5030
36/52 dev_11_positive: ABD=5274, AB=5281
37/52 dev_0_negative: AB=6282, ABD=6248
38/52 dev_1_negative: ABD=4527, AB=4541
39/52 dev_2_negative: AB=5964, ABD=5953
40/52 dev_3_negative: ABD=5091, AB=5108
41/52 dev_4_negative: AB=4959, ABD=4955
42/52 dev_5_negative: ABD=5948, AB=5962
43/52 dev_6_negative: AB=6346, ABD=6342
44/52 dev_7_negative: ABD=5300, AB=5311
45/52 dev_8_negative: AB=5215, ABD=5206
46/52 dev_9_negative: ABD=5370, AB=5388
47/52 dev_10_negative: AB=5204, ABD=5188
48/52 dev_11_negative: ABD=5376, AB=5386
49/52 boundary_minR_16: AB=6835, ABD=6813
50/52 late_channel20_after_ten: ABD=6306, AB=6314
51/52 near_at_origin: AB=4424, ABD=4415
52/52 clustered_16: ABD=2431, AB=2431
