case_id,AB,ABD
boundary_minR_16,6826.665305,6811.441745
clustered_16,2431.0,2431.0
dev_0_negative,6281.912205,6248.116395
dev_0_positive,6289.901617,6273.648406
dev_0_smooth,6521.157249,6505.278686
dev_0_spatial_hash,6429.685179,6414.120268
dev_10_negative,5199.389014,5182.980965
dev_10_positive,4756.2585,4746.420749
dev_10_smooth,4789.56853,4785.593471
dev_10_spatial_hash,5090.355569,5087.351228
dev_11_negative,5386.236664,5375.748005
dev_11_positive,5330.021881,5317.945058
dev_11_smooth,5655.268237,5652.476325
dev_11_spatial_hash,5030.695046,5031.379484
dev_1_negative,4542.961322,4529.105912
dev_1_positive,4453.984664,4451.926258
dev_1_smooth,4901.183098,4885.670184
dev_1_spatial_hash,5092.039056,5090.534051
dev_2_negative,5967.038398,5953.875413
dev_2_positive,5805.67023,5806.341252
dev_2_smooth,6733.37621,6733.37621
dev_2_spatial_hash,5831.095014,5831.660214
dev_3_negative,5122.458779,5100.338673
dev_3_positive,4898.999398,4889.656131
dev_3_smooth,5045.917615,5042.605712
dev_3_spatial_hash,5056.854555,5053.658479
dev_4_negative,5022.438588,5018.499385
dev_4_positive,4863.418609,4851.254015
dev_4_smooth,4903.175729,4899.133219
dev_4_spatial_hash,4437.629254,4432.463067
dev_5_negative,5830.306701,5809.650276
dev_5_positive,5787.830844,5778.715857
dev_5_smooth,6296.977116,6281.128998
dev_5_spatial_hash,5822.676412,5786.508546
dev_6_negative,5859.030062,5853.503954
dev_6_positive,6017.48747,6010.904502
dev_6_smooth,5695.994887,5693.691635
dev_6_spatial_hash,5794.712945,5793.677645
dev_7_negative,5075.406108,5068.493656
dev_7_positive,5094.293286,5073.90242
dev_7_smooth,5216.523859,5202.786592
dev_7_spatial_hash,5204.409839,5195.908894
dev_8_negative,5040.595971,5030.242619
dev_8_positive,5176.98847,5172.391163
dev_8_smooth,5238.707808,5233.067153
dev_8_spatial_hash,4915.818251,4907.234878
dev_9_negative,5396.302809,5373.34394
dev_9_positive,5369.812726,5355.028931
dev_9_smooth,5367.555568,5356.985177
dev_9_spatial_hash,5347.470109,5340.293337
late_channel20_after_ten,6313.877764,6305.649032
near_at_origin,4424.41919,4415.444561
