1/52 dev_0_spatial_hash: AB=6430, ABD=6414
2/52 dev_1_spatial_hash: ABD=5091, AB=5092
3/52 dev_2_spatial_hash: AB=5831, ABD=5832
4/52 dev_3_spatial_hash: ABD=5054, AB=5057
5/52 dev_4_spatial_hash: AB=4438, ABD=4432
6/52 dev_5_spatial_hash: ABD=5787, AB=5823
7/52 dev_6_spatial_hash: AB=5795, ABD=5794
8/52 dev_7_spatial_hash: ABD=5196, AB=5204
9/52 dev_8_spatial_hash: AB=4916, ABD=4907
10/52 dev_9_spatial_hash: ABD=5340, AB=5347
11/52 dev_10_spatial_hash: AB=5090, ABD=5087
12/52 dev_11_spatial_hash: ABD=5031, AB=5031
13/52 dev_0_smooth: AB=6521, ABD=6505
14/52 dev_1_smooth: ABD=4886, AB=4901
15/52 dev_2_smooth: AB=6733, ABD=6733
16/52 dev_3_smooth: ABD=5043, AB=5046
17/52 dev_4_smooth: AB=4903, ABD=4899
18/52 dev_5_smooth: ABD=6281, AB=6297
19/52 dev_6_smooth: AB=5696, ABD=5694
20/52 dev_7_smooth: ABD=5203, AB=5217
21/52 dev_8_smooth: AB=5239, ABD=5233
22/52 dev_9_smooth: ABD=5357, AB=5368
23/52 dev_10_smooth: AB=4790, ABD=4786
24/52 dev_11_smooth: ABD=5652, AB=5655
25/52 dev_0_positive: AB=6290, ABD=6274
26/52 dev_1_positive: ABD=4452, AB=4454
27/52 dev_2_positive: AB=5806, ABD=5806
28/52 dev_3_positive: ABD=4890, AB=4899
29/52 dev_4_positive: AB=4863, ABD=4851
30/52 dev_5_positive: ABD=5779, AB=5788
31/52 dev_6_positive: AB=6017, ABD=6011
32/52 dev_7_positive: ABD=5074, AB=5094
33/52 dev_8_positive: AB=5177, ABD=5172
34/52 dev_9_positive: ABD=5355, AB=5370
35/52 dev_10_positive: AB=4756, ABD=4746
36/52 dev_11_positive: ABD=5318, AB=5330
37/52 dev_0_negative: AB=6282, ABD=6248
38/52 dev_1_negative: ABD=4529, AB=4543
39/52 dev_2_negative: AB=5967, ABD=5954
40/52 dev_3_negative: ABD=5100, AB=5122
41/52 dev_4_negative: AB=5022, ABD=5018
42/52 dev_5_negative: ABD=5810, AB=5830
43/52 dev_6_negative: AB=5859, ABD=5854
44/52 dev_7_negative: ABD=5068, AB=5075
45/52 dev_8_negative: AB=5041, ABD=5030
46/52 dev_9_negative: ABD=5373, AB=5396
47/52 dev_10_negative: AB=5199, ABD=5183
48/52 dev_11_negative: ABD=5376, AB=5386
49/52 boundary_minR_16: AB=6827, ABD=6811
50/52 late_channel20_after_ten: ABD=6306, AB=6314
51/52 near_at_origin: AB=4424, ABD=4415
52/52 clustered_16: ABD=2431, AB=2431
