case_id,AB,ABS,ABSG,ABSR1125,ABSR1125E,ABSR1200,ABSR1200E
boundary_minR_16,6835.226433,6555.6907,6835.226433,6703.643645,6555.6907,6791.466126,6555.6907
clustered_16,2431.0,2431.0,2431.0,4000.976326,2431.0,4247.517686,2431.0
dev_0_negative,6281.862713,5342.284455,5342.284455,5007.970913,5007.970913,5114.486209,5114.486209
dev_0_positive,6189.64366,6088.555691,6088.555691,5229.990428,5229.990428,5193.296383,5193.296383
dev_0_smooth,6521.157249,5811.352298,5811.352298,5114.748785,5114.748785,5075.689785,5075.689785
dev_0_spatial_hash,6429.685179,5820.325788,5820.325788,5009.077485,5009.077485,5211.577596,5211.577596
dev_10_negative,5203.752338,4667.297043,4985.014748,4670.254032,4670.254032,4909.645062,4909.645062
dev_10_positive,5033.856293,4677.155518,4756.466847,4322.486831,4322.486831,4508.914595,4508.914595
dev_10_smooth,5109.63289,4688.093611,4821.915699,4571.827354,4571.827354,4848.093151,4848.093151
dev_10_spatial_hash,5090.355569,4673.218453,4801.704181,4532.706669,4532.706669,4625.310481,4625.310481
dev_11_negative,5386.17254,5384.219187,5337.378362,4542.429642,4542.429642,4827.58038,4827.58038
dev_11_positive,5281.160454,4957.830655,5198.723184,4462.318105,4462.318105,4751.704416,4751.704416
dev_11_smooth,5655.268237,5626.690794,4924.048624,4691.867781,4691.867781,4747.362058,4747.362058
dev_11_spatial_hash,5030.695046,4651.125817,4651.125817,4309.915875,4309.915875,4382.397417,4382.397417
dev_1_negative,4540.689425,4395.816635,4289.929214,4130.634527,4130.634527,4077.685116,4077.685116
dev_1_positive,4452.869434,4576.453776,4576.453776,4159.704198,4159.704198,4127.832128,4127.832128
dev_1_smooth,4901.183098,4380.290515,4380.290515,4392.850365,4392.850365,4193.768788,4193.768788
dev_1_spatial_hash,5092.039056,4486.421439,4656.24246,3999.310068,3999.310068,4051.922422,4051.922422
dev_2_negative,5963.6961,5826.34746,5748.44043,5061.024687,5061.024687,5149.455073,5149.455073
dev_2_positive,6618.809105,5788.828502,5658.410936,4829.575855,4829.575855,4802.920392,4802.920392
dev_2_smooth,6733.37621,5932.516654,5773.969788,4744.005358,4744.005358,4498.88168,4498.88168
dev_2_spatial_hash,5831.095014,5032.906801,5033.129408,4195.536825,4195.536825,4110.782252,4110.782252
dev_3_negative,5108.317486,4796.190531,4796.190531,4423.768208,4423.768208,4399.213635,4399.213635
dev_3_positive,5050.411317,4515.265295,4515.265295,4304.04893,4304.04893,4289.720352,4289.720352
dev_3_smooth,5045.917615,4735.585313,4735.585313,4349.778246,4349.778246,4400.906392,4400.906392
dev_3_spatial_hash,5056.854555,4739.636054,4739.636054,4354.262525,4354.262525,4255.811407,4255.811407
dev_4_negative,4958.58441,4603.748106,4603.748106,4545.538376,4545.538376,4664.730924,4664.730924
dev_4_positive,4847.749216,4881.917469,4881.917469,4453.471129,4453.471129,4273.875738,4273.875738
dev_4_smooth,4903.188813,4591.694006,4591.694006,4074.839378,4074.839378,4025.267185,4025.267185
dev_4_spatial_hash,4437.629254,4248.954573,4248.954573,4018.009116,4018.009116,4406.066944,4406.066944
dev_5_negative,5962.485767,5870.483428,5870.483428,5412.408329,5412.408329,5669.335929,5669.335929
dev_5_positive,5837.362318,5717.54556,5717.54556,5077.203896,5077.203896,5196.058367,5196.058367
dev_5_smooth,6296.977116,5927.830817,6188.38815,5097.883814,5097.883814,5121.090778,5121.090778
dev_5_spatial_hash,5822.676412,6156.12225,6156.12225,5328.355301,5328.355301,5659.416314,5659.416314
dev_6_negative,6346.442879,5666.798704,6485.836717,5889.931793,5889.931793,5395.540881,5395.540881
dev_6_positive,5306.867869,5238.576408,5238.576408,5086.524693,5086.524693,4948.946964,4948.946964
dev_6_smooth,5695.973465,6325.754758,5537.781312,4676.231277,4676.231277,4979.794653,4979.794653
dev_6_spatial_hash,5794.712945,5515.55741,5639.700079,4883.989123,4883.989123,4981.911814,4981.911814
dev_7_negative,5311.123911,5097.172213,5128.636975,4920.582142,4920.582142,4932.507544,4932.507544
dev_7_positive,5023.563903,4840.29394,4840.29394,4777.606692,4777.606692,4828.078421,4828.078421
dev_7_smooth,5216.523859,4939.742869,5110.180897,4471.669897,4471.669897,4483.978185,4483.978185
dev_7_spatial_hash,5204.409839,4845.511093,5203.270826,4965.551327,4965.551327,4630.969717,4630.969717
dev_8_negative,5215.117243,4371.90155,4883.073145,3719.345833,3719.345833,4125.505939,4125.505939
dev_8_positive,4945.035566,4466.932576,4078.182412,3702.922546,3702.922546,3797.81907,3797.81907
dev_8_smooth,5238.774172,4514.07772,4921.769058,3779.726389,3779.726389,3854.005287,3854.005287
dev_8_spatial_hash,4915.818251,4436.613984,4105.893551,3654.023218,3654.023218,3756.536854,3756.536854
dev_9_negative,5387.85878,5311.87769,5187.149548,4750.555453,4750.555453,4757.262852,4757.262852
dev_9_positive,5369.782147,5576.254083,5138.532026,4560.201457,4560.201457,4702.99029,4702.99029
dev_9_smooth,5367.555568,5385.460105,5149.061883,4815.597928,4815.597928,4692.421729,4692.421729
dev_9_spatial_hash,5347.470109,5458.126219,5129.560991,4479.848016,4479.848016,4549.831115,4549.831115
late_channel20_after_ten,6313.959612,4837.615965,4837.615965,4059.788889,4059.788889,4201.971921,4201.971921
near_at_origin,4424.41919,4432.344529,4432.344529,3939.558473,3939.558473,4014.806748,4014.806748
