1/52 dev_0_spatial_hash: AB=6430, ABS=5820, ABSG=5820, ABSR1125=5009, ABSR1125E=5009, ABSR1200=5212, ABSR1200E=5212
2/52 dev_1_spatial_hash: ABS=4486, ABSG=4656, ABSR1125=3999, ABSR1125E=3999, ABSR1200=4052, ABSR1200E=4052, AB=5092
3/52 dev_2_spatial_hash: ABSG=5033, ABSR1125=4196, ABSR1125E=4196, ABSR1200=4111, ABSR1200E=4111, AB=5831, ABS=5033
4/52 dev_3_spatial_hash: ABSR1125=4354, ABSR1125E=4354, ABSR1200=4256, ABSR1200E=4256, AB=5057, ABS=4740, ABSG=4740
5/52 dev_4_spatial_hash: ABSR1125E=4018, ABSR1200=4406, ABSR1200E=4406, AB=4438, ABS=4249, ABSG=4249, ABSR1125=4018
6/52 dev_5_spatial_hash: ABSR1200=5659, ABSR1200E=5659, AB=5823, ABS=6156, ABSG=6156, ABSR1125=5328, ABSR1125E=5328
7/52 dev_6_spatial_hash: ABSR1200E=4982, AB=5795, ABS=5516, ABSG=5640, ABSR1125=4884, ABSR1125E=4884, ABSR1200=4982
8/52 dev_7_spatial_hash: AB=5204, ABS=4846, ABSG=5203, ABSR1125=4966, ABSR1125E=4966, ABSR1200=4631, ABSR1200E=4631
9/52 dev_8_spatial_hash: ABS=4437, ABSG=4106, ABSR1125=3654, ABSR1125E=3654, ABSR1200=3757, ABSR1200E=3757, AB=4916
10/52 dev_9_spatial_hash: ABSG=5130, ABSR1125=4480, ABSR1125E=4480, ABSR1200=4550, ABSR1200E=4550, AB=5347, ABS=5458
11/52 dev_10_spatial_hash: ABSR1125=4533, ABSR1125E=4533, ABSR1200=4625, ABSR1200E=4625, AB=5090, ABS=4673, ABSG=4802
12/52 dev_11_spatial_hash: ABSR1125E=4310, ABSR1200=4382, ABSR1200E=4382, AB=5031, ABS=4651, ABSG=4651, ABSR1125=4310
13/52 dev_0_smooth: ABSR1200=5076, ABSR1200E=5076, AB=6521, ABS=5811, ABSG=5811, ABSR1125=5115, ABSR1125E=5115
14/52 dev_1_smooth: ABSR1200E=4194, AB=4901, ABS=4380, ABSG=4380, ABSR1125=4393, ABSR1125E=4393, ABSR1200=4194
15/52 dev_2_smooth: AB=6733, ABS=5933, ABSG=5774, ABSR1125=4744, ABSR1125E=4744, ABSR1200=4499, ABSR1200E=4499
16/52 dev_3_smooth: ABS=4736, ABSG=4736, ABSR1125=4350, ABSR1125E=4350, ABSR1200=4401, ABSR1200E=4401, AB=5046
17/52 dev_4_smooth: ABSG=4592, ABSR1125=4075, ABSR1125E=4075, ABSR1200=4025, ABSR1200E=4025, AB=4903, ABS=4592
18/52 dev_5_smooth: ABSR1125=5098, ABSR1125E=5098, ABSR1200=5121, ABSR1200E=5121, AB=6297, ABS=5928, ABSG=6188
19/52 dev_6_smooth: ABSR1125E=4676, ABSR1200=4980, ABSR1200E=4980, AB=5696, ABS=6326, ABSG=5538, ABSR1125=4676
20/52 dev_7_smooth: ABSR1200=4484, ABSR1200E=4484, AB=5217, ABS=4940, ABSG=5110, ABSR1125=4472, ABSR1125E=4472
21/52 dev_8_smooth: ABSR1200E=3854, AB=5239, ABS=4514, ABSG=4922, ABSR1125=3780, ABSR1125E=3780, ABSR1200=3854
22/52 dev_9_smooth: AB=5368, ABS=5385, ABSG=5149, ABSR1125=4816, ABSR1125E=4816, ABSR1200=4692, ABSR1200E=4692
23/52 dev_10_smooth: ABS=4688, ABSG=4822, ABSR1125=4572, ABSR1125E=4572, ABSR1200=4848, ABSR1200E=4848, AB=5110
24/52 dev_11_smooth: ABSG=4924, ABSR1125=4692, ABSR1125E=4692, ABSR1200=4747, ABSR1200E=4747, AB=5655, ABS=5627
25/52 dev_0_positive: ABSR1125=5230, ABSR1125E=5230, ABSR1200=5193, ABSR1200E=5193, AB=6190, ABS=6089, ABSG=6089
26/52 dev_1_positive: ABSR1125E=4160, ABSR1200=4128, ABSR1200E=4128, AB=4453, ABS=4576, ABSG=4576, ABSR1125=4160
27/52 dev_2_positive: ABSR1200=4803, ABSR1200E=4803, AB=6619, ABS=5789, ABSG=5658, ABSR1125=4830, ABSR1125E=4830
28/52 dev_3_positive: ABSR1200E=4290, AB=5050, ABS=4515, ABSG=4515, ABSR1125=4304, ABSR1125E=4304, ABSR1200=4290
29/52 dev_4_positive: AB=4848, ABS=4882, ABSG=4882, ABSR1125=4453, ABSR1125E=4453, ABSR1200=4274, ABSR1200E=4274
30/52 dev_5_positive: ABS=5718, ABSG=5718, ABSR1125=5077, ABSR1125E=5077, ABSR1200=5196, ABSR1200E=5196, AB=5837
31/52 dev_6_positive: ABSG=5239, ABSR1125=5087, ABSR1125E=5087, ABSR1200=4949, ABSR1200E=4949, AB=5307, ABS=5239
32/52 dev_7_positive: ABSR1125=4778, ABSR1125E=4778, ABSR1200=4828, ABSR1200E=4828, AB=5024, ABS=4840, ABSG=4840
33/52 dev_8_positive: ABSR1125E=3703, ABSR1200=3798, ABSR1200E=3798, AB=4945, ABS=4467, ABSG=4078, ABSR1125=3703
34/52 dev_9_positive: ABSR1200=4703, ABSR1200E=4703, AB=5370, ABS=5576, ABSG=5139, ABSR1125=4560, ABSR1125E=4560
35/52 dev_10_positive: ABSR1200E=4509, AB=5034, ABS=4677, ABSG=4756, ABSR1125=4322, ABSR1125E=4322, ABSR1200=4509
36/52 dev_11_positive: AB=5281, ABS=4958, ABSG=5199, ABSR1125=4462, ABSR1125E=4462, ABSR1200=4752, ABSR1200E=4752
37/52 dev_0_negative: ABS=5342, ABSG=5342, ABSR1125=5008, ABSR1125E=5008, ABSR1200=5114, ABSR1200E=5114, AB=6282
38/52 dev_1_negative: ABSG=4290, ABSR1125=4131, ABSR1125E=4131, ABSR1200=4078, ABSR1200E=4078, AB=4541, ABS=4396
39/52 dev_2_negative: ABSR1125=5061, ABSR1125E=5061, ABSR1200=5149, ABSR1200E=5149, AB=5964, ABS=5826, ABSG=5748
40/52 dev_3_negative: ABSR1125E=4424, ABSR1200=4399, ABSR1200E=4399, AB=5108, ABS=4796, ABSG=4796, ABSR1125=4424
41/52 dev_4_negative: ABSR1200=4665, ABSR1200E=4665, AB=4959, ABS=4604, ABSG=4604, ABSR1125=4546, ABSR1125E=4546
42/52 dev_5_negative: ABSR1200E=5669, AB=5962, ABS=5870, ABSG=5870, ABSR1125=5412, ABSR1125E=5412, ABSR1200=5669
43/52 dev_6_negative: AB=6346, ABS=5667, ABSG=6486, ABSR1125=5890, ABSR1125E=5890, ABSR1200=5396, ABSR1200E=5396
44/52 dev_7_negative: ABS=5097, ABSG=5129, ABSR1125=4921, ABSR1125E=4921, ABSR1200=4933, ABSR1200E=4933, AB=5311
45/52 dev_8_negative: ABSG=4883, ABSR1125=3719, ABSR1125E=3719, ABSR1200=4126, ABSR1200E=4126, AB=5215, ABS=4372
46/52 dev_9_negative: ABSR1125=4751, ABSR1125E=4751, ABSR1200=4757, ABSR1200E=4757, AB=5388, ABS=5312, ABSG=5187
47/52 dev_10_negative: ABSR1125E=4670, ABSR1200=4910, ABSR1200E=4910, AB=5204, ABS=4667, ABSG=4985, ABSR1125=4670
48/52 dev_11_negative: ABSR1200=4828, ABSR1200E=4828, AB=5386, ABS=5384, ABSG=5337, ABSR1125=4542, ABSR1125E=4542
49/52 boundary_minR_16: ABSR1200E=6556, AB=6835, ABS=6556, ABSG=6835, ABSR1125=6704, ABSR1125E=6556, ABSR1200=6791
50/52 late_channel20_after_ten: AB=6314, ABS=4838, ABSG=4838, ABSR1125=4060, ABSR1125E=4060, ABSR1200=4202, ABSR1200E=4202
51/52 near_at_origin: ABS=4432, ABSG=4432, ABSR1125=3940, ABSR1125E=3940, ABSR1200=4015, ABSR1200E=4015, AB=4424
52/52 clustered_16: ABSG=2431, ABSR1125=4001, ABSR1125E=2431, ABSR1200=4248, ABSR1200E=2431, AB=2431, ABS=2431
