case_id,AB,ABS,ABSG,ABSR1125,ABSR1125E,ABSR1200,ABSR1200E
boundary_minR_16,6826.665305,6547.221025,6826.665305,6319.623953,6547.221025,6796.531751,6547.221025
clustered_16,2431.0,2431.0,2431.0,4001.150107,2431.0,4247.489642,2431.0
dev_0_negative,6281.912205,5342.27755,5342.27755,5109.176566,5109.176566,5114.586644,5114.586644
dev_0_positive,6289.901617,5824.520522,5824.520522,5088.826091,5088.826091,5211.507018,5211.507018
dev_0_smooth,6521.157249,5811.352298,5811.352298,5114.748785,5114.748785,5075.689785,5075.689785
dev_0_spatial_hash,6429.685179,5820.325788,5820.325788,5009.077485,5009.077485,5211.577596,5211.577596
dev_10_negative,5199.389014,5012.554832,4910.683179,4153.153256,4153.153256,4157.455885,4157.455885
dev_10_positive,4756.2585,4452.448625,4463.80936,3813.124218,3813.124218,4129.696099,4129.696099
dev_10_smooth,4789.56853,4345.983789,4485.918204,4020.499865,4020.499865,4263.855303,4263.855303
dev_10_spatial_hash,5090.355569,4673.218453,4801.704181,4532.706669,4532.706669,4625.310481,4625.310481
dev_11_negative,5386.236664,5384.212028,5337.492958,5125.16236,5125.16236,5220.128707,5220.128707
dev_11_positive,5330.021881,5006.765915,5247.582142,4462.272095,4462.272095,4505.3924,4505.3924
dev_11_smooth,5655.268237,5626.656441,4924.048624,4691.867781,4691.867781,4747.362058,4747.362058
dev_11_spatial_hash,5030.695046,4651.125817,4651.125817,4309.915875,4309.915875,4382.390921,4382.390921
dev_1_negative,4542.961322,4406.152928,4300.146807,4130.73181,4130.73181,4035.067449,4035.067449
dev_1_positive,4453.984664,4576.482546,4576.482546,4159.696268,4159.696268,4093.706819,4093.706819
dev_1_smooth,4901.183098,4380.290515,4380.290515,4392.850365,4392.850365,4193.768788,4193.768788
dev_1_spatial_hash,5092.039056,4486.421439,4656.24246,3999.310068,3999.310068,4051.922422,4051.922422
dev_2_negative,5967.038398,5406.704146,5656.338941,4859.92457,4859.92457,4949.00587,4949.00587
dev_2_positive,5805.67023,5068.931008,5083.03746,3795.237282,3795.237282,4078.955945,4078.955945
dev_2_smooth,6733.37621,5932.516654,5773.969788,4744.007652,4744.007652,4498.88168,4498.88168
dev_2_spatial_hash,5831.095014,5032.906801,5033.129408,4195.536825,4195.536825,4110.782252,4110.782252
dev_3_negative,5122.458779,4810.370004,4810.370004,4574.05039,4574.05039,4399.090949,4399.090949
dev_3_positive,4898.999398,4661.942496,4661.942496,4506.049771,4506.049771,4580.836483,4580.836483
dev_3_smooth,5045.917615,4735.585313,4735.585313,4349.778246,4349.778246,4400.919173,4400.919173
dev_3_spatial_hash,5056.854555,4739.636054,4739.636054,4354.262525,4354.262525,4255.811407,4255.811407
dev_4_negative,5022.438588,4656.392444,4754.769405,4545.407538,4545.407538,4664.674377,4664.674377
dev_4_positive,4863.418609,4439.198305,4439.198305,4567.803715,4567.803715,4186.114832,4186.114832
dev_4_smooth,4903.175729,4591.680922,4591.680922,4074.871059,4074.871059,4025.344359,4025.344359
dev_4_spatial_hash,4437.629254,4248.954573,4248.954573,4018.009116,4018.009116,4406.066944,4406.066944
dev_5_negative,5830.306701,5767.420743,5710.263767,4879.59351,4879.59351,5382.331659,5382.331659
dev_5_positive,5787.830844,6019.958869,6019.958869,5360.134117,5360.134117,5478.159276,5478.159276
dev_5_smooth,6296.977116,5927.826667,6188.38815,5097.883814,5097.883814,5121.090778,5121.090778
dev_5_spatial_hash,5822.676412,6156.12225,6156.12225,5328.355301,5328.355301,5659.416314,5659.416314
dev_6_negative,5859.030062,6069.678225,5056.790881,5121.654318,5121.654318,5128.87001,5128.87001
dev_6_positive,6017.48747,5383.758325,6207.27844,5302.739963,5302.739963,5011.2646,5011.2646
dev_6_smooth,5695.994887,6325.755707,5537.802734,4676.231277,4676.231277,4979.794653,4979.794653
dev_6_spatial_hash,5794.712945,5515.55741,5639.700079,4883.989123,4883.989123,4981.911814,4981.911814
dev_7_negative,5075.406108,5032.825142,4933.679475,5036.864294,5036.864294,4928.647824,4928.647824
dev_7_positive,5094.293286,4922.920679,5007.382411,4777.528275,4777.528275,4828.022499,4828.022499
dev_7_smooth,5216.523859,4939.742869,5110.180897,4471.660217,4471.660217,4455.590506,4455.590506
dev_7_spatial_hash,5204.409839,4845.511093,5203.270826,4965.551327,4965.551327,4630.969717,4630.969717
dev_8_negative,5040.595971,4578.678285,4170.84291,3802.875034,3802.875034,3895.161901,3895.161901
dev_8_positive,5176.98847,3980.671907,4946.159956,4007.625082,4007.625082,4135.335932,4135.335932
dev_8_smooth,5238.707808,4514.057028,4921.702694,3779.731029,3779.731029,3853.993916,3853.993916
dev_8_spatial_hash,4915.818251,4436.613984,4105.893551,3654.023218,3654.023218,3756.536854,3756.536854
dev_9_negative,5396.302809,5018.84222,5195.64387,4767.360357,4767.360357,4725.162694,4725.162694
dev_9_positive,5369.812726,5628.641919,5138.502081,4888.950229,4888.950229,4695.345466,4695.345466
dev_9_smooth,5367.555568,5385.460105,5149.061883,4815.597928,4815.597928,4692.421729,4692.421729
dev_9_spatial_hash,5347.470109,5458.126219,5129.560991,4479.848016,4479.848016,4549.831115,4549.831115
late_channel20_after_ten,6313.877764,4837.665444,4837.665444,4059.818841,4059.818841,4202.00453,4202.00453
near_at_origin,4424.41919,4432.344529,4432.344529,3939.558473,3939.558473,4014.806748,4014.806748
