1/52 dev_0_spatial_hash: AB=6430, ABS=5820, ABSG=5820, ABSR1125=5009, ABSR1125E=5009, ABSR1200=5212, ABSR1200E=5212
2/52 dev_1_spatial_hash: ABS=4486, ABSG=4656, ABSR1125=3999, ABSR1125E=3999, ABSR1200=4052, ABSR1200E=4052, AB=5092
3/52 dev_2_spatial_hash: ABSG=5033, ABSR1125=4196, ABSR1125E=4196, ABSR1200=4111, ABSR1200E=4111, AB=5831, ABS=5033
4/52 dev_3_spatial_hash: ABSR1125=4354, ABSR1125E=4354, ABSR1200=4256, ABSR1200E=4256, AB=5057, ABS=4740, ABSG=4740
5/52 dev_4_spatial_hash: ABSR1125E=4018, ABSR1200=4406, ABSR1200E=4406, AB=4438, ABS=4249, ABSG=4249, ABSR1125=4018
6/52 dev_5_spatial_hash: ABSR1200=5659, ABSR1200E=5659, AB=5823, ABS=6156, ABSG=6156, ABSR1125=5328, ABSR1125E=5328
7/52 dev_6_spatial_hash: ABSR1200E=4982, AB=5795, ABS=5516, ABSG=5640, ABSR1125=4884, ABSR1125E=4884, ABSR1200=4982
8/52 dev_7_spatial_hash: AB=5204, ABS=4846, ABSG=5203, ABSR1125=4966, ABSR1125E=4966, ABSR1200=4631, ABSR1200E=4631
9/52 dev_8_spatial_hash: ABS=4437, ABSG=4106, ABSR1125=3654, ABSR1125E=3654, ABSR1200=3757, ABSR1200E=3757, AB=4916
10/52 dev_9_spatial_hash: ABSG=5130, ABSR1125=4480, ABSR1125E=4480, ABSR1200=4550, ABSR1200E=4550, AB=5347, ABS=5458
11/52 dev_10_spatial_hash: ABSR1125=4533, ABSR1125E=4533, ABSR1200=4625, ABSR1200E=4625, AB=5090, ABS=4673, ABSG=4802
12/52 dev_11_spatial_hash: ABSR1125E=4310, ABSR1200=4382, ABSR1200E=4382, AB=5031, ABS=4651, ABSG=4651, ABSR1125=4310
13/52 dev_0_smooth: ABSR1200=5076, ABSR1200E=5076, AB=6521, ABS=5811, ABSG=5811, ABSR1125=5115, ABSR1125E=5115
14/52 dev_1_smooth: ABSR1200E=4194, AB=4901, ABS=4380, ABSG=4380, ABSR1125=4393, ABSR1125E=4393, ABSR1200=4194
15/52 dev_2_smooth: AB=6733, ABS=5933, ABSG=5774, ABSR1125=4744, ABSR1125E=4744, ABSR1200=4499, ABSR1200E=4499
16/52 dev_3_smooth: ABS=4736, ABSG=4736, ABSR1125=4350, ABSR1125E=4350, ABSR1200=4401, ABSR1200E=4401, AB=5046
17/52 dev_4_smooth: ABSG=4592, ABSR1125=4075, ABSR1125E=4075, ABSR1200=4025, ABSR1200E=4025, AB=4903, ABS=4592
18/52 dev_5_smooth: ABSR1125=5098, ABSR1125E=5098, ABSR1200=5121, ABSR1200E=5121, AB=6297, ABS=5928, ABSG=6188
19/52 dev_6_smooth: ABSR1125E=4676, ABSR1200=4980, ABSR1200E=4980, AB=5696, ABS=6326, ABSG=5538, ABSR1125=4676
20/52 dev_7_smooth: ABSR1200=4456, ABSR1200E=4456, AB=5217, ABS=4940, ABSG=5110, ABSR1125=4472, ABSR1125E=4472
21/52 dev_8_smooth: ABSR1200E=3854, AB=5239, ABS=4514, ABSG=4922, ABSR1125=3780, ABSR1125E=3780, ABSR1200=3854
22/52 dev_9_smooth: AB=5368, ABS=5385, ABSG=5149, ABSR1125=4816, ABSR1125E=4816, ABSR1200=4692, ABSR1200E=4692
23/52 dev_10_smooth: ABS=4346, ABSG=4486, ABSR1125=4020, ABSR1125E=4020, ABSR1200=4264, ABSR1200E=4264, AB=4790
24/52 dev_11_smooth: ABSG=4924, ABSR1125=4692, ABSR1125E=4692, ABSR1200=4747, ABSR1200E=4747, AB=5655, ABS=5627
25/52 dev_0_positive: ABSR1125=5089, ABSR1125E=5089, ABSR1200=5212, ABSR1200E=5212, AB=6290, ABS=5825, ABSG=5825
26/52 dev_1_positive: ABSR1125E=4160, ABSR1200=4094, ABSR1200E=4094, AB=4454, ABS=4576, ABSG=4576, ABSR1125=4160
27/52 dev_2_positive: ABSR1200=4079, ABSR1200E=4079, AB=5806, ABS=5069, ABSG=5083, ABSR1125=3795, ABSR1125E=3795
28/52 dev_3_positive: ABSR1200E=4581, AB=4899, ABS=4662, ABSG=4662, ABSR1125=4506, ABSR1125E=4506, ABSR1200=4581
29/52 dev_4_positive: AB=4863, ABS=4439, ABSG=4439, ABSR1125=4568, ABSR1125E=4568, ABSR1200=4186, ABSR1200E=4186
30/52 dev_5_positive: ABS=6020, ABSG=6020, ABSR1125=5360, ABSR1125E=5360, ABSR1200=5478, ABSR1200E=5478, AB=5788
31/52 dev_6_positive: ABSG=6207, ABSR1125=5303, ABSR1125E=5303, ABSR1200=5011, ABSR1200E=5011, AB=6017, ABS=5384
32/52 dev_7_positive: ABSR1125=4778, ABSR1125E=4778, ABSR1200=4828, ABSR1200E=4828, AB=5094, ABS=4923, ABSG=5007
33/52 dev_8_positive: ABSR1125E=4008, ABSR1200=4135, ABSR1200E=4135, AB=5177, ABS=3981, ABSG=4946, ABSR1125=4008
34/52 dev_9_positive: ABSR1200=4695, ABSR1200E=4695, AB=5370, ABS=5629, ABSG=5139, ABSR1125=4889, ABSR1125E=4889
35/52 dev_10_positive: ABSR1200E=4130, AB=4756, ABS=4452, ABSG=4464, ABSR1125=3813, ABSR1125E=3813, ABSR1200=4130
36/52 dev_11_positive: AB=5330, ABS=5007, ABSG=5248, ABSR1125=4462, ABSR1125E=4462, ABSR1200=4505, ABSR1200E=4505
37/52 dev_0_negative: ABS=5342, ABSG=5342, ABSR1125=5109, ABSR1125E=5109, ABSR1200=5115, ABSR1200E=5115, AB=6282
38/52 dev_1_negative: ABSG=4300, ABSR1125=4131, ABSR1125E=4131, ABSR1200=4035, ABSR1200E=4035, AB=4543, ABS=4406
39/52 dev_2_negative: ABSR1125=4860, ABSR1125E=4860, ABSR1200=4949, ABSR1200E=4949, AB=5967, ABS=5407, ABSG=5656
40/52 dev_3_negative: ABSR1125E=4574, ABSR1200=4399, ABSR1200E=4399, AB=5122, ABS=4810, ABSG=4810, ABSR1125=4574
41/52 dev_4_negative: ABSR1200=4665, ABSR1200E=4665, AB=5022, ABS=4656, ABSG=4755, ABSR1125=4545, ABSR1125E=4545
42/52 dev_5_negative: ABSR1200E=5382, AB=5830, ABS=5767, ABSG=5710, ABSR1125=4880, ABSR1125E=4880, ABSR1200=5382
43/52 dev_6_negative: AB=5859, ABS=6070, ABSG=5057, ABSR1125=5122, ABSR1125E=5122, ABSR1200=5129, ABSR1200E=5129
44/52 dev_7_negative: ABS=5033, ABSG=4934, ABSR1125=5037, ABSR1125E=5037, ABSR1200=4929, ABSR1200E=4929, AB=5075
45/52 dev_8_negative: ABSG=4171, ABSR1125=3803, ABSR1125E=3803, ABSR1200=3895, ABSR1200E=3895, AB=5041, ABS=4579
46/52 dev_9_negative: ABSR1125=4767, ABSR1125E=4767, ABSR1200=4725, ABSR1200E=4725, AB=5396, ABS=5019, ABSG=5196
47/52 dev_10_negative: ABSR1125E=4153, ABSR1200=4157, ABSR1200E=4157, AB=5199, ABS=5013, ABSG=4911, ABSR1125=4153
48/52 dev_11_negative: ABSR1200=5220, ABSR1200E=5220, AB=5386, ABS=5384, ABSG=5337, ABSR1125=5125, ABSR1125E=5125
49/52 boundary_minR_16: ABSR1200E=6547, AB=6827, ABS=6547, ABSG=6827, ABSR1125=6320, ABSR1125E=6547, ABSR1200=6797
50/52 late_channel20_after_ten: AB=6314, ABS=4838, ABSG=4838, ABSR1125=4060, ABSR1125E=4060, ABSR1200=4202, ABSR1200E=4202
51/52 near_at_origin: ABS=4432, ABSG=4432, ABSR1125=3940, ABSR1125E=3940, ABSR1200=4015, ABSR1200E=4015, AB=4424
52/52 clustered_16: ABSG=2431, ABSR1125=4001, ABSR1125E=2431, ABSR1200=4247, ABSR1200E=2431, AB=2431, ABS=2431
