case_id,AB,ABS,ABSG,ABSR1125,ABSR1125E
outer_holdout_30000_negative,5293.089436,5018.730164,5070.432719,5265.423282,5018.730164
outer_holdout_30000_positive,5260.131351,5376.75113,5376.75113,4700.390213,5376.75113
outer_holdout_30000_smooth,5504.319023,5350.863305,5417.660561,4721.254054,5350.863305
outer_holdout_30000_spatial_hash,5306.594977,5170.372832,5226.950188,5235.692758,5170.372832
outer_holdout_30001_negative,5961.40561,4709.401674,4683.915556,4232.849829,4709.401674
outer_holdout_30001_positive,6016.229014,4782.219688,4774.44237,3933.435348,4782.219688
outer_holdout_30001_smooth,5961.32891,4702.414955,4667.065518,4113.194717,4702.414955
outer_holdout_30001_spatial_hash,5946.875299,4726.289359,4660.206893,4019.870798,4726.289359
outer_holdout_30002_negative,5585.916993,5281.407065,5185.01083,5147.018144,5281.407065
outer_holdout_30002_positive,5590.772051,5613.047751,5613.047751,4495.000367,5613.047751
outer_holdout_30002_smooth,5558.089675,5273.84822,5273.84822,4944.113848,5273.84822
outer_holdout_30002_spatial_hash,5577.199181,5009.05454,5009.05454,4638.151263,5009.05454
outer_holdout_30003_negative,5726.960539,4713.997187,4705.606003,3700.04809,4713.997187
outer_holdout_30003_positive,5818.693991,4739.735698,4724.227167,3742.901727,4739.735698
outer_holdout_30003_smooth,5749.876487,4691.106459,4663.079745,3708.943541,4691.106459
outer_holdout_30003_spatial_hash,5740.069521,4731.015225,4695.705163,3705.134838,4731.015225
outer_holdout_30004_negative,5523.839541,4851.90171,5090.418185,4324.256581,4851.90171
outer_holdout_30004_positive,5642.207999,4780.215239,5065.343542,4004.658609,4780.215239
outer_holdout_30004_smooth,5571.924905,5138.215822,5205.680193,3973.542826,5138.215822
outer_holdout_30004_spatial_hash,5598.488701,4764.253881,5032.44274,3962.916325,4764.253881
outer_holdout_30005_negative,5320.998796,4267.700459,4242.654869,4231.799308,4267.700459
outer_holdout_30005_positive,5264.18453,4243.769812,4191.557136,4086.406907,4243.769812
outer_holdout_30005_smooth,5275.050597,4281.88761,4197.836283,4099.299201,4281.88761
outer_holdout_30005_spatial_hash,5291.462863,4266.055774,4221.210614,4128.829559,4266.055774
outer_holdout_30006_negative,6683.055323,6744.853401,6677.008822,5530.199585,6744.853401
outer_holdout_30006_positive,6624.577249,6679.249346,6732.532161,5353.196995,6679.249346
outer_holdout_30006_smooth,6695.79101,6229.087202,6551.23447,5509.380604,6229.087202
outer_holdout_30006_spatial_hash,6525.017586,6538.788042,6381.165578,5457.017988,6538.788042
outer_holdout_30007_negative,5260.371358,4239.214492,4263.409797,3345.835573,4239.214492
outer_holdout_30007_positive,5039.223695,4061.609983,4058.61879,3306.007784,4061.609983
outer_holdout_30007_smooth,5059.002792,4075.426793,4080.604692,3339.689439,4075.426793
outer_holdout_30007_spatial_hash,5114.452707,4137.099197,4135.166647,3297.079813,4137.099197
outer_holdout_30008_negative,5816.807685,5430.535725,5430.535725,4693.239335,5430.535725
outer_holdout_30008_positive,5689.233125,5345.570494,5345.248913,4704.34877,5345.570494
outer_holdout_30008_smooth,5716.510342,5389.970719,5389.970719,4607.497045,5389.970719
outer_holdout_30008_spatial_hash,5727.487572,5357.784518,5357.784518,4707.314535,5357.784518
outer_holdout_30009_negative,6225.601092,5014.591943,4977.758599,4083.19159,5014.591943
outer_holdout_30009_positive,6132.350539,4941.026405,4910.640881,4024.676159,4941.026405
outer_holdout_30009_smooth,6157.405023,4882.522408,4853.40259,3998.841345,4882.522408
outer_holdout_30009_spatial_hash,6143.126687,4949.936828,4828.367335,4037.425531,4949.936828
outer_holdout_30010_negative,6972.326801,6706.325546,6766.227573,4587.391063,6706.325546
outer_holdout_30010_positive,6980.596071,6568.200553,6546.137499,5707.78993,6568.200553
outer_holdout_30010_smooth,5745.430782,5239.144925,5239.144925,5753.713706,5239.144925
outer_holdout_30010_spatial_hash,6937.777398,6724.531416,6713.923115,5720.371884,6724.531416
outer_holdout_30011_negative,5075.178326,4125.255349,4157.630744,3920.460053,4125.255349
outer_holdout_30011_positive,4933.864267,4073.325159,3987.226176,3846.6323,4073.325159
outer_holdout_30011_smooth,4956.303499,4086.294653,4029.106751,3865.259554,4086.294653
outer_holdout_30011_spatial_hash,4987.226034,4013.310038,4020.761724,3799.248456,4013.310038
outer_holdout_30012_negative,5377.904168,5114.345439,5008.875221,4898.634535,5114.345439
outer_holdout_30012_positive,5412.424173,5104.110459,5104.110459,4495.830298,5104.110459
outer_holdout_30012_smooth,5941.522632,5611.6392,5781.220201,4485.982234,5611.6392
outer_holdout_30012_spatial_hash,6012.854224,5571.586323,5571.586323,4665.338694,5571.586323
outer_holdout_30013_negative,7133.20403,5440.36036,4977.264492,3927.083724,5440.36036
outer_holdout_30013_positive,7190.415454,5342.21781,5351.97356,3917.717922,5342.21781
outer_holdout_30013_smooth,7154.753736,5576.969395,5375.952833,3925.78609,5576.969395
outer_holdout_30013_spatial_hash,7108.616092,5323.807192,5333.919078,3907.031805,5323.807192
outer_holdout_30014_negative,7126.211084,6801.888662,6955.856277,5743.569817,6801.888662
outer_holdout_30014_positive,7031.699446,6449.77734,6940.22909,5806.003196,6449.77734
outer_holdout_30014_smooth,7394.221975,6469.392137,6533.699797,5774.794739,6469.392137
outer_holdout_30014_spatial_hash,7102.768261,6443.628729,6914.736907,5608.070878,6443.628729
outer_holdout_30015_negative,5214.513952,4269.508732,4348.610314,3833.80845,4269.508732
outer_holdout_30015_positive,5126.582779,4308.603988,4117.452389,3755.143657,4308.603988
outer_holdout_30015_smooth,5118.613598,4311.162645,4121.796405,3792.524849,4311.162645
outer_holdout_30015_spatial_hash,5138.147851,4321.071984,4119.726298,3760.388284,4321.071984
outer_holdout_30016_negative,5891.021436,5456.274988,5559.897255,4606.446548,5456.274988
outer_holdout_30016_positive,5361.36513,4745.18472,4963.157854,4829.417673,4745.18472
outer_holdout_30016_smooth,5305.311977,4693.360381,4915.749071,4560.731956,4693.360381
outer_holdout_30016_spatial_hash,5394.453388,5234.957147,5234.957147,4983.424736,5234.957147
outer_holdout_30017_negative,7244.589333,5489.667294,5502.796668,4034.49879,5489.667294
outer_holdout_30017_positive,7317.576353,5615.718889,5622.030016,3866.804305,5615.718889
outer_holdout_30017_smooth,7288.44637,5508.901486,5538.214874,3872.34033,5508.901486
outer_holdout_30017_spatial_hash,7257.820116,5521.480566,5508.694259,3898.178248,5521.480566
outer_holdout_30018_negative,8101.286977,7208.514397,7442.824888,5886.776398,7208.514397
outer_holdout_30018_positive,7353.886613,6741.550399,7019.235451,5750.298003,6741.550399
outer_holdout_30018_smooth,7580.156175,6814.725162,7020.453224,5348.905184,6814.725162
outer_holdout_30018_spatial_hash,6958.728034,5719.71175,6062.095592,5944.202661,5719.71175
outer_holdout_30019_negative,5539.403211,4417.15052,4398.390738,4248.2086,4417.15052
outer_holdout_30019_positive,5475.108017,4295.980141,4274.263235,4180.932855,4295.980141
outer_holdout_30019_smooth,5506.398793,4317.389108,4296.772555,4218.178444,4317.389108
outer_holdout_30019_spatial_hash,5447.993088,4369.091758,4330.05628,4177.318256,4369.091758
