case_id,AB,ABS,ABSG,ABSR1125,ABSR1125E
outer_holdout_30000_negative,5285.737345,5011.364766,5063.057229,4791.844465,5011.364766
outer_holdout_30000_positive,5313.308818,5166.048446,5234.277413,5119.580755,5166.048446
outer_holdout_30000_smooth,5504.319023,5350.820519,5417.617775,4721.273319,5350.820519
outer_holdout_30000_spatial_hash,5306.594977,5170.372832,5226.950188,5235.692758,5170.372832
outer_holdout_30001_negative,5961.409671,4709.405146,4683.966955,4228.633641,4709.405146
outer_holdout_30001_positive,6016.412795,4782.370132,4774.620529,3933.53423,4782.370132
outer_holdout_30001_smooth,5961.32891,4702.414955,4667.065518,4113.194717,4702.414955
outer_holdout_30001_spatial_hash,5946.875299,4726.289359,4660.206893,4019.870798,4726.289359
outer_holdout_30002_negative,5588.688088,5611.133937,5514.713671,5167.418153,5611.133937
outer_holdout_30002_positive,5597.949102,5303.746609,5303.746609,4709.02228,5303.746609
outer_holdout_30002_smooth,5558.089675,5273.84822,5273.84822,4944.133976,5273.84822
outer_holdout_30002_spatial_hash,5577.199181,5009.05454,5009.05454,4638.151263,5009.05454
outer_holdout_30003_negative,5745.375582,4730.901962,4699.388875,3700.277947,4730.901962
outer_holdout_30003_positive,5807.796521,4751.273127,4720.253225,3742.949532,4751.273127
outer_holdout_30003_smooth,5749.831738,4691.118449,4663.091735,3708.943745,4691.118449
outer_holdout_30003_spatial_hash,5740.069521,4731.015225,4695.705163,3705.134838,4731.015225
outer_holdout_30004_negative,5521.436514,4849.500107,5088.120078,4441.844205,4849.500107
outer_holdout_30004_positive,5454.220066,4908.823426,5022.504824,3980.975887,4908.823426
outer_holdout_30004_smooth,5571.920812,5138.211729,5205.6761,3973.542826,5138.211729
outer_holdout_30004_spatial_hash,5598.488701,4764.253881,5032.44274,3962.916325,4764.253881
outer_holdout_30005_negative,5332.810354,4318.823194,4275.677276,4231.870889,4318.823194
outer_holdout_30005_positive,5307.87835,4253.421531,4176.112337,4078.032954,4253.421531
outer_holdout_30005_smooth,5275.050597,4281.88761,4197.836283,4099.299201,4281.88761
outer_holdout_30005_spatial_hash,5291.462863,4266.055774,4221.210614,4128.829559,4266.055774
outer_holdout_30006_negative,6683.033534,6744.863441,6677.013194,5395.815801,6744.863441
outer_holdout_30006_positive,6630.070535,6558.881555,6558.881555,5616.301495,6558.881555
outer_holdout_30006_smooth,6695.79101,6229.087202,6551.23447,5509.380604,6229.087202
outer_holdout_30006_spatial_hash,6525.017586,6538.788042,6381.165578,5457.017988,6538.788042
outer_holdout_30007_negative,5221.819345,4274.531474,4249.558684,3340.589189,4274.531474
outer_holdout_30007_positive,5039.296632,4061.657091,4058.705592,3305.928345,4061.657091
outer_holdout_30007_smooth,5059.002792,4075.426793,4080.604692,3339.689439,4075.426793
