case_id,AB,COMPACT,COMPACT_BATCH,REF,REF_BATCH
outer_holdout_50000_negative,5922.13089,5420.285949,5420.285949,5123.736107,4980.219293
outer_holdout_50000_positive,5921.274894,5330.216905,5330.216905,4952.327759,4807.013297
outer_holdout_50000_smooth,5897.9619,5139.885864,4913.420913,5070.334936,4923.901291
outer_holdout_50000_spatial_hash,6333.392992,5205.084225,5205.084225,5713.683237,5713.683237
outer_holdout_50001_negative,5417.716513,4277.379125,3597.236379,4506.097197,3600.924781
outer_holdout_50001_positive,5219.389921,4004.773351,3245.581613,4287.669392,3329.377758
outer_holdout_50001_smooth,5279.065376,4125.512822,3305.793594,4332.339072,3370.62315
outer_holdout_50001_spatial_hash,5280.904742,4091.856486,3349.626189,4322.782144,3357.520261
outer_holdout_50002_negative,5312.511673,4944.551463,4944.551463,5147.306651,5147.306651
outer_holdout_50002_positive,5247.51921,4883.91422,4883.91422,5198.356332,5198.356332
outer_holdout_50002_smooth,5367.774229,5069.556382,5069.556382,5367.774229,5367.774229
outer_holdout_50002_spatial_hash,5740.606175,4638.93687,4638.93687,5535.096712,5535.096712
outer_holdout_50003_negative,6582.274828,4344.928576,3655.990295,4839.836323,3671.670833
outer_holdout_50003_positive,6624.130001,4200.553976,3445.856623,4915.577281,3522.036738
outer_holdout_50003_smooth,6609.77883,4292.487197,3496.496508,5066.775195,3522.379546
outer_holdout_50003_spatial_hash,6558.56942,4219.982574,3466.105063,4836.673067,3688.398917
outer_holdout_50004_negative,6948.293801,5745.380122,5693.099662,6163.656907,6077.551379
outer_holdout_50004_positive,6493.094279,5697.524718,5665.070527,6451.0346,6318.384409
outer_holdout_50004_smooth,6825.103454,5571.976274,5539.719751,5998.101203,5724.442451
outer_holdout_50004_spatial_hash,6726.658865,5971.528286,5971.528286,6192.156073,6277.950408
outer_holdout_50005_negative,7035.285527,4140.217727,2957.963286,5264.495822,3818.162966
outer_holdout_50005_positive,7024.377524,4108.499456,3029.774971,5403.494188,4420.672668
outer_holdout_50005_smooth,7024.700395,4071.917916,2986.862395,5240.513368,3770.955406
outer_holdout_50005_spatial_hash,6976.25489,4081.313921,2997.088413,5267.221737,3991.385656
outer_holdout_50006_negative,7018.179795,5648.147784,5648.147784,6331.609016,6555.337361
outer_holdout_50006_positive,6852.323016,5355.372863,5341.389137,6949.310711,6016.578518
outer_holdout_50006_smooth,6831.073662,5536.001517,5362.828353,6954.01491,6088.01827
outer_holdout_50006_spatial_hash,6882.196307,5263.467817,5250.011062,6799.244702,6275.34887
outer_holdout_50007_negative,4853.435063,4022.405173,3522.912922,4070.241193,3177.655272
outer_holdout_50007_positive,4869.674585,3852.281454,3318.626998,4130.453151,3181.192315
outer_holdout_50007_smooth,4852.677841,3936.737447,3345.717375,4025.475873,3253.162328
outer_holdout_50007_spatial_hash,4880.535386,3942.234538,3358.105139,4076.843965,3177.034823
outer_holdout_50008_negative,7133.979073,5899.836754,5740.099116,6734.373687,6365.333539
outer_holdout_50008_positive,7014.047734,5655.949181,5655.949181,6585.051971,6318.78918
outer_holdout_50008_smooth,6872.787195,5875.16399,5875.16399,6714.660813,6386.634881
outer_holdout_50008_spatial_hash,7082.76932,5349.987963,5350.297518,6679.234663,6279.092691
outer_holdout_50009_negative,5171.063597,4146.138676,3556.225716,4212.582309,3527.926681
