case_id,AB,COMPACT,COMPACT_BATCH,REF,REF_BATCH
outer_holdout_50000_negative,7010.849081,5433.13469,5387.377704,5998.55735,5998.55735
outer_holdout_50000_positive,5921.348314,5330.473691,5330.473691,4952.350768,4807.106759
outer_holdout_50000_smooth,5897.9619,5139.966093,4913.474424,5070.351564,4923.948396
outer_holdout_50000_spatial_hash,6333.392992,5205.084225,5205.084225,5713.683237,5713.683237
outer_holdout_50001_negative,5417.754005,4277.369746,3597.350505,4506.108131,3600.976461
outer_holdout_50001_positive,5221.464102,4004.609891,3245.579717,4272.498591,3299.811707
outer_holdout_50001_smooth,5278.998838,4125.512822,3305.793594,4332.377776,3370.608687
outer_holdout_50001_spatial_hash,5280.904742,4091.856486,3349.626189,4322.782144,3357.520261
outer_holdout_50002_negative,5312.452619,4944.272198,4944.272198,5147.248826,5147.248826
outer_holdout_50002_positive,5768.830645,4811.419169,4811.419169,5566.135055,5566.135055
outer_holdout_50002_smooth,5367.774229,5069.534106,5069.534106,5367.774229,5367.774229
outer_holdout_50002_spatial_hash,5740.606175,4638.93687,4638.93687,5535.096712,5535.096712
outer_holdout_50003_negative,6582.402594,4351.430199,3656.072534,4839.778077,3683.114631
outer_holdout_50003_positive,6607.346618,4189.474209,3437.317816,5082.363947,3537.020171
outer_holdout_50003_smooth,6609.743618,4292.481025,3496.445105,5066.781728,3522.367951
outer_holdout_50003_spatial_hash,6558.56942,4219.982574,3466.105063,4836.673067,3688.398917
outer_holdout_50004_negative,6893.028609,5863.483717,5826.135153,6053.416394,5780.257675
outer_holdout_50004_positive,6493.04712,6322.561225,6322.561225,6451.040482,6318.397197
outer_holdout_50004_smooth,6825.073035,5571.985464,5539.653787,5998.056871,5724.398119
outer_holdout_50004_spatial_hash,6726.658865,5971.528286,5971.528286,6192.156073,6277.950408
outer_holdout_50005_negative,7039.708655,4126.481024,2992.503679,5314.984716,4101.967308
outer_holdout_50005_positive,7058.313002,4108.5034,3029.743464,5523.473032,3817.447286
outer_holdout_50005_smooth,7024.700395,4071.877863,2986.866593,5240.513368,3770.955406
outer_holdout_50005_spatial_hash,6976.25489,4081.313921,2997.088413,5267.221737,3991.385656
outer_holdout_50006_negative,6781.157868,5419.43211,5419.43211,6157.385491,5719.267084
outer_holdout_50006_positive,6675.472997,5391.720349,5377.743898,6949.401404,6016.739915
outer_holdout_50006_smooth,6831.028767,5536.001517,5362.828353,6954.007223,6088.01827
outer_holdout_50006_spatial_hash,6882.196307,5263.467817,5250.011062,6799.244702,6275.34887
outer_holdout_50007_negative,4826.266011,4045.722416,3476.553468,4071.103072,3164.84699
outer_holdout_50007_positive,4881.974614,3852.194474,3318.646967,4124.784631,3198.362471
outer_holdout_50007_smooth,4852.677841,3936.737447,3345.717375,4025.475873,3253.162328
outer_holdout_50007_spatial_hash,4880.535386,3942.234538,3358.105139,4076.843965,3177.034823
outer_holdout_50008_negative,7079.849995,5899.72887,5739.987813,6670.45826,6361.869219
outer_holdout_50008_positive,6842.046527,5645.384785,5645.384785,6832.146182,6598.042912
outer_holdout_50008_smooth,6872.778517,5875.16399,5875.16399,6714.693824,6386.667892
outer_holdout_50008_spatial_hash,7082.76932,5349.987963,5350.297518,6679.234663,6279.092691
