case_id,I,IV,REF,V
boundary_minR_16,6703.643645,6723.385452,6703.643645,6723.385452
clustered_16,2483.570081,2483.917036,2483.570081,2483.917036
dev_0_negative,5131.712795,5027.707188,5140.160835,4997.133514
dev_0_positive,5321.617982,5329.619728,5184.950921,5199.692809
dev_0_smooth,4880.472389,4880.114664,4880.472389,4884.500875
dev_0_spatial_hash,4928.158272,4923.486607,4919.731465,4922.433268
dev_10_negative,4875.539517,4749.926932,4875.539517,4749.926932
dev_10_positive,4191.647031,4208.455597,4191.647031,4208.455597
dev_10_smooth,4797.222542,4783.436895,4771.500201,4743.137433
dev_10_spatial_hash,4722.844718,4679.254931,4722.844718,4679.254931
dev_11_negative,4756.195732,4668.934237,4564.768923,4517.57692
dev_11_positive,4307.534668,4351.935321,4611.403842,4682.449585
dev_11_smooth,4568.302052,4538.047593,4568.302052,4538.047593
dev_11_spatial_hash,4336.306768,4324.550937,4309.915875,4255.742982
dev_1_negative,4055.110702,4054.127714,4055.110702,4054.127714
dev_1_positive,3892.504336,3993.193833,3712.425641,3695.83103
dev_1_smooth,3954.324452,3947.595925,3984.288593,3933.139631
dev_1_spatial_hash,3934.18069,3936.42048,3934.18069,3936.42048
dev_2_negative,4912.569774,4868.829055,4912.569774,4868.829055
dev_2_positive,4829.575855,4783.79971,4829.575855,4783.79971
dev_2_smooth,4201.405582,4231.02087,4201.405582,4231.02087
dev_2_spatial_hash,4564.710315,4544.092899,4564.710315,4544.092899
dev_3_negative,4423.768208,4316.174562,4423.768208,4316.174562
dev_3_positive,4304.04893,4341.621668,4304.04893,4341.621668
dev_3_smooth,4349.778246,4310.307191,4349.778246,4310.307191
dev_3_spatial_hash,4354.262525,4311.681797,4354.262525,4311.681797
dev_4_negative,4545.538376,4423.269133,4545.538376,4423.269133
dev_4_positive,4453.471129,4518.258864,4453.471129,4518.258864
dev_4_smooth,4119.994729,4183.252546,4044.571144,4109.019854
dev_4_spatial_hash,4018.009116,3827.334871,4018.009116,3827.334871
dev_5_negative,5412.408329,5353.537844,5412.408329,5353.537844
dev_5_positive,4880.719657,4891.122119,4880.719657,4891.122119
dev_5_smooth,5039.177378,5040.174274,5039.177378,5040.174274
dev_5_spatial_hash,5328.355301,5305.991649,5328.355301,5305.991649
dev_6_negative,5863.111079,5643.482324,5863.111079,5643.482324
dev_6_positive,5086.524693,5202.46685,5086.524693,5202.46685
dev_6_smooth,4855.946021,4850.676046,5104.443874,5139.439502
dev_6_spatial_hash,4883.989123,4878.480823,4883.989123,4878.480823
dev_7_negative,4920.582142,4852.664052,4920.582142,4852.664052
dev_7_positive,4777.606692,4787.437126,4777.606692,4787.437126
dev_7_smooth,4471.669897,4439.183403,4471.669897,4439.183403
dev_7_spatial_hash,4965.551327,4948.097713,4965.551327,4948.097713
dev_8_negative,3569.40722,3468.462029,3569.40722,3468.462029
dev_8_positive,3853.085988,3877.356542,3686.792264,3707.745614
dev_8_smooth,3779.726389,3690.20116,3779.726389,3690.20116
dev_8_spatial_hash,3860.374545,3845.373203,3682.964953,3674.651696
dev_9_negative,4750.555453,4717.899225,4750.555453,4717.899225
dev_9_positive,4560.201457,4525.19673,4560.201457,4525.19673
dev_9_smooth,4815.597928,4795.979764,4815.597928,4795.979764
dev_9_spatial_hash,4479.848016,4472.287602,4479.848016,4472.287602
late_channel20_after_ten,2992.378266,3031.647924,2992.378266,3031.647924
near_at_origin,3939.558473,3918.647325,3939.558473,3918.647325
