case_id,I,IV,REF,V
boundary_minR_16,6319.623953,6351.272551,6319.623953,6351.272551
clustered_16,2519.93574,2497.144452,2519.93574,2497.144452
dev_0_negative,5131.61548,5027.613659,5140.127486,4997.10266
dev_0_positive,5046.040452,5063.95616,5337.258528,5374.790254
dev_0_smooth,4880.472389,4880.114664,4880.472389,4884.500875
dev_0_spatial_hash,4928.158272,4923.486607,4919.731465,4922.433268
dev_10_negative,4358.09138,4268.408404,4162.345302,4126.79345
dev_10_positive,4172.791999,4205.86145,3836.944695,3892.033044
dev_10_smooth,3882.416355,3859.695595,3988.34164,3963.071215
dev_10_spatial_hash,4722.844718,4679.254931,4722.844718,4679.254931
dev_11_negative,5147.50242,5096.913765,5147.50242,5096.913765
dev_11_positive,4307.595482,4352.005022,4611.385184,4682.453789
dev_11_smooth,4568.302052,4538.047593,4568.302052,4538.047593
dev_11_spatial_hash,4336.306768,4324.550937,4309.915875,4255.742982
dev_1_negative,4055.187745,4054.202869,4055.187745,4054.202869
dev_1_positive,3892.453734,3993.177943,3712.608961,3696.010518
dev_1_smooth,3954.324452,3947.595925,3984.288593,3933.139631
dev_1_spatial_hash,3934.18069,3936.42048,3934.18069,3936.42048
dev_2_negative,4711.517934,4666.314368,4711.517934,4666.314368
dev_2_positive,3795.237282,3853.174195,3795.237282,3853.174195
dev_2_smooth,4201.353389,4230.973511,4201.353389,4230.973511
dev_2_spatial_hash,4564.710315,4544.092899,4564.710315,4544.092899
dev_3_negative,4574.05039,4537.805121,4574.05039,4537.805121
dev_3_positive,4506.049771,4523.497413,4506.049771,4523.497413
dev_3_smooth,4349.778246,4310.307191,4349.778246,4310.307191
dev_3_spatial_hash,4354.262525,4311.681797,4354.262525,4311.681797
dev_4_negative,4545.407538,4423.135459,4545.407538,4423.135459
dev_4_positive,4567.803715,4650.272187,4567.803715,4650.272187
dev_4_smooth,4120.02641,4183.284227,4044.602825,4109.051535
dev_4_spatial_hash,4018.009116,3827.334871,4018.009116,3827.334871
dev_5_negative,4976.34604,4948.994031,4976.34604,4948.994031
dev_5_positive,5360.134117,5370.489814,5360.134117,5370.489814
dev_5_smooth,5039.177378,5040.174274,5039.177378,5040.174274
dev_5_spatial_hash,5328.355301,5305.991649,5328.355301,5305.991649
dev_6_negative,4842.32646,4637.009147,4842.32646,4637.009147
dev_6_positive,5258.296782,5368.459535,5258.296782,5368.459535
dev_6_smooth,4855.946021,4850.676046,5104.443874,5139.439502
dev_6_spatial_hash,4883.989123,4878.480823,4883.989123,4878.480823
dev_7_negative,4929.815075,4939.255876,4929.815075,4939.255876
dev_7_positive,4777.528275,4787.356854,4777.528275,4787.356854
dev_7_smooth,4471.660217,4439.173723,4471.660217,4439.173723
dev_7_spatial_hash,4965.551327,4948.097713,4965.551327,4948.097713
dev_8_negative,3997.709543,3956.057259,3808.476986,3784.729909
dev_8_positive,3371.454022,3423.054368,3371.454022,3423.054368
dev_8_smooth,3779.731029,3690.201667,3779.731029,3690.201667
dev_8_spatial_hash,3860.374545,3845.373203,3682.964953,3674.651696
dev_9_negative,4767.360357,4739.808384,4767.360357,4739.808384
dev_9_positive,4888.950229,4886.388654,4888.950229,4886.388654
dev_9_smooth,4815.597928,4795.979764,4815.597928,4795.979764
dev_9_spatial_hash,4479.848016,4472.287602,4479.848016,4472.287602
late_channel20_after_ten,2992.259508,3031.451894,2992.259508,3031.451894
near_at_origin,3939.558473,3918.647325,3939.558473,3918.647325
