case_id,D,DK,DU,K,REF,U
boundary_minR_16,6709.676606,6685.676606,6709.676606,6679.643645,6703.643645,6703.643645
clustered_16,2484.863191,902.117327,2484.863191,903.160054,2483.570081,2483.570081
dev_0_negative,5130.426052,4685.205884,5130.426052,4694.940667,5140.160835,5140.160835
dev_0_positive,5165.783727,4587.354648,5165.783727,4591.839677,5184.950921,5184.950921
dev_0_smooth,4877.732475,4415.781696,4877.732475,4418.52161,4880.472389,4880.472389
dev_0_spatial_hash,4918.837353,4428.550582,4918.837353,4429.444694,4919.731465,4919.731465
dev_10_negative,4856.727225,4856.727225,4856.727225,4875.539517,4875.539517,4875.539517
dev_10_positive,4187.632617,4187.632617,4187.632617,4191.647031,4191.647031,4191.647031
dev_10_smooth,4761.899713,4761.899713,4761.899713,4771.500201,4771.500201,4771.500201
dev_10_spatial_hash,4723.103573,4723.103573,4723.103573,4722.844718,4722.844718,4722.844718
dev_11_negative,4554.845727,4554.845727,4554.845727,4564.768923,4564.768923,4564.768923
dev_11_positive,4609.120384,4609.120384,4609.120384,4611.403842,4611.403842,4611.403842
dev_11_smooth,4569.089832,4569.089832,4569.089832,4568.302052,4568.302052,4568.302052
dev_11_spatial_hash,4301.501232,4301.501232,4301.501232,4309.915875,4309.915875,4309.915875
dev_1_negative,4050.512687,4050.512687,4050.512687,4055.110702,4055.110702,4055.110702
dev_1_positive,3704.339744,3704.339744,3704.339744,3712.425641,3712.425641,3712.425641
dev_1_smooth,3975.766842,3975.766842,3975.766842,3984.288593,3984.288593,3984.288593
dev_1_spatial_hash,3933.479296,3933.479296,3933.479296,3934.18069,3934.18069,3934.18069
dev_2_negative,4908.347203,4496.197002,4908.347203,4500.419573,4912.569774,4912.569774
dev_2_positive,4806.99078,4759.577728,4806.99078,4769.101905,4829.575855,4829.575855
dev_2_smooth,4201.397974,4201.397974,4201.397974,4201.405582,4201.405582,4201.405582
dev_2_spatial_hash,4563.931202,4348.940942,4563.931202,4348.371092,4564.710315,4564.710315
dev_3_negative,4414.152327,4414.152327,4414.152327,4423.768208,4423.768208,4423.768208
dev_3_positive,4287.888756,4287.888756,4287.888756,4304.04893,4304.04893,4304.04893
dev_3_smooth,4333.649021,4333.649021,4333.649021,4349.778246,4349.778246,4349.778246
dev_3_spatial_hash,4352.484177,4352.484177,4352.484177,4354.262525,4354.262525,4354.262525
dev_4_negative,4542.458152,4542.458152,4542.458152,4545.538376,4545.538376,4545.538376
dev_4_positive,4439.429167,4439.429167,4439.429167,4453.471129,4453.471129,4453.471129
dev_4_smooth,4042.502856,4042.502856,4042.502856,4044.571144,4044.571144,4044.571144
dev_4_spatial_hash,4011.745052,4011.745052,4011.745052,4018.009116,4018.009116,4018.009116
dev_5_negative,5401.570279,5401.570279,5401.570279,5412.408329,5412.408329,5412.408329
dev_5_positive,4873.957443,4873.957443,4873.957443,4880.719657,4880.719657,4880.719657
dev_5_smooth,5039.144601,5039.144601,5039.144601,5039.177378,5039.177378,5039.177378
dev_5_spatial_hash,5309.40744,5309.40744,5309.40744,5328.355301,5328.355301,5328.355301
dev_6_negative,5855.484898,5843.484898,5855.484898,5851.111079,5863.111079,5863.111079
dev_6_positive,5085.473894,4955.345365,5085.473894,4957.485821,5086.524693,5086.524693
dev_6_smooth,5098.964179,5086.964179,5098.964179,5092.443874,5104.443874,5104.443874
dev_6_spatial_hash,4882.606461,4869.606461,4882.606461,4870.989123,4883.989123,4883.989123
dev_7_negative,4913.736438,4913.736438,4913.736438,4920.582142,4920.582142,4920.582142
dev_7_positive,4767.977319,4767.977319,4767.977319,4777.606692,4777.606692,4777.606692
dev_7_smooth,4454.881979,4454.881979,4454.881979,4471.669897,4471.669897,4471.669897
dev_7_spatial_hash,4954.171312,4954.171312,4954.171312,4965.551327,4965.551327,4965.551327
dev_8_negative,3566.097727,3566.097727,3566.097727,3569.40722,3569.40722,3569.40722
dev_8_positive,3679.246293,3679.246293,3679.246293,3686.792264,3686.792264,3686.792264
dev_8_smooth,3775.216687,3775.216687,3775.216687,3779.726389,3779.726389,3779.726389
dev_8_spatial_hash,3677.965034,3677.965034,3677.965034,3682.964953,3682.964953,3682.964953
dev_9_negative,4734.874655,4734.874655,4734.874655,4750.555453,4750.555453,4750.555453
dev_9_positive,4546.371593,4546.371593,4546.371593,4560.201457,4560.201457,4560.201457
dev_9_smooth,4808.098619,4808.098619,4808.098619,4815.597928,4815.597928,4815.597928
dev_9_spatial_hash,4476.398978,4476.398978,4476.398978,4479.848016,4479.848016,4479.848016
late_channel20_after_ten,2992.378266,2992.378266,2992.378266,2992.378266,2992.378266,2992.378266
near_at_origin,3939.06078,3939.06078,3939.06078,3939.558473,3939.558473,3939.558473
