1/52 dev_0_spatial_hash: D=4919, DK=4429, DU=4919, K=4429, REF=4920, U=4920
2/52 dev_1_spatial_hash: DK=3933, DU=3933, K=3934, REF=3934, U=3934, D=3933
3/52 dev_2_spatial_hash: DU=4564, K=4348, REF=4565, U=4565, D=4564, DK=4349
4/52 dev_3_spatial_hash: K=4354, REF=4354, U=4354, D=4352, DK=4352, DU=4352
5/52 dev_4_spatial_hash: REF=4018, U=4018, D=4012, DK=4012, DU=4012, K=4018
6/52 dev_5_spatial_hash: U=5328, D=5309, DK=5309, DU=5309, K=5328, REF=5328
7/52 dev_6_spatial_hash: D=4883, DK=4870, DU=4883, K=4871, REF=4884, U=4884
8/52 dev_7_spatial_hash: DK=4954, DU=4954, K=4966, REF=4966, U=4966, D=4954
9/52 dev_8_spatial_hash: DU=3678, K=3683, REF=3683, U=3683, D=3678, DK=3678
10/52 dev_9_spatial_hash: K=4480, REF=4480, U=4480, D=4476, DK=4476, DU=4476
11/52 dev_10_spatial_hash: REF=4723, U=4723, D=4723, DK=4723, DU=4723, K=4723
12/52 dev_11_spatial_hash: U=4310, D=4302, DK=4302, DU=4302, K=4310, REF=4310
13/52 dev_0_smooth: D=4878, DK=4416, DU=4878, K=4419, REF=4880, U=4880
14/52 dev_1_smooth: DK=3976, DU=3976, K=3984, REF=3984, U=3984, D=3976
15/52 dev_2_smooth: DU=4201, K=4201, REF=4201, U=4201, D=4201, DK=4201
16/52 dev_3_smooth: K=4350, REF=4350, U=4350, D=4334, DK=4334, DU=4334
17/52 dev_4_smooth: REF=4045, U=4045, D=4043, DK=4043, DU=4043, K=4045
18/52 dev_5_smooth: U=5039, D=5039, DK=5039, DU=5039, K=5039, REF=5039
19/52 dev_6_smooth: D=5099, DK=5087, DU=5099, K=5092, REF=5104, U=5104
20/52 dev_7_smooth: DK=4455, DU=4455, K=4472, REF=4472, U=4472, D=4455
21/52 dev_8_smooth: DU=3775, K=3780, REF=3780, U=3780, D=3775, DK=3775
22/52 dev_9_smooth: K=4816, REF=4816, U=4816, D=4808, DK=4808, DU=4808
23/52 dev_10_smooth: REF=4772, U=4772, D=4762, DK=4762, DU=4762, K=4772
24/52 dev_11_smooth: U=4568, D=4569, DK=4569, DU=4569, K=4568, REF=4568
25/52 dev_0_positive: D=5166, DK=4587, DU=5166, K=4592, REF=5185, U=5185
26/52 dev_1_positive: DK=3704, DU=3704, K=3712, REF=3712, U=3712, D=3704
27/52 dev_2_positive: DU=4807, K=4769, REF=4830, U=4830, D=4807, DK=4760
28/52 dev_3_positive: K=4304, REF=4304, U=4304, D=4288, DK=4288, DU=4288
29/52 dev_4_positive: REF=4453, U=4453, D=4439, DK=4439, DU=4439, K=4453
30/52 dev_5_positive: U=4881, D=4874, DK=4874, DU=4874, K=4881, REF=4881
31/52 dev_6_positive: D=5085, DK=4955, DU=5085, K=4957, REF=5087, U=5087
32/52 dev_7_positive: DK=4768, DU=4768, K=4778, REF=4778, U=4778, D=4768
33/52 dev_8_positive: DU=3679, K=3687, REF=3687, U=3687, D=3679, DK=3679
34/52 dev_9_positive: K=4560, REF=4560, U=4560, D=4546, DK=4546, DU=4546
35/52 dev_10_positive: REF=4192, U=4192, D=4188, DK=4188, DU=4188, K=4192
36/52 dev_11_positive: U=4611, D=4609, DK=4609, DU=4609, K=4611, REF=4611
37/52 dev_0_negative: D=5130, DK=4685, DU=5130, K=4695, REF=5140, U=5140
38/52 dev_1_negative: DK=4051, DU=4051, K=4055, REF=4055, U=4055, D=4051
39/52 dev_2_negative: DU=4908, K=4500, REF=4913, U=4913, D=4908, DK=4496
40/52 dev_3_negative: K=4424, REF=4424, U=4424, D=4414, DK=4414, DU=4414
41/52 dev_4_negative: REF=4546, U=4546, D=4542, DK=4542, DU=4542, K=4546
42/52 dev_5_negative: U=5412, D=5402, DK=5402, DU=5402, K=5412, REF=5412
43/52 dev_6_negative: D=5855, DK=5843, DU=5855, K=5851, REF=5863, U=5863
44/52 dev_7_negative: DK=4914, DU=4914, K=4921, REF=4921, U=4921, D=4914
45/52 dev_8_negative: DU=3566, K=3569, REF=3569, U=3569, D=3566, DK=3566
46/52 dev_9_negative: K=4751, REF=4751, U=4751, D=4735, DK=4735, DU=4735
47/52 dev_10_negative: REF=4876, U=4876, D=4857, DK=4857, DU=4857, K=4876
48/52 dev_11_negative: U=4565, D=4555, DK=4555, DU=4555, K=4565, REF=4565
49/52 boundary_minR_16: D=6710, DK=6686, DU=6710, K=6680, REF=6704, U=6704
50/52 late_channel20_after_ten: DK=2992, DU=2992, K=2992, REF=2992, U=2992, D=2992
51/52 near_at_origin: DU=3939, K=3940, REF=3940, U=3940, D=3939, DK=3939
52/52 clustered_16: K=903, REF=2484, U=2484, D=2485, DK=902, DU=2485
