case_id,D,DK,DU,K,REF,U
boundary_minR_16,6321.645571,6296.645571,6321.645571,6294.623953,6319.623953,6319.623953
clustered_16,2486.106721,904.413451,2486.106721,940.010931,2519.93574,2519.93574
dev_0_negative,5130.391036,4685.282681,5130.391036,4695.019131,5140.127486,5140.127486
dev_0_positive,5318.953979,4533.280976,5318.953979,4536.715772,5337.258528,5337.258528
dev_0_smooth,4877.732475,4415.781696,4877.732475,4418.52161,4880.472389,4880.472389
dev_0_spatial_hash,4918.837353,4428.550582,4918.837353,4429.444694,4919.731465,4919.731465
dev_10_negative,4139.434157,4139.434157,4139.434157,4162.345302,4162.345302,4162.345302
dev_10_positive,3829.293374,3829.293374,3829.293374,3836.944695,3836.944695,3836.944695
dev_10_smooth,3984.967327,3984.967327,3984.967327,3988.34164,3988.34164,3988.34164
dev_10_spatial_hash,4723.103573,4723.103573,4723.103573,4722.844718,4722.844718,4722.844718
dev_11_negative,5137.629272,5137.629272,5137.629272,5147.50242,5147.50242,5147.50242
dev_11_positive,4609.101428,4609.101428,4609.101428,4611.385184,4611.385184,4611.385184
dev_11_smooth,4569.089832,4569.089832,4569.089832,4568.302052,4568.302052,4568.302052
dev_11_spatial_hash,4301.501232,4301.501232,4301.501232,4309.915875,4309.915875,4309.915875
dev_1_negative,4050.588497,4050.588497,4050.588497,4055.187745,4055.187745,4055.187745
dev_1_positive,3704.548038,3704.548038,3704.548038,3712.608961,3712.608961,3712.608961
dev_1_smooth,3975.766842,3975.766842,3975.766842,3984.288593,3984.288593,3984.288593
dev_1_spatial_hash,3933.479296,3933.479296,3933.479296,3934.18069,3934.18069,3934.18069
dev_2_negative,4700.76621,4542.855496,4700.76621,4553.927032,4711.517934,4711.517934
dev_2_positive,3758.58793,3758.58793,3758.58793,3795.237282,3795.237282,3795.237282
dev_2_smooth,4201.345789,4201.345789,4201.345789,4201.353389,4201.353389,4201.353389
dev_2_spatial_hash,4563.931202,4348.940942,4563.931202,4348.371092,4564.710315,4564.710315
dev_3_negative,4573.686471,4573.686471,4573.686471,4574.05039,4574.05039,4574.05039
dev_3_positive,4499.597567,4499.597567,4499.597567,4506.049771,4506.049771,4506.049771
dev_3_smooth,4333.649021,4333.649021,4333.649021,4349.778246,4349.778246,4349.778246
dev_3_spatial_hash,4352.484177,4352.484177,4352.484177,4354.262525,4354.262525,4354.262525
dev_4_negative,4542.32848,4542.32848,4542.32848,4545.407538,4545.407538,4545.407538
dev_4_positive,4560.322852,4560.322852,4560.322852,4567.803715,4567.803715,4567.803715
dev_4_smooth,4042.534537,4042.534537,4042.534537,4044.602825,4044.602825,4044.602825
dev_4_spatial_hash,4011.745052,4011.745052,4011.745052,4018.009116,4018.009116,4018.009116
dev_5_negative,4973.637277,4973.637277,4973.637277,4976.34604,4976.34604,4976.34604
dev_5_positive,5353.015355,5353.015355,5353.015355,5360.134117,5360.134117,5360.134117
dev_5_smooth,5039.144601,5039.144601,5039.144601,5039.177378,5039.177378,5039.177378
dev_5_spatial_hash,5309.40744,5309.40744,5309.40744,5328.355301,5328.355301,5328.355301
dev_6_negative,4814.52957,4788.629715,4814.52957,4816.42165,4842.32646,4842.32646
dev_6_positive,5253.168365,5241.168365,5253.168365,5246.296782,5258.296782,5258.296782
dev_6_smooth,5098.964179,5086.964179,5098.964179,5092.443874,5104.443874,5104.443874
dev_6_spatial_hash,4882.606461,4869.606461,4882.606461,4870.989123,4883.989123,4883.989123
dev_7_negative,4915.993129,4915.993129,4915.993129,4929.815075,4929.815075,4929.815075
dev_7_positive,4767.898934,4767.898934,4767.898934,4777.528275,4777.528275,4777.528275
dev_7_smooth,4454.878796,4454.878796,4454.878796,4471.660217,4471.660217,4471.660217
dev_7_spatial_hash,4954.171312,4954.171312,4954.171312,4965.551327,4965.551327,4965.551327
dev_8_negative,3799.957299,3799.957299,3799.957299,3808.476986,3808.476986,3808.476986
dev_8_positive,3362.439519,3362.439519,3362.439519,3371.454022,3371.454022,3371.454022
dev_8_smooth,3775.221327,3775.221327,3775.221327,3779.731029,3779.731029,3779.731029
dev_8_spatial_hash,3677.965034,3677.965034,3677.965034,3682.964953,3682.964953,3682.964953
dev_9_negative,4749.702302,4749.702302,4749.702302,4767.360357,4767.360357,4767.360357
dev_9_positive,4878.516949,4878.516949,4878.516949,4888.950229,4888.950229,4888.950229
dev_9_smooth,4808.098619,4808.098619,4808.098619,4815.597928,4815.597928,4815.597928
dev_9_spatial_hash,4476.398978,4476.398978,4476.398978,4479.848016,4479.848016,4479.848016
late_channel20_after_ten,2992.259508,2992.259508,2992.259508,2992.259508,2992.259508,2992.259508
near_at_origin,3939.06078,3939.06078,3939.06078,3939.558473,3939.558473,3939.558473
