1/52 dev_0_spatial_hash: D=4919, DK=4429, DU=4919, K=4429, REF=4920, U=4920
2/52 dev_1_spatial_hash: DK=3933, DU=3933, K=3934, REF=3934, U=3934, D=3933
3/52 dev_2_spatial_hash: DU=4564, K=4348, REF=4565, U=4565, D=4564, DK=4349
4/52 dev_3_spatial_hash: K=4354, REF=4354, U=4354, D=4352, DK=4352, DU=4352
5/52 dev_4_spatial_hash: REF=4018, U=4018, D=4012, DK=4012, DU=4012, K=4018
6/52 dev_5_spatial_hash: U=5328, D=5309, DK=5309, DU=5309, K=5328, REF=5328
7/52 dev_6_spatial_hash: D=4883, DK=4870, DU=4883, K=4871, REF=4884, U=4884
8/52 dev_7_spatial_hash: DK=4954, DU=4954, K=4966, REF=4966, U=4966, D=4954
9/52 dev_8_spatial_hash: DU=3678, K=3683, REF=3683, U=3683, D=3678, DK=3678
10/52 dev_9_spatial_hash: K=4480, REF=4480, U=4480, D=4476, DK=4476, DU=4476
11/52 dev_10_spatial_hash: REF=4723, U=4723, D=4723, DK=4723, DU=4723, K=4723
12/52 dev_11_spatial_hash: U=4310, D=4302, DK=4302, DU=4302, K=4310, REF=4310
13/52 dev_0_smooth: D=4878, DK=4416, DU=4878, K=4419, REF=4880, U=4880
14/52 dev_1_smooth: DK=3976, DU=3976, K=3984, REF=3984, U=3984, D=3976
15/52 dev_2_smooth: DU=4201, K=4201, REF=4201, U=4201, D=4201, DK=4201
16/52 dev_3_smooth: K=4350, REF=4350, U=4350, D=4334, DK=4334, DU=4334
17/52 dev_4_smooth: REF=4045, U=4045, D=4043, DK=4043, DU=4043, K=4045
18/52 dev_5_smooth: U=5039, D=5039, DK=5039, DU=5039, K=5039, REF=5039
19/52 dev_6_smooth: D=5099, DK=5087, DU=5099, K=5092, REF=5104, U=5104
20/52 dev_7_smooth: DK=4455, DU=4455, K=4472, REF=4472, U=4472, D=4455
21/52 dev_8_smooth: DU=3775, K=3780, REF=3780, U=3780, D=3775, DK=3775
22/52 dev_9_smooth: K=4816, REF=4816, U=4816, D=4808, DK=4808, DU=4808
23/52 dev_10_smooth: REF=3988, U=3988, D=3985, DK=3985, DU=3985, K=3988
24/52 dev_11_smooth: U=4568, D=4569, DK=4569, DU=4569, K=4568, REF=4568
25/52 dev_0_positive: D=5319, DK=4533, DU=5319, K=4537, REF=5337, U=5337
26/52 dev_1_positive: DK=3705, DU=3705, K=3713, REF=3713, U=3713, D=3705
27/52 dev_2_positive: DU=3759, K=3795, REF=3795, U=3795, D=3759, DK=3759
28/52 dev_3_positive: K=4506, REF=4506, U=4506, D=4500, DK=4500, DU=4500
29/52 dev_4_positive: REF=4568, U=4568, D=4560, DK=4560, DU=4560, K=4568
30/52 dev_5_positive: U=5360, D=5353, DK=5353, DU=5353, K=5360, REF=5360
31/52 dev_6_positive: D=5253, DK=5241, DU=5253, K=5246, REF=5258, U=5258
32/52 dev_7_positive: DK=4768, DU=4768, K=4778, REF=4778, U=4778, D=4768
33/52 dev_8_positive: DU=3362, K=3371, REF=3371, U=3371, D=3362, DK=3362
34/52 dev_9_positive: K=4889, REF=4889, U=4889, D=4879, DK=4879, DU=4879
35/52 dev_10_positive: REF=3837, U=3837, D=3829, DK=3829, DU=3829, K=3837
36/52 dev_11_positive: U=4611, D=4609, DK=4609, DU=4609, K=4611, REF=4611
37/52 dev_0_negative: D=5130, DK=4685, DU=5130, K=4695, REF=5140, U=5140
38/52 dev_1_negative: DK=4051, DU=4051, K=4055, REF=4055, U=4055, D=4051
39/52 dev_2_negative: DU=4701, K=4554, REF=4712, U=4712, D=4701, DK=4543
40/52 dev_3_negative: K=4574, REF=4574, U=4574, D=4574, DK=4574, DU=4574
41/52 dev_4_negative: REF=4545, U=4545, D=4542, DK=4542, DU=4542, K=4545
42/52 dev_5_negative: U=4976, D=4974, DK=4974, DU=4974, K=4976, REF=4976
43/52 dev_6_negative: D=4815, DK=4789, DU=4815, K=4816, REF=4842, U=4842
44/52 dev_7_negative: DK=4916, DU=4916, K=4930, REF=4930, U=4930, D=4916
45/52 dev_8_negative: DU=3800, K=3808, REF=3808, U=3808, D=3800, DK=3800
46/52 dev_9_negative: K=4767, REF=4767, U=4767, D=4750, DK=4750, DU=4750
47/52 dev_10_negative: REF=4162, U=4162, D=4139, DK=4139, DU=4139, K=4162
48/52 dev_11_negative: U=5148, D=5138, DK=5138, DU=5138, K=5148, REF=5148
49/52 boundary_minR_16: D=6322, DK=6297, DU=6322, K=6295, REF=6320, U=6320
50/52 late_channel20_after_ten: DK=2992, DU=2992, K=2992, REF=2992, U=2992, D=2992
51/52 near_at_origin: DU=3939, K=3940, REF=3940, U=3940, D=3939, DK=3939
52/52 clustered_16: K=940, REF=2520, U=2520, D=2486, DK=904, DU=2486
